"cell","K","G","drift","size","ctrl","n_rep","abst_cond","abst_marg","abst_std","bias","coverage_all","coverage_passed"
1,4,0.5,"none",0.15,"none",1000,0.102,0.106,0.102,0.0021777518807027,0.947,0.946547884187082
2,10,0.5,"none",0.15,"none",1000,0.099,0.097,0.098,-0.00180819182214883,0.956,0.955604883462819
3,4,1.5,"none",0.15,"none",1000,0.113,0.19,0.112,0.00378000829102205,0.937,0.939120631341601
4,10,1.5,"none",0.15,"none",1000,0.124,0.237,0.114,-0.00350945051343854,0.947,0.944063926940639
5,4,0.5,"observed_and_gap",0.15,"none",1000,0.221,0.216,0.216,-0.279764775778623,0.181,0.178433889602054
6,10,0.5,"observed_and_gap",0.15,"none",1000,0.238,0.225,0.23,-0.285613192750648,0.008,0.00656167979002625
7,4,1.5,"observed_and_gap",0.15,"none",1000,0.201,0.266,0.192,-0.275901059568004,0.266,0.25531914893617
8,10,1.5,"observed_and_gap",0.15,"none",1000,0.204,0.303,0.19,-0.280348931216305,0.015,0.0113065326633166
9,4,0.5,"gap_only",0.15,"none",1000,0.106,0.103,0.107,-0.30585878391922,0.112,0.109619686800895
10,10,0.5,"gap_only",0.15,"none",1000,0.092,0.103,0.089,-0.296684721698588,0.001,0.00110132158590308
11,4,1.5,"gap_only",0.15,"none",1000,0.111,0.178,0.113,-0.297846860519145,0.202,0.202474690663667
12,10,1.5,"gap_only",0.15,"none",1000,0.082,0.192,0.079,-0.303039006301295,0.004,0.00435729847494553
13,4,0.5,"observed_and_gap",0.3,"none",1000,0.57,0.579,0.577,-0.560808129869687,0,0
14,10,0.5,"observed_and_gap",0.3,"none",1000,0.665,0.651,0.66,-0.571925612136881,0,0
15,4,1.5,"observed_and_gap",0.3,"none",1000,0.502,0.507,0.503,-0.532133021201143,0.003,0
16,10,1.5,"observed_and_gap",0.3,"none",1000,0.567,0.61,0.566,-0.559018462016287,0,0
17,4,0.5,"gap_only",0.3,"none",1000,0.111,0.103,0.109,-0.598184350489632,0,0
18,10,0.5,"gap_only",0.3,"none",1000,0.11,0.11,0.109,-0.59872970249008,0,0
19,4,1.5,"gap_only",0.3,"none",1000,0.099,0.176,0.096,-0.60294976754353,0,0
20,10,1.5,"gap_only",0.3,"none",1000,0.092,0.22,0.106,-0.599012648889859,0,0
21,10,1.5,"none",0.15,"identical",1000,0.099,0.104,0.103,0.000373506190900321,0.957,0.95449500554939
22,10,1.5,"none",0.15,"rd",1000,0.117,0.117,0.117,-0.000914412457112224,0.95,0.954699886749717
23,10,1.5,"observed_and_gap",0.6,"positive",1000,0.995,0.99,0.997,-1.10513900611331,0,0
