"cell","K","M","conf","method","penalty","power","false_disc","x10","x10_mcse","stability","bias","rmse"
1,3,1,0,"pooled","1se",0.0533333333333334,0.00333333333333333,0,0,0.91,-0.0912401803445682,0.118256187332753
1,3,1,0,"within","min",0.993333333333333,1.91,0.206666666666667,0.0233777355301688,0.380062169312169,0.00341585786141273,0.0732972772589548
1,3,1,0,"pooled","min",1,1.97,0.216666666666667,0.0237853051428974,0.385537037037037,0.00540721499760056,0.0701506707990659
1,3,1,0,"within","1se",0.0266666666666667,0.00666666666666667,0.00333333333333334,0.00332777314041599,0.953333333333333,-0.0949756014481473,0.118734102445726
2,6,1,0,"pooled","1se",0.0533333333333334,0,0,0,0.896666666666667,-0.0923757724591548,0.11183810152456
2,6,1,0,"within","1se",0.04,0,0,0,0.926666666666667,-0.0932719093395702,0.112279270004517
2,6,1,0,"within","min",1,1.68,0.23,0.0242967761921892,0.392334656084656,0.00352117007126635,0.0641070224523134
2,6,1,0,"pooled","min",1,1.65333333333333,0.22,0.0239165214862028,0.38059126984127,0.00300815732762664,0.0618150123743333
3,12,1,0,"pooled","1se",0.0533333333333334,0,0,0,0.906666666666667,-0.0889928672345938,0.104227193865804
3,12,1,0,"within","1se",0.0333333333333333,0,0,0,0.943333333333333,-0.0900458849962509,0.104108363682938
3,12,1,0,"pooled","min",1,1.88666666666667,0.256666666666667,0.0252183061081224,0.373743386243386,0.00128573500500799,0.0587205661565473
3,12,1,0,"within","min",0.976666666666667,1.68,0.246666666666667,0.0248878968056244,0.369710317460317,0.00114187572045937,0.0620106054752452
4,3,3,0,"pooled","1se",0.512222222222222,0.00333333333333333,0,0,0.388888888888889,-0.131718789590261,0.207872430417872
4,3,3,0,"within","1se",0.372222222222222,0.01,0.00333333333333333,0.00332777314041599,0.407222222222222,-0.17797293013167,0.242233207312279
4,3,3,0,"pooled","min",1,2.83333333333333,0.486666666666667,0.0288572476293347,0.574306878306878,-0.00063603009382911,0.0800652747676534
4,3,3,0,"within","min",1,2.68666666666667,0.5,0.0288675134594813,0.558727513227513,-0.000328205272261713,0.0845036718151494
5,6,3,0,"pooled","1se",0.5,0.0166666666666667,0,0,0.389388888888889,-0.138588247610012,0.211135423120842
5,6,3,0,"within","1se",0.395555555555555,0,0.00333333333333334,0.00332777314041599,0.408277777777778,-0.168227348947927,0.233478182121817
