"cell","dir","k","shift","method","truth","bias","mcse","coverage","rmse","recon"
1,"high",2,0.5,"declared",-0.3,-0.00245126017214504,0.00296605623493809,0.947,0.093780065982371,0.399925924789771
1,"high",2,0.5,"pca",-0.3,-0.118258529626005,0.00366792785712531,0.718,0.165605920484792,0.399925924789771
1,"high",2,0.5,"full",-0.3,-0.000106272585141166,0.00321722444143351,0.953,0.101686743813109,0.399925924789771
2,"low",2,0.5,"declared",-0.3,2.95998584868661e-05,0.00293600977188119,0.946,0.0927983518353257,0.399448876091832
2,"low",2,0.5,"full",-0.3,-0.000662983172376007,0.00325705823010331,0.951,0.102947848120572,0.399448876091832
2,"low",2,0.5,"pca",-0.3,-0.197058316568126,0.00315822826496547,0.462,0.220899097998423,0.399448876091832
3,"high",5,0.5,"declared",-0.3,-0.00450552412108112,0.00303929207486618,0.937,0.0961683875690638,0.909870595587893
3,"high",5,0.5,"full",-0.3,-0.00247428774879792,0.00346047225757673,0.937,0.109402995740869,0.909870595587893
3,"high",5,0.5,"pca",-0.3,-0.00346648820253472,0.00354421578101789,0.931,0.112075512835642,0.909870595587893
4,"low",5,0.5,"declared",-0.3,0.000731477255135671,0.00295456197376668,0.954,0.0933875906068148,0.909755804930806
4,"low",5,0.5,"full",-0.3,0.00379837847969766,0.0033457964643996,0.947,0.105818652922265,0.909755804930806
4,"low",5,0.5,"pca",-0.3,-0.199391572422188,0.00308999443270801,0.488,0.222025936956845,0.909755804930806
5,"high",10,0.5,"declared",-0.3,0.00483115012628327,0.00289787677233291,0.953,0.0917204018165079,0.945615477308068
5,"high",10,0.5,"full",-0.3,0.00385943396327643,0.00323141917092742,0.95,0.102208233615966,0.945615477308068
5,"high",10,0.5,"pca",-0.3,0.002750494579932,0.0032761782265998,0.945,0.103586561141436,0.945615477308068
6,"low",10,0.5,"declared",-0.3,-0.00706900701344585,0.00293635119778911,0.95,0.0930779622604456,0.945555744655472
6,"low",10,0.5,"full",-0.3,-0.00721654063240604,0.00327816780483597,0.945,0.103863931329435,0.945555744655472
6,"low",10,0.5,"pca",-0.3,-0.138577796003183,0.00328628970716359,0.706,0.173184023179016,0.945555744655472
7,"high",2,1,"declared",-0.1,0.0021583431015159,0.00379135702298062,0.948,0.119852710159481,0.39971415838881
7,"high",2,1,"full",-0.1,0.0012179098326449,0.00408168471864309,0.945,0.129015399455346,0.39971415838881
7,"high",2,1,"pca",-0.1,-0.235708337849244,0.00506416246846504,0.419,0.284918437973319,0.39971415838881
8,"low",2,1,"declared",-0.1,-0.00105210545805049,0.00378103849831027,0.952,0.119511768455971,0.399627718012952
8,"low",2,1,"full",-0.1,-0.00188195352142941,0.00401324158208226,0.948,0.126860331219869,0.399627718012952
8,"low",2,1,"pca",-0.1,-0.395920748455595,0.00311420201628493,0.018,0.407972787084719,0.399627718012952
9,"high",5,1,"declared",-0.1,0.00811521154637945,0.00357406903945584,0.961,0.113256576796849,0.909751432851372
9,"high",5,1,"full",-0.1,0.00819386395330377,0.00392736827210377,0.954,0.124402318023692,0.909751432851372
9,"high",5,1,"pca",-0.1,0.0069557293724437,0.0040056950655748,0.955,0.12679877576899,0.909751432851372
10,"low",5,1,"declared",-0.1,0.00219297966082811,0.0036217843932482,0.958,0.114494602618542,0.909747560460681
10,"low",5,1,"full",-0.1,0.002078221397818,0.00390336632937619,0.954,0.123391050878031,0.909747560460681
10,"low",5,1,"pca",-0.1,-0.396423871863378,0.00316005735368337,0.017,0.408812747721058,0.909747560460681
11,"high",10,1,"declared",-0.1,0.0036394671966232,0.00369603944802215,0.957,0.116877254481827,0.945598845254775
11,"high",10,1,"full",-0.1,0.0033715975842285,0.00392279046883981,0.965,0.124033319908918,0.945598845254775
11,"high",10,1,"pca",-0.1,0.0033917048309759,0.00404419554306688,0.956,0.127869721727358,0.945598845254775
12,"low",10,1,"full",-0.1,-0.00174997717370449,0.00399886992725125,0.954,0.126404241046287,0.945540948580339
12,"low",10,1,"declared",-0.1,-0.00231606711049926,0.00374998338249296,0.95,0.118548206061774,0.945540948580339
12,"low",10,1,"pca",-0.1,-0.268125724722589,0.00386870425331704,0.336,0.294691889920722,0.945540948580339
