"cell","scale","p_ipd","sep","beta","method","truth","n","bias","mcse","emp_sd","se_ratio","coverage","rmse","pred_b1"
1,"continuous",0.25,0,0,"transported",-0.3,1000,0.000908448295751154,0.00122533903225141,0.0387486224782097,0.987849831302949,0.942,0.0387398963153093,0
1,"continuous",0.25,0,0,"two_stage_cond",-0.3,1000,0.000908448295751154,0.00122533903225141,0.0387486224782097,0.987849831302949,0.942,0.0387398963153093,0
1,"continuous",0.25,0,0,"two_stage_marg",-0.3,1000,0.000908448295751154,0.00122533903225141,0.0387486224782097,0.987849831302949,0.942,0.0387398963153093,0
2,"binary",0.25,0,0,"transported",-0.283750587439143,1000,-1.7915302185657e-05,0.00216925964041084,0.0685980129997608,1.04731967578083,0.958,0.068563707754802,0
2,"binary",0.25,0,0,"two_stage_marg",-0.283750587439143,1000,-1.7915302185657e-05,0.00216925964041084,0.0685980129997608,1.04731967578083,0.958,0.068563707754802,0
2,"binary",0.25,0,0,"two_stage_cond",-0.283750587439143,1000,-0.00406597808839417,0.00220310221525607,0.0696682091837173,1.04827871179646,0.959,0.0697519740889864,0
3,"continuous",0.5,0,0,"two_stage_marg",-0.3,1000,-0.000323227822504673,0.00116569188959855,0.0368624142111695,1.01038285648969,0.956,0.0368453961862211,0
3,"continuous",0.5,0,0,"transported",-0.3,1000,-0.000323227822504673,0.00116569188959855,0.0368624142111695,1.01038285648969,0.956,0.0368453961862211,0
3,"continuous",0.5,0,0,"two_stage_cond",-0.3,1000,-0.000323227822504673,0.00116569188959855,0.0368624142111695,1.01038285648969,0.956,0.0368453961862211,0
4,"binary",0.5,0,0,"two_stage_cond",-0.283750587439143,1000,-0.0102023200349678,0.00223996111223529,0.0708337898486757,1.04082218274489,0.96,0.0715296839964915,0
4,"binary",0.5,0,0,"transported",-0.283750587439143,1000,-0.00182405800318444,0.00217907907721476,0.0689085308561657,1.03494743795962,0.958,0.068898217877746,0
4,"binary",0.5,0,0,"two_stage_marg",-0.283750587439143,1000,-0.00182405800318444,0.00217907907721476,0.0689085308561657,1.03494743795962,0.958,0.068898217877746,0
5,"continuous",0.75,0,0,"two_stage_cond",-0.3,1000,0.000907984887906262,0.00121792568773054,0.0385141919405549,0.94112936554201,0.942,0.0385056369173364,0
5,"continuous",0.75,0,0,"transported",-0.3,1000,0.000907984887906262,0.00121792568773054,0.0385141919405549,0.94112936554201,0.942,0.0385056369173364,0
5,"continuous",0.75,0,0,"two_stage_marg",-0.3,1000,0.000907984887906262,0.00121792568773054,0.0385141919405549,0.94112936554201,0.942,0.0385056369173364,0
6,"binary",0.75,0,0,"transported",-0.283750587439143,1000,0.00273084490991249,0.00225695649022187,0.0713712308900064,0.992365572738453,0.955,0.0713877878917526,0
6,"binary",0.75,0,0,"two_stage_marg",-0.283750587439143,1000,0.00273084490991249,0.00225695649022187,0.0713712308900064,0.992365572738453,0.955,0.0713877878917526,0
6,"binary",0.75,0,0,"two_stage_cond",-0.283750587439143,1000,-0.0103173018804954,0.0023760536653288,0.0751374142523045,0.991128073434057,0.95,0.0758052248040672,0
7,"continuous",0.25,0.5,0,"transported",-0.3,1000,-0.00170581744364849,0.0014912142673011,0.0471563356401064,0.982678115735036,0.95,0.0471636097448278,0
7,"continuous",0.25,0.5,0,"two_stage_marg",-0.3,1000,-0.00229489089611073,0.00121720152192188,0.0384912918069653,1.00343890747363,0.952,0.0385404266926176,0
7,"continuous",0.25,0.5,0,"two_stage_cond",-0.3,1000,-0.00229489089611073,0.00121720152192188,0.0384912918069653,1.00343890747363,0.952,0.0385404266926176,0
8,"binary",0.25,0.5,0,"two_stage_cond",-0.283750587439143,1000,-0.00362531194200239,0.00232515275473468,0.0735277861277645,1.02043653323398,0.955,0.0735803770321562,-0.000559023857532023
8,"binary",0.25,0.5,0,"two_stage_marg",-0.283750587439143,1000,0.0007191408735168,0.00229884376139298,0.0726958227087047,1.02033530460019,0.956,0.0726630244364498,-0.000559023857532023
8,"binary",0.25,0.5,0,"transported",-0.283750587439143,1000,-0.000609396143335721,0.00293788204946527,0.0929039877323371,0.96809647992829,0.94,0.0928595237403962,-0.000559023857532023
9,"continuous",0.5,0.5,0,"two_stage_cond",-0.3,1000,-5.45263133674631e-05,0.00116143796286238,0.0367278932363117,1.03014289899225,0.957,0.0367095651915843,0
