"cell","em","align","shift","nA_ratio","cov_mc","cov_mc_se","split_trial","fixed_trial","stacked_trial"
1,0,"same",0.3,0.5,0.0142866325305469,0.00083801337537561,2.0643209364124e-19,0.013730681655923,0.0136656183046005
2,0.3,"same",0.3,0.5,0.0131907674483454,0.000832946394208272,-5.37764277552816e-20,0.0138268688793662,0.0135438332266097
3,0.6,"same",0.3,0.5,0.0143215546332093,0.000963745685509874,3.12250225675816e-20,0.0138198186907334,0.012906802272807
4,0.3,"opposite",0.3,0.5,0.0147432188807001,0.000792597423761776,4.68375338513728e-20,0.0137960219169617,0.0139355709387773
5,0.6,"opposite",0.3,0.5,0.0146273387443924,0.000870222746824114,-1.47451495458028e-19,0.0139280326509751,0.0146884765030662
6,0,"same",0.8,0.5,0.0229152270264964,0.0014205654790848,2.56739074444568e-19,0.0237069998849399,0.0228332809547561
7,0.3,"same",0.8,0.5,0.0250917918276462,0.00151526782890068,1.17961196366424e-19,0.0250483859866245,0.02362567143445
8,0.6,"same",0.8,0.5,0.0242987410882607,0.00182410631560045,1.3530843112619e-19,0.0250760376956042,0.0223353463206975
9,0.3,"opposite",0.8,0.5,0.0283483155534967,0.00169646129354376,2.42861286636752e-19,0.0243689236716251,0.0238475741777701
10,0.6,"opposite",0.8,0.5,0.0255266144108291,0.00139239897784669,-3.46944695195568e-21,0.0237855289598301,0.0250242447608021
11,0,"same",0.3,1,0.00698370315818494,0.00050607354194086,1.90819582357458e-20,0.00693458165545567,0.00690009074780593
12,0.3,"same",0.3,1,0.0071021603166523,0.000557016195134507,1.11022302462516e-19,0.00686803091983855,0.00666605530157792
13,0.6,"same",0.3,1,0.00618982405987164,0.000698135333687624,-1.21430643318375e-20,0.00692947346344183,0.00622477877713962
14,0.3,"opposite",0.3,1,0.00687868275305227,0.000503789832663514,3.46944695195444e-21,0.00693037282768,0.00707637490279396
15,0.6,"opposite",0.3,1,0.00743877222631789,0.000468432365238799,3.12250225675818e-20,0.00694145095207242,0.00761083057049155
16,0,"same",0.8,1,0.0138782870178881,0.000921514898724894,-1.04083408558608e-19,0.0125200140174793,0.0121494733899109
17,0.3,"same",0.8,1,0.0120341367632384,0.00113702462060536,-1.1449174941447e-19,0.0126198197472072,0.0118194065172598
18,0.6,"same",0.8,1,0.0116591429353928,0.00126206069110096,-5.55111512312579e-19,0.012614865006155,0.0107664734525474
19,0.3,"opposite",0.8,1,0.0130422752856894,0.000953376536291333,2.94902990916057e-20,0.0128200674748945,0.0127215612610214
20,0.6,"opposite",0.8,1,0.0124529092211141,0.000937681790360039,-1.31838984174237e-19,0.0122555449336257,0.0135610581642528
21,0,"same",0.3,2,0.00370743397220761,0.000316440281595904,2.9490299091606e-20,0.00347907248175661,0.00346960824847335
22,0.3,"same",0.3,2,0.00365766574100027,0.00043655769001849,7.11236625150488e-20,0.00347825465658518,0.00333965242669123
23,0.6,"same",0.3,2,0.0034260172058564,0.000483980646753998,6.59194920871217e-20,0.00347179866522536,0.00294712842325062
24,0.3,"opposite",0.3,2,0.00383735899167002,0.000383981187856522,0,0.00347207643080003,0.00358876061500043
25,0.6,"opposite",0.3,2,0.00345697593186519,0.000398869191154706,1.90819582357453e-20,0.00346274669045791,0.00398663710034632
26,0,"same",0.8,2,0.00594144070901459,0.00066208107976197,4.85722573273522e-20,0.00645753886465027,0.00630137829446025
27,0.3,"same",0.8,2,0.00715376383071701,0.000792769962962318,5.7245874707234e-20,0.00644198506148028,0.00599519106230499
28,0.6,"same",0.8,2,0.0065076523210355,0.00104348969605871,-3.46944695195366e-20,0.00638479536838477,0.00495877801869137
29,0.3,"opposite",0.8,2,0.00771508952326834,0.000750064317185693,-2.25514051876991e-20,0.00659137377358456,0.00666810938309665
30,0.6,"opposite",0.8,2,0.00895734987697175,0.000717110344322518,-9.54097911787248e-20,0.00652272934100865,0.00739401811764478
