"cell","em","align","shift","nA_ratio","method","contrast","bias","mcse","coverage","cov_mcse","width","emp_sd"
1,0,"same",0.3,0.5,"drop","AB",-0.00174399695082421,0.0052359708177363,0.944,0.00727076337120113,0.620141632096234,0.165575935462211
1,0,"same",0.3,0.5,"stacked_trial","AC",0.00655719004498888,0.00469606219323079,0.943,0.00733150734842434,0.560944448765337,0.148502525644151
1,0,"same",0.3,0.5,"fixed_trial","AC",0.00655719004498888,0.00469606219323079,0.943,0.00733150734842434,0.562350183542456,0.148502525644151
1,0,"same",0.3,0.5,"split_trial","BC",-0.000530529089224287,0.00382357006579718,0.996,0.00199599599197994,0.79329936920675,0.12091190201159
1,0,"same",0.3,0.5,"drop","BC",0.00328425134854255,0.00353837171401785,0.952,0.00675988165576884,0.438657939531855,0.111893138246104
1,0,"same",0.3,0.5,"split","AC",0.00526684755552322,0.00275755783002287,0.918,0.00867617427210864,0.310179633907803,0.0872016352250371
1,0,"same",0.3,0.5,"stacked","BC",0.000748806841944261,0.00252396808301433,0.943,0.00733150734842434,0.308309569508885,0.0798148788389423
1,0,"same",0.3,0.5,"fixed","BC",0.000740168843073614,0.00252219865401088,0.944,0.00727076337120113,0.308662224236929,0.0797589245808536
1,0,"same",0.3,0.5,"split_trial","AC",0.00655719004498888,0.00469606219323079,0.943,0.00733150734842434,0.560944448765337,0.148502525644151
1,0,"same",0.3,0.5,"drop","AC",0.00154025439771832,0.00356571844538796,0.938,0.00762600813007697,0.438092360500911,0.112757917823007
1,0,"same",0.3,0.5,"split","AB",0.00402216354327199,0.00368207237807359,0.91,0.00904986187739901,0.394995603898982,0.116437352243052
1,0,"same",0.3,0.5,"fixed_trial","BC",-0.000530529089224287,0.00382357006579718,0.943,0.00733150734842434,0.460658498208735,0.12091190201159
1,0,"same",0.3,0.5,"stacked","AC",0.00449557466661917,0.00270172978390771,0.946,0.00714730718522718,0.338378680695059,0.085436197394629
