"scenario","network","pattern","ipd","n_arm","spread","method","par","declined","failed","width","n_attempted","convergence","convergence_mcse","bias","bias_mcse","empse","empse_mcse","mse","mse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","coverage","coverage_mcse","becoverage","becoverage_mcse","rejection","rejection_mcse","n_used","truth","coverage_uncond","cov_err_pp","std_bias"
1,"bundled","between-only","all",100,"narrow","ipd-anchored","gWA",0,0,0.710494588157174,2000,1,0,-0.00304797300105517,0.0040431866519918,0.180816803991469,0.00285967970854081,0.0326876593868017,0.00101763222075823,0.181334461502393,0.000122633984536977,0.286288386641287,1.58751143634191,0.9535,0.00470838348055891,0.953,0.00473238840333293,0.0465,0.00470838348055891,2000,0,0.9535,0.350000000000006,-0.0168566910473596
1,"bundled","between-only","all",100,"narrow","ipd-anchored","gWB",0,0,0.706308856665489,2000,1,0,-0.00134102525511052,0.00404537794580727,0.18091480163007,0.0028612295747723,0.0327155987148581,0.00102483298622131,0.180265609108843,0.000121381657560216,-0.35883880996912,1.57728672845286,0.9415,0.0052477495176504,0.942,0.00522666241496426,0.0585,0.0052477495176504,2000,0,0.9415,-0.849999999999995,-0.00741246842728
1,"bundled","between-only","all",100,"narrow","joint-split","gWA",0,0.0015,0.709798144224027,2000,0.9985,0.000865375640979091,-0.00316755952760423,0.00403524427024912,0.18032621288153,0.00285406326441502,0.0325112932892353,0.00101467322392952,0.181155984027592,0.000122061925437363,0.460150042970442,1.59144542458514,0.953930896344517,0.00469109584663277,0.952428642964447,0.00476321255072453,0.0460691036554832,0.00469109584663277,1997,0,0.9525,0.393089634451682,-0.0175657186883043
1,"bundled","between-only","all",100,"narrow","joint-split","gWB",0,0.0015,0.705629899306069,2000,0.9985,0.000865375640979091,-0.000951263367299611,0.00404059934791028,0.180565519552862,0.00285785082457426,0.0325884853102987,0.00102023291572221,0.180091680999337,0.000120874354782753,-0.262419178754547,1.57998774112665,0.942914371557336,0.00519171075126227,0.942914371557336,0.00519171075126227,0.057085628442664,0.00519171075126227,1997,0,0.9415,-0.708562844266392,-0.00526824484350746
1,"bundled","between-only","all",100,"narrow","shared-info","gWA",0,0,0.697351510098495,2000,1,0,0.011248064435254,0.00395140873517915,0.176712370774941,0.00279476669091596,0.0313381673074472,0.000994345980727562,0.177979855874004,0.000120242687168908,0.717258839041635,1.59433064739129,0.9525,0.00475624589355933,0.955,0.00463546114210873,0.0475,0.00475624589355933,2000,0,0.9525,0.250000000000006,0.0636518223705995
1,"bundled","between-only","all",100,"narrow","shared-info","gWB",0,0,0.699623356170112,2000,1,0,-0.00633113404784736,0.00399598290160355,0.178705788098248,0.00282629326889034,0.0319598740787978,0.00100272097040007,0.178559023439921,0.000120021553770887,-0.0821264156514734,1.58166197697502,0.9455,0.00507591124823908,0.9455,0.00507591124823908,0.0545,0.00507591124823908,2000,0,0.9455,-0.449999999999995,-0.035427694397714
1,"bundled","between-only","all",100,"narrow","shared-sandwich","gWA",0,0,0.659404693343442,2000,1,0,0.011248064435254,0.00395140873517915,0.176712370774941,0.00279476669091596,0.0313381673074472,0.000994345980727562,0.172228154228789,0.000841768510974068,-2.53757930273186,1.61332813662262,0.918,0.00613498166256428,0.9165,0.00618578006398546,0.082,0.00613498166256428,2000,0,0.918,-3.19999999999999,0.0636518223705995
1,"bundled","between-only","all",100,"narrow","shared-sandwich","gWB",0,0,0.652261696220287,2000,1,0,-0.00633113404784736,0.00399598290160355,0.178705788098248,0.00282629326889034,0.0319598740787978,0.00100272097040007,0.170472768864623,0.000843979761071476,-4.60702438417844,1.58086529655742,0.904,0.00658726043207645,0.9025,0.00663301402079025,0.096,0.00658726043207645,2000,0,0.904,-4.59999999999999,-0.035427694397714
2,"bundled","between-only","all",100,"wide","ipd-anchored","gWA",0,0,0.788135186357615,2000,1,0,0.00115835169022941,0.00459244366365177,0.205380324295271,0.00324816019836534,0.0421613288474651,0.00131624811596952,0.201145220766893,0.000132496889217682,-2.06207850869372,1.55026469208503,0.943,0.00518415856238985,0.9425,0.00520546587732549,0.057,0.00518415856238985,2000,0,0.943,-0.700000000000001,0.0056400324335065
2,"bundled","between-only","all",100,"wide","ipd-anchored","gWB",0,0,0.782603502046067,2000,1,0,0.00266065068867428,0.00456461453064512,0.204135767632116,0.00322847710831404,0.0416576549830269,0.00131549355658643,0.199729596930995,0.000128595321239379,-2.15845108979711,1.54867936083102,0.9405,0.00528960064655168,0.9395,0.0053310294503032,0.0595,0.00528960064655168,2000,0,0.9405,-0.949999999999995,0.0130337310287983
2,"bundled","between-only","all",100,"wide","joint-split","gWA",0,0,0.786899450086209,2000,1,0,0.00104904688846914,0.00458733083290663,0.205151671553199,0.00324454397690599,0.0420672652362754,0.00130846968216638,0.200828545430242,0.00013130334161083,-2.10728291425868,1.54952924405337,0.943,0.00518415856238985,0.943,0.00518415856238985,0.057,0.00518415856238985,2000,0,0.943,-0.700000000000001,0.00511351860078366
2,"bundled","between-only","all",100,"wide","joint-split","gWB",0,0,0.781632668111041,2000,1,0,0.00289187039705039,0.00456138727821322,0.20399144051575,0.00322619452551779,0.0416000644641823,0.00131535957757163,0.199480642433333,0.000127519901229163,-2.21126831155897,1.54782516332852,0.941,0.00526872849936301,0.9405,0.00528960064655168,0.059,0.00526872849936301,2000,0,0.941,-0.900000000000001,0.0141764300979438
2,"bundled","between-only","all",100,"wide","shared-info","gWA",0,0,0.695942702294688,2000,1,0,0.0944817397704777,0.00414400287011302,0.185325442330539,0.0029309853686718,0.0432551459652786,0.00137977232081918,0.177614152993978,0.000115455860651431,-4.16094478965647,1.51700725237525,0.908,0.00646281672337998,0.943,0.00518415856238985,0.092,0.00646281672337998,2000,0,0.908,-4.19999999999999,0.509815266497322
2,"bundled","between-only","all",100,"wide","shared-info","gWB",0,0,0.73442290725232,2000,1,0,-0.0393310623205657,0.004267268039051,0.190838028270605,0.00301816880409597,0.0379478759209595,0.00120198917163031,0.187444338113358,0.00012899656651124,-1.77830917034775,1.55487965257097,0.938,0.00539240206216117,0.942,0.00522666241496426,0.062,0.00539240206216117,2000,0,0.938,-1.2,-0.206096566166545
2,"bundled","between-only","all",100,"wide","shared-sandwich","gWA",0,0,0.652029525572724,2000,1,0,0.0944817397704777,0.00414400287011302,0.185325442330539,0.0029309853686718,0.0432551459652786,0.00137977232081918,0.17052370022242,0.000854945064860696,-7.98689155788925,1.52659060263266,0.871,0.00749529852640974,0.9005,0.00669327087454258,0.129,0.00749529852640974,2000,0,0.871,-7.9,0.509815266497322
2,"bundled","between-only","all",100,"wide","shared-sandwich","gWB",0,0,0.6731973009385,2000,1,0,-0.0393310623205657,0.004267268039051,0.190838028270605,0.00301816880409597,0.0379478759209595,0.00120198917163031,0.176052674464069,0.000874631798204185,-7.74759304553833,1.52929396266972,0.894,0.00688345843308435,0.899,0.00673791510780597,0.106,0.00688345843308435,2000,0,0.894,-5.59999999999999,-0.206096566166545
3,"bundled","between-only","all",400,"narrow","ipd-anchored","gWA",0,0,0.353424614049547,2000,1,0,-0.00258299054976516,0.00199774494408706,0.0893418699337038,0.0014129722842826,0.0079846505785694,0.00026795138145498,0.0901802290297329,4.16783355042869e-05,0.938372004807198,1.59705641778843,0.9515,0.00480352734977121,0.95,0.00487339717240448,0.0485,0.00480352734977121,2000,0,0.9515,0.150000000000006,-0.0289113105835133
3,"bundled","between-only","all",400,"narrow","ipd-anchored","gWB",0,0,0.351418657877868,2000,1,0,2.20271606596868e-05,0.00203789667653996,0.0911375099972849,0.00144137094712982,0.00830189319083676,0.00026154936351775,0.0896684186128116,4.14854133167387e-05,-1.61195032047413,1.55670637681241,0.9465,0.00503178646208283,0.9465,0.00503178646208283,0.0535,0.00503178646208283,2000,0,0.9465,-0.349999999999995,0.000241691490807056
3,"bundled","between-only","all",400,"narrow","joint-split","gWA",0,0,0.353338912545499,2000,1,0,-0.00259401319097978,0.00199630305278828,0.089277386594499,0.00141195245817909,0.00797319543570003,0.00026722538053665,0.0901583366952359,4.16423376791965e-05,0.986756147710977,1.59782110975979,0.9515,0.00480352734977121,0.9505,0.0048502448391808,0.0485,0.00480352734977121,2000,0,0.9515,0.150000000000006,-0.0290556577642879
3,"bundled","between-only","all",400,"narrow","joint-split","gWB",0,0,0.351338064573396,2000,1,0,8.78997433126914e-05,0.00203677808901969,0.091087485242603,0.0014405797884945,0.00829278922920239,0.000261311614934105,0.0896478305247263,4.14499606229472e-05,-1.58051867832596,1.55720285959087,0.9475,0.00498717104178311,0.947,0.0050095408971282,0.0525,0.00498717104178311,2000,0,0.9475,-0.249999999999995,0.00096500351369432
3,"bundled","between-only","all",400,"narrow","shared-info","gWA",0,0,0.347087731571945,2000,1,0,0.0130230946534241,0.00196622485614886,0.0879322487479717,0.00139067864225054,0.00789781532404228,0.000266487451901392,0.0885633650665856,4.09983590457143e-05,0.717730215705914,1.59356763961779,0.9485,0.00494205169944629,0.9485,0.00494205169944629,0.0515,0.00494205169944629,2000,0,0.9485,-0.149999999999995,0.148103737125504
3,"bundled","between-only","all",400,"narrow","shared-info","gWB",0,0,0.348302981583916,2000,1,0,-0.0064529981661583,0.00202081730371494,0.090373697224289,0.00142929098641907,0.00820496263274491,0.000254995224732074,0.0888735305872622,4.12345185295386e-05,-1.6599593500127,1.55595055928932,0.945,0.00509779364038993,0.9455,0.00507591124823908,0.055,0.00509779364038993,2000,0,0.945,-0.5,-0.0714034986323872
3,"bundled","between-only","all",400,"narrow","shared-sandwich","gWA",0,0,0.331419252597322,2000,1,0,0.0130230946534241,0.00196622485614886,0.0879322487479717,0.00139067864225054,0.00789781532404228,0.000266487451901392,0.0865279440381891,0.000416106348794615,-1.59703036119044,1.62663060649572,0.9155,0.00621931467285584,0.9155,0.00621931467285584,0.0845,0.00621931467285584,2000,0,0.9155,-3.45,0.148103737125504
3,"bundled","between-only","all",400,"narrow","shared-sandwich","gWB",0,0,0.325979098897659,2000,1,0,-0.0064529981661583,0.00202081730371494,0.090373697224289,0.00142929098641907,0.00820496263274491,0.000254995224732074,0.0852136500042599,0.000422692608474532,-5.70967812373864,1.56286171020045,0.9065,0.0065099059132986,0.908,0.00646281672337998,0.0935,0.00650990591329859,2000,0,0.9065,-4.35,-0.0714034986323872
