"margin","r","family","label","value","batch_sd","link","gamma"
"normal",0.3,"gauss","identity:0.15",-0.5,9.61481343191782e-17,"identity",0.15
"normal",0.3,"gauss","identity:0.3",-0.5,2.73830006576117e-16,"identity",0.3
"normal",0.3,"gauss","logit:0.15",-0.294030545289872,0.000542797216543929,"logit",0.15
"normal",0.3,"gauss","logit:0.3",-0.185130233132807,0.000781528552146869,"logit",0.3
"normal",0.3,"gauss","log:0.15",-0.0857836252650511,0.00369993123885098,"log",0.15
"normal",0.3,"gauss","log:0.3",0.435937184344939,0.0101088855521169,"log",0.3
"normal",0.3,"gauss","cloglog:0.15",-0.303118806915102,0.000501426430369105,"cloglog",0.15
"normal",0.3,"gauss","cloglog:0.3",-0.249536511227262,0.000613901038756569,"cloglog",0.3
"normal",0.3,"clayton","identity:0.15",-0.5,9.06493303673679e-17,"identity",0.15
"normal",0.3,"clayton","identity:0.3",-0.5,9.06493303673679e-17,"identity",0.3
"normal",0.3,"clayton","logit:0.15",-0.29682188261013,0.000253550213311348,"logit",0.15
"normal",0.3,"clayton","logit:0.3",-0.179162485104702,0.000235684146765074,"logit",0.3
"normal",0.3,"clayton","log:0.15",-0.165747732846214,0.00125865845748693,"log",0.15
"normal",0.3,"clayton","log:0.3",0.239615973079573,0.00293841947375131,"log",0.3
"normal",0.3,"clayton","cloglog:0.15",-0.300282150047685,0.000134257241046512,"cloglog",0.15
"normal",0.3,"clayton","cloglog:0.3",-0.234946254691849,0.000260099308993405,"cloglog",0.3
"normal",0.3,"gumbel","identity:0.15",-0.5,1.06295761943136e-16,"identity",0.15
"normal",0.3,"gumbel","identity:0.3",-0.5,1.50324908162764e-16,"identity",0.3
"normal",0.3,"gumbel","logit:0.15",-0.301395816655805,0.000110397243208941,"logit",0.15
"normal",0.3,"gumbel","logit:0.3",-0.204353114265361,0.000189243374766042,"logit",0.3
"normal",0.3,"gumbel","log:0.15",0.0862039027061708,0.0100327299100404,"log",0.15
"normal",0.3,"gumbel","log:0.3",0.898256154188515,0.0386851356932667,"log",0.3
"normal",0.3,"gumbel","cloglog:0.15",-0.314448917369837,0.000102436248094422,"cloglog",0.15
"normal",0.3,"gumbel","cloglog:0.3",-0.269200234819304,0.00036990828185748,"cloglog",0.3
"normal",0.3,"sclayton","identity:0.15",-0.5,5.55111512312578e-17,"identity",0.15
"normal",0.3,"sclayton","identity:0.3",-0.5,7.85046229341888e-17,"identity",0.3
"normal",0.3,"sclayton","logit:0.15",-0.29876838849964,0.000441831355857416,"logit",0.15
"normal",0.3,"sclayton","logit:0.3",-0.202519982711286,0.000681283850908963,"logit",0.3
"normal",0.3,"sclayton","log:0.15",0.0778123392292159,0.00212408315393652,"log",0.15
"normal",0.3,"sclayton","log:0.3",0.867208195178581,0.00532217246276897,"log",0.3
"normal",0.3,"sclayton","cloglog:0.15",-0.313063025871776,0.000444810040712344,"cloglog",0.15
"normal",0.3,"sclayton","cloglog:0.3",-0.270832121386532,0.000622613143449799,"cloglog",0.3
"normal",0.3,"sgumbel","identity:0.15",-0.5,7.16645880824876e-17,"identity",0.15
"normal",0.3,"sgumbel","identity:0.3",-0.5,3.20493781063927e-17,"identity",0.3
"normal",0.3,"sgumbel","logit:0.15",-0.298610683334466,0.000514895963864208,"logit",0.15
"normal",0.3,"sgumbel","logit:0.3",-0.184941290057674,0.000655053141851128,"logit",0.3
"normal",0.3,"sgumbel","log:0.15",-0.143333844813871,0.00205176680408175,"log",0.15
"normal",0.3,"sgumbel","log:0.3",0.297052396122209,0.00534075591475153,"log",0.3
"normal",0.3,"sgumbel","cloglog:0.15",-0.3039407841079,0.000430480393832962,"cloglog",0.15
"normal",0.3,"sgumbel","cloglog:0.3",-0.242508776657219,0.00043204718929534,"cloglog",0.3
"normal",0.3,"t3","identity:0.15",-0.5,9.61481343191782e-17,"identity",0.15
"normal",0.3,"t3","identity:0.3",-0.5,1.11022302462516e-16,"identity",0.3
"normal",0.3,"t3","logit:0.15",-0.304226957765079,0.000441079203316105,"logit",0.15
"normal",0.3,"t3","logit:0.3",-0.202216869556411,0.000567360133867561,"logit",0.3
"normal",0.3,"t3","log:0.15",0.00979677454510369,0.00944939328106069,"log",0.15
"normal",0.3,"t3","log:0.3",0.722272062772964,0.0380327502527006,"log",0.3
"normal",0.3,"t3","cloglog:0.15",-0.314150945466852,0.000364587081139801,"cloglog",0.15
"normal",0.3,"t3","cloglog:0.3",-0.262017670545979,0.000350419247628558,"cloglog",0.3
"normal",0.3,"gauss_uncal","identity:0.15",-0.5,6.40987562127855e-17,"identity",0.15
"normal",0.3,"gauss_uncal","identity:0.3",-0.5,1.6342040436301e-16,"identity",0.3
"normal",0.3,"gauss_uncal","logit:0.15",-0.293891213952614,0.000288926398692867,"logit",0.15
"normal",0.3,"gauss_uncal","logit:0.3",-0.184931365516163,0.000449013265230678,"logit",0.3
"normal",0.3,"gauss_uncal","log:0.15",-0.0849662396964318,0.00125519348258381,"log",0.15
"normal",0.3,"gauss_uncal","log:0.3",0.438424367662579,0.00445151507174338,"log",0.3
"normal",0.3,"gauss_uncal","cloglog:0.15",-0.302947055018043,0.000305633390105352,"cloglog",0.15
"normal",0.3,"gauss_uncal","cloglog:0.3",-0.249396774573116,0.000362402825407483,"cloglog",0.3
"beta",0.3,"gauss","identity:0.15",-0.5,1.35973995551052e-16,"identity",0.15
"beta",0.3,"gauss","identity:0.3",-0.5,1.24126707662364e-16,"identity",0.3
"beta",0.3,"gauss","logit:0.15",-0.294202286029612,0.000140031733341775,"logit",0.15
"beta",0.3,"gauss","logit:0.3",-0.197520136048942,0.000247649556885623,"logit",0.3
"beta",0.3,"gauss","log:0.15",0.0344519943350256,0.00479302664804275,"log",0.15
"beta",0.3,"gauss","log:0.3",0.726011170998606,0.01272125706103,"log",0.3
"beta",0.3,"gauss","cloglog:0.15",-0.309554630353268,0.000166682685571096,"cloglog",0.15
"beta",0.3,"gauss","cloglog:0.3",-0.269739374269911,0.00034783934293114,"cloglog",0.3
"beta",0.3,"clayton","identity:0.15",-0.5,9.06493303673679e-17,"identity",0.15
"beta",0.3,"clayton","identity:0.3",-0.5,1.57009245868378e-16,"identity",0.3
"beta",0.3,"clayton","logit:0.15",-0.28870229600543,0.000199487335868284,"logit",0.15
"beta",0.3,"clayton","logit:0.3",-0.179466515958866,0.000209876251351699,"logit",0.3
