"margin","r","n","label","mean","sd"
"normal",0.6,64,"identity:0.15",-0.5,6.33291381868393e-17
"normal",0.6,64,"identity:0.3",-0.5,7.45591451864546e-17
"normal",0.6,64,"logit:0.15",-0.257130464192877,0.0103400482150839
"normal",0.6,64,"logit:0.3",-0.141951747460705,0.0140508941406397
"normal",0.6,64,"log:0.15",0.0386192235486804,0.138830580780638
"normal",0.6,64,"log:0.3",0.678504161860146,0.306524586304156
"normal",0.6,64,"cloglog:0.15",-0.27359118691787,0.00942522796839568
"normal",0.6,64,"cloglog:0.3",-0.223464451210011,0.0126741488900334
"normal",0.6,256,"identity:0.15",-0.5,5.20562309241871e-17
"normal",0.6,256,"identity:0.3",-0.5,6.35731820128325e-17
"normal",0.6,256,"logit:0.15",-0.257323665224584,0.00355124538718708
"normal",0.6,256,"logit:0.3",-0.142379150311566,0.00517449242899007
"normal",0.6,256,"log:0.15",0.0528229408930431,0.0782938168272243
"normal",0.6,256,"log:0.3",0.729157318267469,0.194813804243657
"normal",0.6,256,"cloglog:0.15",-0.273898715978,0.0034739236176144
"normal",0.6,256,"cloglog:0.3",-0.224306832475558,0.00443238025397386
"normal",0.6,1024,"identity:0.15",-0.5,4.68919041005457e-17
"normal",0.6,1024,"identity:0.3",-0.5,6.0323652164806e-17
"normal",0.6,1024,"logit:0.15",-0.257534320411712,0.000992813719111273
"normal",0.6,1024,"logit:0.3",-0.14280414285476,0.00137203382096645
"normal",0.6,1024,"log:0.15",0.0618106482578634,0.0379376091404217
"normal",0.6,1024,"log:0.3",0.759644190995598,0.107940331674866
"normal",0.6,1024,"cloglog:0.15",-0.274068133187031,0.00086183627228066
"normal",0.6,1024,"cloglog:0.3",-0.224281448626314,0.00111398422019769
"normal",0.6,4096,"identity:0.15",-0.5,5.02397532989429e-17
"normal",0.6,4096,"identity:0.3",-0.5,5.86313890346493e-17
"normal",0.6,4096,"logit:0.15",-0.257560273503095,0.000313677294375151
"normal",0.6,4096,"logit:0.3",-0.142771228423053,0.000445149932447355
"normal",0.6,4096,"log:0.15",0.0684249006978847,0.0206072391706376
"normal",0.6,4096,"log:0.3",0.783527278814586,0.0663486411397552
"normal",0.6,4096,"cloglog:0.15",-0.274044951626439,0.000279324275025749
"normal",0.6,4096,"cloglog:0.3",-0.224199264814603,0.000364746240813388
"beta",0.6,64,"identity:0.15",-0.5,5.634178817065e-17
"beta",0.6,64,"identity:0.3",-0.5,6.60812500835192e-17
"beta",0.6,64,"logit:0.15",-0.25883420838749,0.0096152664173557
"beta",0.6,64,"logit:0.3",-0.161136158693876,0.0138414941621366
"beta",0.6,64,"log:0.15",0.19232691137579,0.184049792468414
"beta",0.6,64,"log:0.3",1.0066966484657,0.393251918041053
"beta",0.6,64,"cloglog:0.15",-0.282973597786568,0.00927149969848971
"beta",0.6,64,"cloglog:0.3",-0.249405735167371,0.0131421287221027
"beta",0.6,256,"identity:0.15",-0.5,5.06999743901519e-17
"beta",0.6,256,"identity:0.3",-0.5,5.84991873127988e-17
"beta",0.6,256,"logit:0.15",-0.258815396392565,0.00349002810517408
"beta",0.6,256,"logit:0.3",-0.161350670750827,0.00540221298120994
"beta",0.6,256,"log:0.15",0.228514862459184,0.111455910961879
"beta",0.6,256,"log:0.3",1.11575293128631,0.261887766541852
"beta",0.6,256,"cloglog:0.15",-0.283168866423962,0.00355948342942191
"beta",0.6,256,"cloglog:0.3",-0.250216683637859,0.00474187693991585
"beta",0.6,1024,"identity:0.15",-0.5,5.49504181560222e-17
"beta",0.6,1024,"identity:0.3",-0.5,6.72426966394515e-17
"beta",0.6,1024,"logit:0.15",-0.25911483966908,0.000928815069751085
"beta",0.6,1024,"logit:0.3",-0.161805422536333,0.00138259278575803
"beta",0.6,1024,"log:0.15",0.246395886621208,0.0535050887859803
"beta",0.6,1024,"log:0.3",1.17222264438092,0.140668597800984
"beta",0.6,1024,"cloglog:0.15",-0.28328815277983,0.000824482083080831
"beta",0.6,1024,"cloglog:0.3",-0.250017641048039,0.0011492113175535
"beta",0.6,4096,"identity:0.15",-0.5,4.97752771957649e-17
"beta",0.6,4096,"identity:0.3",-0.5,6.59639806919362e-17
"beta",0.6,4096,"logit:0.15",-0.259123011425162,0.000292479603334658
"beta",0.6,4096,"logit:0.3",-0.161732997987113,0.000446003711270417
"beta",0.6,4096,"log:0.15",0.257687858439936,0.0278658944533465
"beta",0.6,4096,"log:0.3",1.21008776569426,0.0816972659545903
"beta",0.6,4096,"cloglog:0.15",-0.283251205132937,0.000269720313776954
"beta",0.6,4096,"cloglog:0.3",-0.24991792676487,0.000369418713252604
