"margin","link","gamma","r","n","label","mean","sd","truth_family","truth","error","rmse"
"beta","cloglog",0.15,0.6,64,"cloglog:0.15",-0.282973597786568,0.00927149969848971,"t3",-0.289890304254852,0.00662964209096173,0.0115672613451714
"beta","cloglog",0.15,0.6,64,"cloglog:0.15",-0.282973597786568,0.00927149969848971,"gumbel",-0.297180731566727,0.0139200694028375,0.0169647681064738
"beta","cloglog",0.15,0.6,64,"cloglog:0.15",-0.282973597786568,0.00927149969848971,"clayton",-0.263374766670134,-0.0198858954937558,0.0216812104779599
"beta","cloglog",0.15,0.6,64,"cloglog:0.15",-0.282973597786568,0.00927149969848971,"gauss",-0.28326066216389,0,0.00927594268071025
"beta","cloglog",0.15,0.6,256,"cloglog:0.15",-0.283168866423962,0.00355948342942191,"t3",-0.289890304254852,0.00662964209096173,0.00760576418243747
"beta","cloglog",0.15,0.6,256,"cloglog:0.15",-0.283168866423962,0.00355948342942191,"gumbel",-0.297180731566727,0.0139200694028375,0.0144569113943249
"beta","cloglog",0.15,0.6,256,"cloglog:0.15",-0.283168866423962,0.00355948342942191,"clayton",-0.263374766670134,-0.0198858954937558,0.0201115963401423
"beta","cloglog",0.15,0.6,256,"cloglog:0.15",-0.283168866423962,0.00355948342942191,"gauss",-0.28326066216389,0,0.00356066689570902
"beta","cloglog",0.15,0.6,1024,"cloglog:0.15",-0.28328815277983,0.000824482083080831,"t3",-0.289890304254852,0.00662964209096173,0.00665343330953702
"beta","cloglog",0.15,0.6,1024,"cloglog:0.15",-0.28328815277983,0.000824482083080831,"gumbel",-0.297180731566727,0.0139200694028375,0.0139170225283809
"beta","cloglog",0.15,0.6,1024,"cloglog:0.15",-0.28328815277983,0.000824482083080831,"clayton",-0.263374766670134,-0.0198858954937558,0.0199304469859347
"beta","cloglog",0.15,0.6,1024,"cloglog:0.15",-0.28328815277983,0.000824482083080831,"gauss",-0.28326066216389,0,0.000824940264071324
"beta","cloglog",0.15,0.6,4096,"cloglog:0.15",-0.283251205132937,0.000269720313776954,"t3",-0.289890304254852,0.00662964209096173,0.0066445756973848
"beta","cloglog",0.15,0.6,4096,"cloglog:0.15",-0.283251205132937,0.000269720313776954,"gumbel",-0.297180731566727,0.0139200694028375,0.0139321375142983
"beta","cloglog",0.15,0.6,4096,"cloglog:0.15",-0.283251205132937,0.000269720313776954,"clayton",-0.263374766670134,-0.0198858954937558,0.0198782684108365
"beta","cloglog",0.15,0.6,4096,"cloglog:0.15",-0.283251205132937,0.000269720313776954,"gauss",-0.28326066216389,0,0.000269886055768698
"beta","cloglog",0.3,0.6,64,"cloglog:0.3",-0.249405735167371,0.0131421287221027,"t3",-0.256727999166323,0.00693524743315077,0.0150443044843776
"beta","cloglog",0.3,0.6,64,"cloglog:0.3",-0.249405735167371,0.0131421287221027,"gumbel",-0.271266575738323,0.0214738240051502,0.0255070950485723
"beta","cloglog",0.3,0.6,64,"cloglog:0.3",-0.249405735167371,0.0131421287221027,"clayton",-0.217756229012512,-0.0320365227206602,0.0342696190115206
"beta","cloglog",0.3,0.6,64,"cloglog:0.3",-0.249405735167371,0.0131421287221027,"gauss",-0.249792751733173,0,0.0131478260245001
"beta","cloglog",0.3,0.6,1024,"cloglog:0.3",-0.250017641048039,0.0011492113175535,"t3",-0.256727999166323,0.00693524743315077,0.00680805351976711
"beta","cloglog",0.3,0.6,1024,"cloglog:0.3",-0.250017641048039,0.0011492113175535,"gumbel",-0.271266575738323,0.0214738240051502,0.0212799885367533
"beta","cloglog",0.3,0.6,1024,"cloglog:0.3",-0.250017641048039,0.0011492113175535,"clayton",-0.217756229012512,-0.0320365227206602,0.0322818740654634
"beta","cloglog",0.3,0.6,1024,"cloglog:0.3",-0.250017641048039,0.0011492113175535,"gauss",-0.249792751733173,0,0.00117100890531795
"beta","cloglog",0.3,0.6,256,"cloglog:0.3",-0.250216683637859,0.00474187693991585,"t3",-0.256727999166323,0.00693524743315077,0.00805497528391753
"beta","cloglog",0.3,0.6,256,"cloglog:0.3",-0.250216683637859,0.00474187693991585,"gumbel",-0.271266575738323,0.0214738240051502,0.0215773806184737
"beta","cloglog",0.3,0.6,256,"cloglog:0.3",-0.250216683637859,0.00474187693991585,"clayton",-0.217756229012512,-0.0320365227206602,0.0328049769303
"beta","cloglog",0.3,0.6,256,"cloglog:0.3",-0.250216683637859,0.00474187693991585,"gauss",-0.249792751733173,0,0.00476078934349299
"beta","cloglog",0.3,0.6,4096,"cloglog:0.3",-0.24991792676487,0.000369418713252604,"t3",-0.256727999166323,0.00693524743315077,0.00682008477210751
"beta","cloglog",0.3,0.6,4096,"cloglog:0.3",-0.24991792676487,0.000369418713252604,"gumbel",-0.271266575738323,0.0214738240051502,0.0213518449595677
"beta","cloglog",0.3,0.6,4096,"cloglog:0.3",-0.24991792676487,0.000369418713252604,"clayton",-0.217756229012512,-0.0320365227206602,0.0321638193083429
"beta","cloglog",0.3,0.6,4096,"cloglog:0.3",-0.24991792676487,0.000369418713252604,"gauss",-0.249792751733173,0,0.000390049963801508
"beta","identity",0.15,0.6,64,"identity:0.15",-0.5,5.634178817065e-17,"gauss",-0.5,0,5.634178817065e-17
"beta","identity",0.15,0.6,64,"identity:0.15",-0.5,5.634178817065e-17,"t3",-0.5,5.55111512312578e-17,5.634178817065e-17
"beta","identity",0.15,0.6,64,"identity:0.15",-0.5,5.634178817065e-17,"clayton",-0.5,5.55111512312578e-17,5.634178817065e-17
"beta","identity",0.15,0.6,64,"identity:0.15",-0.5,5.634178817065e-17,"gumbel",-0.5,5.55111512312578e-17,5.634178817065e-17
"beta","identity",0.15,0.6,1024,"identity:0.15",-0.5,5.49504181560222e-17,"gauss",-0.5,0,5.49504181560222e-17
"beta","identity",0.15,0.6,1024,"identity:0.15",-0.5,5.49504181560222e-17,"t3",-0.5,5.55111512312578e-17,5.49504181560222e-17
"beta","identity",0.15,0.6,1024,"identity:0.15",-0.5,5.49504181560222e-17,"clayton",-0.5,5.55111512312578e-17,5.49504181560222e-17
"beta","identity",0.15,0.6,1024,"identity:0.15",-0.5,5.49504181560222e-17,"gumbel",-0.5,5.55111512312578e-17,5.49504181560222e-17
"beta","identity",0.15,0.6,256,"identity:0.15",-0.5,5.06999743901519e-17,"gauss",-0.5,0,5.06999743901519e-17
"beta","identity",0.15,0.6,256,"identity:0.15",-0.5,5.06999743901519e-17,"t3",-0.5,5.55111512312578e-17,5.06999743901519e-17
"beta","identity",0.15,0.6,256,"identity:0.15",-0.5,5.06999743901519e-17,"clayton",-0.5,5.55111512312578e-17,5.06999743901519e-17
"beta","identity",0.15,0.6,256,"identity:0.15",-0.5,5.06999743901519e-17,"gumbel",-0.5,5.55111512312578e-17,5.06999743901519e-17
"beta","identity",0.15,0.6,4096,"identity:0.15",-0.5,4.97752771957649e-17,"gauss",-0.5,0,4.97752771957649e-17
"beta","identity",0.15,0.6,4096,"identity:0.15",-0.5,4.97752771957649e-17,"t3",-0.5,5.55111512312578e-17,4.97752771957649e-17
"beta","identity",0.15,0.6,4096,"identity:0.15",-0.5,4.97752771957649e-17,"clayton",-0.5,5.55111512312578e-17,4.97752771957649e-17
"beta","identity",0.15,0.6,4096,"identity:0.15",-0.5,4.97752771957649e-17,"gumbel",-0.5,5.55111512312578e-17,4.97752771957649e-17
"beta","identity",0.3,0.6,64,"identity:0.3",-0.5,6.60812500835192e-17,"clayton",-0.5,2.22044604925031e-16,6.60812500835192e-17
"beta","identity",0.3,0.6,64,"identity:0.3",-0.5,6.60812500835192e-17,"gumbel",-0.5,5.55111512312578e-17,6.60812500835192e-17
"beta","identity",0.3,0.6,64,"identity:0.3",-0.5,6.60812500835192e-17,"gauss",-0.5,0,6.60812500835192e-17
"beta","identity",0.3,0.6,64,"identity:0.3",-0.5,6.60812500835192e-17,"t3",-0.5,2.22044604925031e-16,6.60812500835192e-17
"beta","identity",0.3,0.6,256,"identity:0.3",-0.5,5.84991873127988e-17,"clayton",-0.5,2.22044604925031e-16,5.84991873127988e-17
"beta","identity",0.3,0.6,256,"identity:0.3",-0.5,5.84991873127988e-17,"gumbel",-0.5,5.55111512312578e-17,5.84991873127988e-17
