"link","truth_family","recon","max_abs_error","max_mcse"
"cloglog","gumbel","clayton",0.0535103467258105,0.000281388017603094
"identity","gumbel","clayton",1.66533453693773e-16,1.0508091333739e-16
"log","gumbel","clayton",0.938861568510603,0.0193982862168941
"logit","gumbel","clayton",0.0572878451182639,0.000307324193782755
"cloglog","t3","clayton",0.038971770153811,0.000218200194573361
"identity","t3","clayton",1.11022302462516e-16,1.02608074873846e-16
"log","t3","clayton",0.810848293484023,0.0190730464319942
"logit","t3","clayton",0.0445881840503476,0.000307182575408583
"cloglog","clayton","gauss",0.0320365227206602,0.000339540128447544
"identity","clayton","gauss",2.22044604925031e-16,1.44222201478767e-16
"log","clayton","gauss",0.510000417821579,0.0078725692984105
"logit","clayton","gauss",0.0338296601453046,0.000408146387604118
"cloglog","gumbel","gauss",0.0226547988680721,0.000358366649666632
"identity","gumbel","gauss",2.22044604925031e-16,1.56189348641016e-16
"log","gumbel","gauss",0.628712169221055,0.0199920564894676
"logit","gumbel","gauss",0.0260497682769458,0.000402057188940088
"cloglog","t3","gauss",0.0129662780664898,0.000353436038943031
"identity","t3","gauss",2.22044604925031e-16,1.47740333140239e-16
"log","t3","gauss",0.4733521976182,0.0196766337243575
"logit","t3","gauss",0.01746190109246,0.000482877934710988
"cloglog","clayton","gauss_uncal",0.0327951017806628,0.000340468535394307
"identity","clayton","gauss_uncal",1.11022302462516e-16,1.11022302462516e-16
"log","clayton","gauss_uncal",0.51388837421771,0.0101671748439568
"logit","clayton","gauss_uncal",0.0347614057358075,0.000354098131476479
"cloglog","gauss","gauss_uncal",0.000758579060002595,0.00043320521752884
"identity","gauss","gauss_uncal",1.11022302462516e-16,1.59443642914704e-16
"log","gauss","gauss_uncal",0.012986637924588,0.0118498687333688
"logit","gauss","gauss_uncal",0.00093174559050288,0.000450666115370874
"cloglog","gumbel","gauss_uncal",0.0219836788962174,0.000335134428120208
"identity","gumbel","gauss_uncal",1.11022302462516e-16,1.11022302462516e-16
"log","gumbel","gauss_uncal",0.638344680279902,0.0194702061496561
"logit","gumbel","gauss_uncal",0.0251819643904097,0.000411558334244942
"cloglog","t3","gauss_uncal",0.0126208959728631,0.000324172429228427
"identity","t3","gauss_uncal",1.11022302462516e-16,9.87828175927473e-17
"log","t3","gauss_uncal",0.482984708677047,0.0191461881207348
"logit","t3","gauss_uncal",0.0172855040402486,0.000361770104436275
"cloglog","clayton","gumbel",0.0535103467258105,0.000281388017603094
"identity","clayton","gumbel",1.66533453693773e-16,1.0508091333739e-16
"log","clayton","gumbel",0.938861568510603,0.0193982862168941
"logit","clayton","gumbel",0.0572878451182639,0.000307324193782755
"cloglog","t3","gumbel",0.0145385765719995,0.000282138227734684
"identity","t3","gumbel",2.22044604925031e-16,1.01349032408135e-16
"log","t3","gumbel",0.175984091415551,0.0271248493792627
"logit","t3","gumbel",0.0126996610679163,0.000316844636939181
"cloglog","clayton","sclayton",0.0594257378308541,0.000337379155007866
"identity","clayton","sclayton",1.66533453693773e-16,1.01349032408135e-16
"log","clayton","sclayton",0.963158623532708,0.0118040051882921
"logit","clayton","sclayton",0.0615487816800316,0.000360449269157855
"cloglog","gumbel","sclayton",0.00591539110504363,0.000435002211424125
"identity","gumbel","sclayton",1.11022302462516e-16,8.47946841437933e-17
"log","gumbel","sclayton",0.135803652740839,0.0195247614795285
"logit","gumbel","sclayton",0.00426093656176765,0.000446152956807046
"cloglog","t3","sclayton",0.0204539676770431,0.000357225690392294
"identity","t3","sclayton",1.11022302462516e-16,9.74743781324629e-17
"log","t3","sclayton",0.20079972808179,0.019201664065308
"logit","t3","sclayton",0.016960597629684,0.000443295952781988
"cloglog","clayton","sgumbel",0.0170911531849517,0.000350089676559008
"identity","clayton","sgumbel",1.11022302462516e-16,1.53703417825207e-16
"log","clayton","sgumbel",0.277184207119656,0.00685109407850534
"logit","clayton","sgumbel",0.0194079180156692,0.000520344958577334
"cloglog","gumbel","sgumbel",0.0364191935408587,0.000326622370785689
"identity","gumbel","sgumbel",1.11022302462516e-16,1.50324908162764e-16
"log","gumbel","sgumbel",0.799176807729612,0.0195260300454766
"logit","gumbel","sgumbel",0.0378799271025947,0.000483649116337805
"cloglog","t3","sgumbel",0.0257229713432313,0.000320542286634768
"identity","t3","sgumbel",1.11022302462516e-16,1.5782488380293e-16
"log","t3","sgumbel",0.643816836126756,0.0192029539753995
"logit","t3","sgumbel",0.0267228917223615,0.00047104340064594
