"cell","ratio","het","K","method","n","bias","coverage","cov_mcse","width","se_ratio","tau_shared","tau1","tau2"
1,1,"bridging",3,"shared",2000,-0.00194334413072225,0.955,0.00463546114210873,0.60776951048017,1.0753720695105,0.0584819519020047,0.0656838280377474,0.0600798405389795
1,1,"bridging",3,"shared_hk",2000,-0.00194334413072225,0.997,0.00122290637417588,0.928796380032027,1.16013181612538,0.0584819519020047,0.0656838280377474,0.0600798405389795
1,1,"bridging",3,"shrunk",2000,-0.00186911528239816,0.958,0.00448530935387962,0.620965182151218,1.09313971719178,0.0584819519020047,0.0656838280377474,0.0600798405389795
1,1,"bridging",3,"stratified",2000,-0.00176046546027747,0.96,0.00438178046004133,0.63585760333218,1.11243918107398,0.0584819519020047,0.0656838280377474,0.0600798405389795
1,1,"bridging",3,"stratified_hk",2000,-0.00176046546027747,0.997,0.00122290637417588,0.910590296374135,1.12462156256386,0.0584819519020047,0.0656838280377474,0.0600798405389795
2,2,"bridging",3,"shared",2000,-0.00604299727532956,0.9435,0.00516273909857936,0.628523845504221,1.05890180520862,0.0705351852803763,0.0846062701553956,0.0613597990210165
2,2,"bridging",3,"shared_hk",2000,-0.00604299727532956,0.991,0.00211175282644537,0.9636095676639,1.1460459039961,0.0705351852803763,0.0846062701553956,0.0613597990210165
2,2,"bridging",3,"shrunk",2000,-0.0060918372643545,0.948,0.00496467521596328,0.641644819403302,1.07929804697478,0.0705351852803763,0.0846062701553956,0.0613597990210165
2,2,"bridging",3,"stratified",2000,-0.00611748863088316,0.951,0.00482695556225661,0.656259569384079,1.10252947967737,0.0705351852803763,0.0846062701553956,0.0613597990210165
2,2,"bridging",3,"stratified_hk",2000,-0.00611748863088316,0.9915,0.00205277251540447,0.940602751149999,1.11554677798538,0.0705351852803763,0.0846062701553956,0.0613597990210165
3,5,"bridging",3,"stratified_hk",2000,0.00385715868089232,0.9785,0.00324328151722911,1.14624475738828,1.00787238781215,0.142029184953764,0.194291058104713,0.0626671670321514
3,5,"bridging",3,"shared",2000,0.00427745973317588,0.897,0.00679672715356443,0.772656386777188,0.96296637418469,0.142029184953764,0.194291058104713,0.0626671670321514
3,5,"bridging",3,"shared_hk",2000,0.00427745973317588,0.978,0.00327993902382346,1.22493022035679,1.07771282949547,0.142029184953764,0.194291058104713,0.0626671670321514
3,5,"bridging",3,"shrunk",2000,0.0042312603848605,0.9035,0.00660256578914591,0.786311433299758,0.98035814545201,0.142029184953764,0.194291058104713,0.0626671670321514
3,5,"bridging",3,"stratified",2000,0.00385715868089232,0.9065,0.0065099059132986,0.800741251572072,0.997363354635551,0.142029184953764,0.194291058104713,0.0626671670321514
4,2,"other",3,"shared",2000,0.00272474990073814,0.941,0.00526872849936301,0.620860461088883,1.0341374518886,0.0668327703606676,0.0636199902760386,0.0785951523300467
4,2,"other",3,"shared_hk",2000,0.00272474990073814,0.997,0.00122290637417588,0.954026330468243,1.12179010476889,0.0668327703606676,0.0636199902760386,0.0785951523300467
4,2,"other",3,"shrunk",2000,0.00280049018491468,0.948,0.00496467521596328,0.635160741064037,1.05824490562557,0.0668327703606676,0.0636199902760386,0.0785951523300467
4,2,"other",3,"stratified",2000,0.00276947077658105,0.9565,0.00456112650559048,0.651236895690042,1.08423500437963,0.0668327703606676,0.0636199902760386,0.0785951523300467
4,2,"other",3,"stratified_hk",2000,0.00276947077658105,0.997,0.00122290637417588,0.933271914551547,1.09688122689732,0.0668327703606676,0.0636199902760386,0.0785951523300467
5,5,"other",3,"stratified_hk",2000,-0.000299738386713916,0.974,0.00355837041354607,1.15464756492451,0.993248851298118,0.147282410328663,0.0683549110725551,0.197249126771395
5,5,"other",3,"shared",2000,-0.000866830833973963,0.9065,0.0065099059132986,0.778777762240229,0.949631877734624,0.147282410328663,0.0683549110725551,0.197249126771395
5,5,"other",3,"stratified",2000,-0.000299738386713916,0.917,0.00616891400491205,0.806904868363554,0.983250063288112,0.147282410328663,0.0683549110725551,0.197249126771395
5,5,"other",3,"shared_hk",2000,-0.000866830833973963,0.974,0.00355837041354607,1.23583614514792,1.06382358938464,0.147282410328663,0.0683549110725551,0.197249126771395
5,5,"other",3,"shrunk",2000,-0.000609162437297067,0.9135,0.00628560856242258,0.792480285851721,0.966406894591703,0.147282410328663,0.0683549110725551,0.197249126771395
6,1,"bridging",6,"stratified_hk",2000,0.00178900141017465,0.978,0.00327993902382346,0.48580919307893,1.11067398788809,0.0509333377230805,0.0545280803065318,0.0552998202551362
6,1,"bridging",6,"shared_hk",2000,0.00170847110645953,0.979,0.00320616593457045,0.490156141622904,1.12533313110966,0.0509333377230805,0.0545280803065318,0.0552998202551362
6,1,"bridging",6,"shared",2000,0.00170847110645953,0.9505,0.0048502448391808,0.407229471560322,1.06285014805121,0.0509333377230805,0.0545280803065318,0.0552998202551362
6,1,"bridging",6,"stratified",2000,0.00178900141017465,0.957,0.00453602248671675,0.420601927904357,1.09314635525883,0.0509333377230805,0.0545280803065318,0.0552998202551362
6,1,"bridging",6,"shrunk",2000,0.00173113374998211,0.957,0.00453602248671675,0.415792181711368,1.08291759101827,0.0509333377230805,0.0545280803065318,0.0552998202551362
7,2,"bridging",6,"stratified",2000,-0.000676994786594422,0.9495,0.00489641450451246,0.438774219331823,1.03364025921536,0.0659759988051305,0.0822003073011225,0.0549169892373072
7,2,"bridging",6,"stratified_hk",2000,-0.000676994786594422,0.973,0.00362429303451032,0.507041821274214,1.05071737946988,0.0659759988051305,0.0822003073011225,0.0549169892373072
7,2,"bridging",6,"shrunk",2000,-0.000672892016796134,0.9465,0.00503178646208283,0.433611420078426,1.02265669169473,0.0659759988051305,0.0822003073011225,0.0549169892373072
7,2,"bridging",6,"shared",2000,-0.000545764909931842,0.9425,0.00520546587732549,0.424246699527822,1.00110754369488,0.0659759988051305,0.0822003073011225,0.0549169892373072
