"cell","method","n_ok","n_fail","bias","bias_mcse","emp_se","mod_se","coverage","cov_mcse","width","realized_pred","arm_C_bias","arm_B_bias","rho0","drho","cv_t","cv_lam","n_arm","gamma","arm","predicted","pred_arm_C","pred_arm_B"
1,"borrowed",1000,0,-0.00292994530816727,0.00331986796968789,0.104983443152526,0.104956329001435,0.951,0.00682634602111555,0.411421249584697,-0.000204395282726622,0.00105391136837621,-0.00131990843205916,0,0,0.3,0.2,250,0.2,"main",0,0,0
1,"sensitivity",1000,0,-0.00290808666886924,0.00332107100409695,0.105021486440888,NA,0.981,0.00431729081716764,0.501789730301401,-0.000204395282726622,0.00105391136837621,-0.00131990843205916,0,0,0.3,0.2,250,0.2,"main",0,0,0
1,"weighted",1000,0,-0.00252290445067712,0.00331604582563411,0.104862576344973,0.104908750591547,0.953,0.00669260786241059,0.411234745645055,-0.000204395282726622,0.00105391136837621,-0.00131990843205916,0,0,0.3,0.2,250,0.2,"main",0,0,0
1,"unweighted",1000,0,-0.00290808666886924,0.00332107100409695,0.105021486440888,0.104935825045895,0.95,0.00689202437604511,0.411340875555899,-0.000204395282726622,0.00105391136837621,-0.00131990843205916,0,0,0.3,0.2,250,0.2,"main",0,0,0
2,"borrowed",1000,0,0.00133133696691077,0.00320325132505194,0.101295701051165,0.102490777436623,0.954,0.00662449998113065,0.401756465046583,-0.0131529701261381,-0.0117760985113102,-0.0251053786352373,-0.2,0,0.3,0.2,250,0.2,"main",-0.013102144070421,-0.0120725812342692,-0.0251747253046903
2,"weighted",1000,0,0.00158482660147868,0.00317312364174347,0.100342980052375,0.102456805927907,0.959,0.00627048642451286,0.401623299179415,-0.0131529701261381,-0.0117760985113102,-0.0251053786352373,-0.2,0,0.3,0.2,250,0.2,"main",-0.013102144070421,-0.0120725812342692,-0.0251747253046903
2,"unweighted",1000,0,-0.0116017711580085,0.00328095739074204,0.103752982607079,0.105720935860752,0.952,0.00675988165576884,0.414418453397886,-0.0131529701261381,-0.0117760985113102,-0.0251053786352373,-0.2,0,0.3,0.2,250,0.2,"main",-0.013102144070421,-0.0120725812342692,-0.0251747253046903
2,"sensitivity",1000,0,-0.0116017711580085,0.00328095739074204,0.103752982607079,NA,0.986,0.00371537346709587,0.505610764666523,-0.0131529701261381,-0.0117760985113102,-0.0251053786352373,-0.2,0,0.3,0.2,250,0.2,"main",-0.013102144070421,-0.0120725812342692,-0.0251747253046903
3,"borrowed",1000,0,0.0011026981816943,0.00335839696973508,0.106201837113704,0.100706892256782,0.946,0.00714730718522718,0.394763763636498,-0.0267390309034266,-0.0251452480473217,-0.0532804790219756,-0.4,0,0.3,0.2,250,0.2,"main",-0.026706927905955,-0.0242926925690446,-0.0509996204749996
3,"weighted",1000,0,0.00132134488408104,0.00333779372609516,0.105550305342809,0.100697859296672,0.944,0.00727076337120113,0.394728355083519,-0.0267390309034266,-0.0251452480473217,-0.0532804790219756,-0.4,0,0.3,0.2,250,0.2,"main",-0.026706927905955,-0.0242926925690446,-0.0509996204749996
3,"unweighted",1000,0,-0.0249698655685781,0.00358407838576844,0.113338510116079,0.106997063868561,0.937,0.00768316341099159,0.419420783267823,-0.0267390309034266,-0.0251452480473217,-0.0532804790219756,-0.4,0,0.3,0.2,250,0.2,"main",-0.026706927905955,-0.0242926925690446,-0.0509996204749996
3,"sensitivity",1000,0,-0.0249698655685781,0.00358407838576844,0.113338510116079,NA,0.981,0.00431729081716764,0.50951029026007,-0.0267390309034266,-0.0251452480473217,-0.0532804790219756,-0.4,0,0.3,0.2,250,0.2,"main",-0.026706927905955,-0.0242926925690446,-0.0509996204749996
4,"borrowed",1000,0,-0.000607663096299673,0.00315218168036581,0.0996807370861282,0.0990210709733955,0.946,0.00714730718522718,0.388155465636879,-0.0409934887162628,-0.0381275333382496,-0.0807829259164254,-0.6,0,0.3,0.2,250,0.2,"main",-0.0408451764317264,-0.0366639843715915,-0.0775091608033179
4,"unweighted",1000,0,-0.0409484371102632,0.00343629417344439,0.1086651629845,0.107981145328528,0.921,0.00852988862764339,0.423278311706603,-0.0409934887162628,-0.0381275333382496,-0.0807829259164254,-0.6,0,0.3,0.2,250,0.2,"main",-0.0408451764317264,-0.0366639843715915,-0.0775091608033179
4,"sensitivity",1000,0,-0.0409484371102632,0.00343629417344439,0.1086651629845,NA,0.989,0.00329833291224522,0.513374625309581,-0.0409934887162628,-0.0381275333382496,-0.0807829259164254,-0.6,0,0.3,0.2,250,0.2,"main",-0.0408451764317264,-0.0366639843715915,-0.0775091608033179
4,"weighted",1000,0,-0.000190026651657834,0.00313420764134903,0.0991123480656707,0.0989758574565553,0.943,0.00733150734842434,0.387978231907637,-0.0409934887162628,-0.0381275333382496,-0.0807829259164254,-0.6,0,0.3,0.2,250,0.2,"main",-0.0408451764317264,-0.0366639843715915,-0.0775091608033179
5,"sensitivity",1000,0,0.026335050981097,0.0033783025212962,0.106831305923855,NA,0.976,0.00483983470792134,0.499392927470153,0.0246013141258039,-0.00367465557857945,0.0221965806833867,0,0.2,0.3,0.2,250,0.2,"main",0.0245564905520369,0,0.0245564905520369
5,"borrowed",1000,0,0.00158453409698471,0.00345068048073973,0.109120097966223,0.106357348513252,0.948,0.00702111102319284,0.416913145154298,0.0246013141258039,-0.00367465557857945,0.0221965806833867,0,0.2,0.3,0.2,250,0.2,"main",0.0245564905520369,0,0.0245564905520369
5,"unweighted",1000,0,0.026335050981097,0.0033783025212962,0.106831305923855,0.104351360030371,0.934,0.00785136930732467,0.4090498147946,0.0246013141258039,-0.00367465557857945,0.0221965806833867,0,0.2,0.3,0.2,250,0.2,"main",0.0245564905520369,0,0.0245564905520369
5,"weighted",1000,0,0.00191804573836179,0.00341438927244075,0.107972469193579,0.106225517226277,0.947,0.00708456067798138,0.416396376005284,0.0246013141258039,-0.00367465557857945,0.0221965806833867,0,0.2,0.3,0.2,250,0.2,"main",0.0245564905520369,0,0.0245564905520369
