"cell","share","s_obs","s_lat","bias_beta_within","mcse_bw","cov_beta_within","bias_beta_comb","bias_target_within","bias_target_comb","rmse_target_within","rmse_target_comb","influence","n_ipd"
1,0.25,0,0,0.00304491120199996,0.00332834760141199,0.866,-0.00141102703991497,0.00307461578494159,-0.00128678307199365,0.12545277314132,0.102346328457132,0.0436928407832658,3.315
2,0.5,0,0,-0.00266940363917806,0.00235671458388839,0.917,-0.00688228291678111,-0.00234368016007033,-0.00655690766383263,0.0889524764594005,0.0848098046635381,0.0371393459730915,6.056
3,0.75,0,0,-0.000558871266102989,0.00195084186136471,0.918,-0.0045041700309012,-0.00216272767725345,-0.00591947849954397,0.080743355301088,0.0813819310776681,0.0291607040596344,9.054
4,0.25,1.5,0,-0.000697171439301925,0.00347135958492672,0.861,-0.0107544385648633,-0.000160190428101448,-0.0100168560747068,0.125027683496266,0.0992669736593706,0.045702121885995,3.234
5,0.5,1.5,0,0.00143276474013188,0.00227638494566572,0.922,-0.0046586409729879,0.00251218731988348,-0.0036872102055874,0.0929702544216011,0.0863953651162842,0.0358529040992559,6.016
6,0.75,1.5,0,0.00159145638521246,0.00199292841808815,0.905,-0.00267375547048493,0.00060105009626249,-0.0036000971283344,0.0803133308921041,0.0805815449954174,0.0283625619991121,9.074
7,0.25,0,1,0.099382890945961,0.0033921426205629,0.722,0.0434497509359245,0.096694936344798,0.0410195349597205,0.15367375081066,0.105985255048626,0.044656027252501,3.264
8,0.5,0,1,0.0662302903546603,0.0024397987424602,0.77,0.0357358360914825,0.0662776183832365,0.0356357473735869,0.117517636517724,0.0963127361686657,0.0358036757842367,5.999
9,0.75,0,1,0.0310462262561626,0.00194196137775846,0.875,0.016046454256868,0.0300284747730185,0.014814619129231,0.0876945564195029,0.083471831678563,0.0279988074785316,9.068
10,0.25,1.5,1,0.0883206581899252,0.00336533671853039,0.741,0.0379991955614741,0.0906589366711095,0.0393217783221259,0.15802621650507,0.113237240795019,0.0452280910104535,3.19
11,0.5,1.5,1,0.0517031575831504,0.00242889343322794,0.831,0.0254225266863761,0.0541192253354403,0.0274751278461265,0.111815841886277,0.0961339056728158,0.0359298245748403,5.921
12,0.75,1.5,1,0.0265279082042312,0.00197577019697641,0.879,0.0137427475156511,0.030992786169808,0.0180264859350303,0.0879980506298026,0.0813804155756975,0.0281126551953101,8.993
13,0.25,0,2,0.141780399914169,0.00306549895215257,0.589,0.0639677646701847,0.140804997593798,0.0626070259125336,0.181225925328603,0.117225471361584,0.0462560853403751,3.108
14,0.5,0,2,0.0889498764331574,0.00228553121569196,0.652,0.0509694771780162,0.0887966835957688,0.0505786051298244,0.127087932412055,0.0990066907815352,0.0340198079012942,5.973
15,0.75,0,2,0.0471940588662152,0.00192077372860354,0.798,0.0301069811909605,0.0449898304283737,0.027554089072875,0.0921645824704925,0.0821065790710999,0.0266309704585549,8.965
16,0.25,1.5,2,0.13522961143132,0.00318862663556536,0.613,0.0650340154636311,0.131402125379481,0.0623870302491153,0.17503888260629,0.114526375812403,0.0459240708713159,3.165
17,0.5,1.5,2,0.0792216022367904,0.00227582818976236,0.711,0.0452218064009102,0.0810177234339825,0.0469931674145821,0.120969610994985,0.0967883170692758,0.0343877741649319,6.012
18,0.75,1.5,2,0.0417601956150332,0.00188770363125271,0.84,0.0271775991119115,0.0424317198467166,0.0277019002458736,0.090203075260524,0.082619192189758,0.0264456333288091,9.035
