"cell","multi","tau","K","n","rho_importance","rho_importance_lt09","rho_change","top_disagree","zero_studies","zero_but_moves","exact_diff","tau_hat"
1,"two-arm",0,8,480,0.950754812883311,0.102083333333333,0.576177467991168,0.0458333333333333,356,0,8.21565038222616e-15,0
2,"three-arm",0,8,484,0.903110789978124,0.289256198347107,0.55196064464487,0.283057851239669,77,0,4.9960036108132e-15,0
3,"two-arm",0.1,8,471,0.696443035028376,0.611464968152866,0.591724486300901,0.197452229299363,340,186,2.99760216648792e-15,0.0792011740235474
4,"three-arm",0.1,8,487,0.656921047807462,0.739219712525667,0.553664042412876,0.371663244353183,71,35,8.88178419700125e-16,0.0870950656531422
5,"two-arm",0.3,8,468,0.529388378839943,0.891025641025641,0.554785051161956,0.341880341880342,365,259,3.58046925441613e-15,0.268421675605165
6,"three-arm",0.3,8,490,0.510012854352615,0.922448979591837,0.510286821079302,0.471428571428571,66,51,1.66533453693773e-15,0.277612266232873
7,"two-arm",0,16,500,0.967257500056107,0.046,0.56922519888536,0.058,48,0,2.04003480774873e-15,0
8,"three-arm",0,16,500,0.920635294117647,0.282,0.511064705882353,0.458,0,0,NA,0
9,"two-arm",0.1,16,500,0.660514363978041,0.784,0.544364736484253,0.246,31,7,2.33146835171283e-15,0.0891232517201105
10,"three-arm",0.1,16,500,0.609516277557629,0.902,0.507261611053778,0.514,5,0,9.71445146547012e-17,0.0894161978960504
11,"two-arm",0.3,16,500,0.581393051835143,0.984,0.542989167979118,0.374,20,14,1.11022302462516e-15,0.287339437740213
12,"three-arm",0.3,16,500,0.556552941176471,0.994,0.499111764705882,0.586,0,0,1.38777878078145e-16,0.295757257128306
