"scenario","geometry","n_arm","gamma_C","prior","mu_target","positive_control","par","n","coverage","coverage_mcse","wrong","width","W","estimable","fire_r_contraction","fire_r_prioronly","fire_r_powerscale","fire_r_refit","fire_composite","contraction","prior_sens","lik_sens","harmful","clean"
49,"agd-wide",100,0,"regular",0,FALSE,"Delta_CB",2000,0.958,0.00448530935387962,0.004,0.523651976719013,0,1,0,0,0,0.672,0,0.964308950645971,0.0316942208781095,0.239706587410939,FALSE,TRUE
73,"disconnected",100,0,"regular",0,FALSE,"Delta_CB",2000,0.9495,0.00489641450451246,0.022,0.745552815013101,0,1,0,0,0,0.918,0,0.92765131348284,0.0654138477507981,0.235510567238513,FALSE,TRUE
97,"within-ipd",100,0,"regular",0,FALSE,"Delta_CB",2000,0.963,0.00422084114839685,0.0105,0.659455935332011,0,1,0,0,0,0.245,0,0.943396226415094,0.0245244678170453,0.236439182895513,FALSE,TRUE
61,"agd-wide",400,0,"regular",0,FALSE,"Delta_CB",2000,0.957,0.00453602248671675,0.001,0.37481144294852,0,1,0,0,0,0.5035,0,0.981714808836638,0.0217993917545593,0.244375641292216,FALSE,TRUE
85,"disconnected",400,0,"regular",0,FALSE,"Delta_CB",2000,0.956,0.00458606585212206,0.0095,0.55599866691263,0,1,0,0,0,0.9545,0,0.959763395621567,0.0512982641540464,0.242052009165252,FALSE,TRUE
109,"within-ipd",400,0,"regular",0,FALSE,"Delta_CB",2000,0.9495,0.00489641450451246,0.008,0.47304788365937,0,1,0,0,0,0.061,0,0.970873786407767,0.0139056444564201,0.242613770965157,FALSE,TRUE
55,"agd-wide",100,0.4,"regular",0,FALSE,"Delta_CB",2000,0.952,0.00477995815881269,0.007,0.523651976719013,0,1,0,0,0,0.637,0,0.964308950645971,0.0313579145086665,0.239687621846962,FALSE,TRUE
79,"disconnected",100,0.4,"regular",0,FALSE,"Delta_CB",2000,0.9595,0.00440793318914885,0.0135,0.745552815013101,0,1,0,0,0,0.923,0,0.92765131348284,0.064171572238098,0.235110740107938,FALSE,TRUE
103,"within-ipd",100,0.4,"regular",0,FALSE,"Delta_CB",2000,0.9595,0.00440793318914885,0.01,0.659455935332011,0,1,0,0,0,0.239,0,0.943396226415094,0.0242610379979877,0.236403461540507,FALSE,TRUE
67,"agd-wide",400,0.4,"regular",0,FALSE,"Delta_CB",2000,0.9475,0.00498717104178311,0.003,0.37481144294852,0,1,0,0,0,0.4985,0,0.981714808836638,0.0216889839783238,0.244369064852419,FALSE,TRUE
