"m","k","g","mu","scen","scale","n_mod_in","n_prog_in","max_rel_prog","max_rel_mod","contrast"
0,2,0.3,0.2,1,"rd",0,0,0.0298285427589338,NA,-0.0869191056069578
0,2,0.3,0.2,1,"lrr",0,0,0.0143250135745909,NA,-0.37038828784773
0,2,0.3,0.2,1,"lor",0,0,0.000874371582670002,NA,-0.484481282884483
0,2,0.3,0.2,1,"clor",0,0,0,NA,-0.5
1,2,0.3,0.2,2,"rd",1,0,0.0321818289387465,0.102552303399412,-0.0686165939751245
1,2,0.3,0.2,2,"lrr",1,0,0.00885911499892776,0.173274496455536,-0.263693901840522
1,2,0.3,0.2,2,"lor",1,0,0.00543713632701143,0.149052231849149,-0.356701932398634
1,2,0.3,0.2,2,"clor",1,0,0,0.136367997761759,-0.43998592767214
3,2,0.3,0.2,3,"rd",3,2,0.0544160971580738,0.214147787609371,-0.0364373689829727
3,2,0.3,0.2,3,"lrr",3,0,0.0195305196598769,0.281057156677366,-0.118514781638037
3,2,0.3,0.2,3,"lor",3,0,0.0348065198294166,0.252144675929506,-0.17116762944643
3,2,0.3,0.2,3,"clor",3,0,0,0.187443656780383,-0.320096187999034
0,6,0.3,0.2,4,"rd",0,0,0.0211059780199389,NA,-0.0933595951651822
0,6,0.3,0.2,4,"lrr",0,0,0.017391803559376,NA,-0.320300612181904
0,6,0.3,0.2,4,"lor",0,0,0.00169362411018528,NA,-0.452724169897264
0,6,0.3,0.2,4,"clor",0,0,0,NA,-0.5
1,6,0.3,0.2,5,"rd",1,0,0.0238169973932031,0.109615243393349,-0.0753555622875037
1,6,0.3,0.2,5,"lrr",1,0,0.0118928485575716,0.171313026200231,-0.238462330634608
1,6,0.3,0.2,5,"lor",1,0,0.00441884168378817,0.143687766038285,-0.348986135838405
1,6,0.3,0.2,5,"clor",1,0,0,0.136367997761759,-0.43998592767214
3,6,0.3,0.2,6,"rd",3,0,0.039801327581003,0.187092458902604,-0.0447613945393204
3,6,0.3,0.2,6,"lrr",3,0,0.00910233023057599,0.244001021427531,-0.124204037619076
3,6,0.3,0.2,6,"lor",3,0,0.0261462680760614,0.212910410221529,-0.194265281321613
3,6,0.3,0.2,6,"clor",3,0,0,0.187443656780383,-0.320096187999034
0,2,0.6,0.2,7,"rd",0,0,0.0441068772346135,NA,-0.0879618461601798
0,2,0.6,0.2,7,"lrr",0,0,0.0329314489973365,NA,-0.319209689787971
0,2,0.6,0.2,7,"lor",0,0,0.00426712259896515,NA,-0.44117412483433
0,2,0.6,0.2,7,"clor",0,0,0,NA,-0.5
1,2,0.6,0.2,8,"rd",1,0,0.0496690489726006,0.088447976061877,-0.0668478835592062
1,2,0.6,0.2,8,"lrr",1,0,0.0161072713240714,0.183619611648186,-0.209847099139828
1,2,0.6,0.2,8,"lor",1,0,0.0138564948265135,0.14083382055558,-0.308192015387778
1,2,0.6,0.2,8,"clor",1,0,0,0.136367997761759,-0.43998592767214
3,2,0.6,0.2,9,"rd",3,2,0.085463670079791,0.147826887146048,-0.0384584667998534
3,2,0.6,0.2,9,"lrr",3,0,0.0363835705702342,0.224865808781798,-0.0988909503609795
3,2,0.6,0.2,9,"lor",3,2,0.0667033414235844,0.177810980347061,-0.161877363846403
3,2,0.6,0.2,9,"clor",3,0,0,0.187443656780383,-0.320096187999034
0,6,0.6,0.2,10,"rd",0,0,0.0174135685936488,NA,-0.0853496430981326
0,6,0.6,0.2,10,"lrr",0,0,0.0366181565828974,NA,-0.219594835247537
0,6,0.6,0.2,10,"lor",0,0,0.00321131719685606,NA,-0.359794097830199
0,6,0.6,0.2,10,"clor",0,0,0,NA,-0.5
1,6,0.6,0.2,11,"rd",1,0,0.0238248036064496,0.110303055629783,-0.0691199130653481
1,6,0.6,0.2,11,"lrr",1,0,0.0239122651005449,0.179094156627337,-0.164376096569123
1,6,0.6,0.2,11,"lor",1,0,0.00972123277990031,0.131387211050024,-0.283988399257513
1,6,0.6,0.2,11,"clor",1,0,0,0.136367997761759,-0.43998592767214
3,6,0.6,0.2,12,"rd",3,0,0.0448998871851316,0.141363603764662,-0.0460225287014392
3,6,0.6,0.2,12,"lrr",3,0,0.00664647961003498,0.198763529432563,-0.0971070494914196
3,6,0.6,0.2,12,"lor",3,0,0.0400446061005197,0.149334974889189,-0.184709659496803
3,6,0.6,0.2,12,"clor",3,0,0,0.187443656780383,-0.320096187999034
0,2,0.3,0.5,13,"rd",0,2,0.0664037220836635,NA,-0.0944786302243727
0,2,0.3,0.5,13,"lrr",0,0,0.0396302407123427,NA,-0.353668210124594
0,2,0.3,0.5,13,"lor",0,0,0.00209921065749908,NA,-0.483257483953338
0,2,0.3,0.5,13,"clor",0,0,0,NA,-0.5
1,2,0.3,0.5,14,"rd",1,2,0.0714237269269299,0.342809871190322,-0.0618542261796501
1,2,0.3,0.5,14,"lrr",1,0,0.0224141112070957,0.553010705879928,-0.193319615618782
