"cell","n","pattern","method","bias","mcse","coverage","cov_mcse","width"
1,100,"one_strong","eb_ridge",-0.109099869125611,0.00662966136255993,0.896,0.00965318600255895,0.81341011318253
1,100,"one_strong","flat",-0.00214433450883688,0.00831409113788567,0.939,0.00756828910652864,1.00415175422392
1,100,"one_strong","hier_normal",-0.10504039870926,0.00656285765408546,0.926,0.00827792244467173,0.861531669549966
1,100,"one_strong","median_model",-0.0295150588266873,0.00662044156300622,0.885,0.0100883596287999,0.663670892172659
1,100,"one_strong","spike_slab",-0.0363306064062093,0.00631906290635901,0.955,0.00655553201502365,0.828560747080724
2,300,"one_strong","eb_ridge",-0.044543884272708,0.00415044755717136,0.948,0.00702111102319284,0.522784123764693
2,300,"one_strong","flat",0.00287815452142327,0.00455892181473847,0.955,0.00655553201502365,0.562302651144292
2,300,"one_strong","hier_normal",-0.0421820641175386,0.00416828152995112,0.959,0.00627048642451286,0.533889929276164
2,300,"one_strong","median_model",-0.00421517131517802,0.00339521651364908,0.931,0.00801492358042171,0.37233130965911
2,300,"one_strong","spike_slab",-0.00502911680008836,0.0033181843525861,0.974,0.00503229569878401,0.450361822454473
3,100,"three_moderate","eb_ridge",-0.1911401485918,0.00659832100576557,0.794,0.0127892142057282,0.784128403184498
3,100,"three_moderate","flat",-0.00669221178271809,0.00774661239811247,0.954,0.00662449998113065,1.00312237688662
3,100,"three_moderate","hier_normal",-0.180869545557272,0.00638778141838684,0.868,0.0107040179372047,0.869007678731767
3,100,"three_moderate","median_model",-0.127051209830035,0.00738311803645336,0.785,0.012991343271579,0.68641482526431
3,100,"three_moderate","spike_slab",-0.138216439021063,0.00646982438400679,0.908,0.00913980306133562,0.864895690316216
4,300,"three_moderate","eb_ridge",-0.092514092647086,0.00447278175528761,0.856,0.0111024321659716,0.511026655615594
4,300,"three_moderate","flat",-0.00397603418206809,0.00466039651413585,0.942,0.00739161687318817,0.562772402431454
4,300,"three_moderate","hier_normal",-0.0883849910247754,0.00448014150740527,0.891,0.00985489725973843,0.542213418938072
4,300,"three_moderate","median_model",-0.0369621543167825,0.00440542806133312,0.84,0.0115931013969516,0.4184737743445
4,300,"three_moderate","spike_slab",-0.0559453098643401,0.00424689157152575,0.914,0.00886588969026797,0.504763040991249
