"cell","scen","rel","beta","method","bias","mcse","coverage","width","predicted"
1,"same",1,0,"bounded",NA,NA,0.976,0.745988700332954,0
1,"same",1,0,"naive",-9.9150361401296e-05,0.00406349032160937,0.947,0.503784305962723,0
1,"same",1,0,"reliability_corrected",-9.91503614012955e-05,0.00406349032160937,0.947,0.503784305962723,0
2,"same_shifted",1,0,"reliability_corrected",0.00253810984886363,0.00419391191943537,0.945,0.502835600333287,0
2,"same_shifted",1,0,"bounded",NA,NA,0.982,0.873453658203408,0
2,"same_shifted",1,0,"naive",0.00253810984886363,0.00419391191943537,0.945,0.502835600333287,0
3,"target_offset",1,0,"reliability_corrected",-0.000286208790112557,0.005123212245228,0.941,0.620416746961551,0
3,"target_offset",1,0,"naive",-0.000286208790112557,0.005123212245228,0.941,0.620416746961551,0
3,"target_offset",1,0,"bounded",NA,NA,0.969,1.01723134921182,0
4,"target_slope",1,0,"naive",0.00428229477128721,0.00415839454142932,0.922,0.479602680110495,0
4,"target_slope",1,0,"reliability_corrected",0.00428229477128721,0.00415839454142932,0.922,0.479602680110495,0
4,"target_slope",1,0,"bounded",NA,NA,0.967,0.676870569622138,0
5,"target_both",1,0,"bounded",NA,NA,0.98,0.627553572389287,0
5,"target_both",1,0,"naive",-0.0027028237110024,0.00372269283575429,0.953,0.460722941181271,0
5,"target_both",1,0,"reliability_corrected",-0.0027028237110024,0.00372269283575429,0.953,0.460722941181271,0
6,"same",0.8,0,"reliability_corrected",0.00130052141311521,0.00428269696564674,0.937,0.519176178551241,0
6,"same",0.8,0,"naive",0.00140244545150534,0.00401356478519973,0.938,0.488462253112232,0
6,"same",0.8,0,"bounded",NA,NA,0.977,0.816143223775358,0
7,"same_shifted",0.8,0,"naive",-0.00305349570541281,0.00400839739748556,0.942,0.48821111785492,0
7,"same_shifted",0.8,0,"reliability_corrected",-0.00294542303502614,0.00426846313194839,0.938,0.518951201254883,0
7,"same_shifted",0.8,0,"bounded",NA,NA,0.985,0.972761077064662,0
8,"target_offset",0.8,0,"naive",-0.0117253453840199,0.0046876423417605,0.945,0.57431725690805,0
8,"target_offset",0.8,0,"reliability_corrected",-0.0137687662700279,0.00549090351964261,0.937,0.658664541744106,0
8,"target_offset",0.8,0,"bounded",NA,NA,0.982,1.14698170132438,0
9,"target_slope",0.8,0,"reliability_corrected",-0.00310116546399496,0.00405516172707083,0.934,0.489325517893724,0
9,"target_slope",0.8,0,"naive",-0.00323307207466643,0.00388498522494322,0.933,0.469985946306598,0
9,"target_slope",0.8,0,"bounded",NA,NA,0.97,0.732875271212762,0
10,"target_both",0.8,0,"bounded",NA,NA,0.979,0.664292849202135,0
10,"target_both",0.8,0,"naive",-0.00111423496358742,0.00383047298489205,0.945,0.455874594035155,0
10,"target_both",0.8,0,"reliability_corrected",-0.00118768534536034,0.0039208309853876,0.945,0.466624759822484,0
11,"same",0.6,0,"naive",0.000769191670666069,0.00392596503890052,0.949,0.474148630617079,0
11,"same",0.6,0,"bounded",NA,NA,0.981,0.925352829990492,0
11,"same",0.6,0,"reliability_corrected",-1.42547976241808e-05,0.00453974232620127,0.94,0.544142696924228,0
12,"same_shifted",0.6,0,"bounded",NA,NA,0.997,1.14358711120417,0
12,"same_shifted",0.6,0,"naive",0.0029584512301296,0.00364661565152006,0.959,0.474980461916481,0
12,"same_shifted",0.6,0,"reliability_corrected",0.00345372316645543,0.00420309784639763,0.957,0.546915846858702,0
13,"target_offset",0.6,0,"naive",0.00334685499521757,0.00448131641853167,0.936,0.535001406875044,0
13,"target_offset",0.6,0,"bounded",NA,NA,0.97,1.34103233645676,0
13,"target_offset",0.6,0,"reliability_corrected",0.0109120503756331,0.00636912827346827,0.923,0.72766186348678,0
14,"target_slope",0.6,0,"bounded",NA,NA,0.98,0.816242090085768,0
14,"target_slope",0.6,0,"reliability_corrected",0.006978102317349,0.00404327424481061,0.946,0.505123558730417,0
14,"target_slope",0.6,0,"naive",0.0054555874323732,0.0036804242702153,0.946,0.460457228160327,0
15,"target_both",0.6,0,"bounded",NA,NA,0.984,0.726582605971088,0
15,"target_both",0.6,0,"reliability_corrected",0.00244387093309168,0.00379086061528994,0.949,0.476431938251003,0
15,"target_both",0.6,0,"naive",0.00187929892478684,0.0035957050273579,0.946,0.450618293517791,0
16,"same",1,0.3,"bounded",NA,NA,0.993,0.928256904591481,0
16,"same",1,0.3,"naive",-0.00103909054478567,0.00448378491306282,0.946,0.550432264640392,0
16,"same",1,0.3,"reliability_corrected",-0.00103909054478567,0.00448378491306282,0.946,0.550432264640392,0
17,"same_shifted",1,0.3,"bounded",NA,NA,0.996,1.09484312719166,-3.33066907387547e-17
17,"same_shifted",1,0.3,"naive",-0.00229376713331946,0.00450145969447525,0.957,0.549045775279962,-3.33066907387547e-17
17,"same_shifted",1,0.3,"reliability_corrected",-0.00229376713331946,0.00450145969447525,0.957,0.549045775279962,-3.33066907387547e-17
18,"target_offset",1,0.3,"naive",0.0828988331162157,0.00564973317854361,0.921,0.679434217991992,0.09
18,"target_offset",1,0.3,"bounded",NA,NA,0.988,1.19980215677102,0.09
18,"target_offset",1,0.3,"reliability_corrected",0.0828988331162157,0.00564973317854361,0.921,0.679434217991992,0.09
