"cell","scen","sdx","M","loop","bC","sd_bC","mean_se_bC","select","int_cons","eff_cons","bias_sel","mcse_sel","cov_sel","bias_ac","cov_ac"
1,"consistent",0.3,2,0,0.297049192687019,0.632739902069968,0.400470078651628,0.3505,0.088,0.0925,-0.128879329958974,0.00832163750639304,0.3175,0.318999115207506,0.95
2,"partial",0.3,2,0,0.0865300006859824,0.619602337712606,0.403843910246833,0.213,0.163,0.096,-0.260158875194696,0.0104639304135408,0.1685,-2.32780113661102,0.949
3,"cancelling",0.3,2,0,0.00569980106415512,0.606047278061107,0.381356370151804,0.3065,0.2265,0.097,-0.293717386715535,0.0104373615368184,0.2085,-8.63702519100594,0.945
4,"consistent",1,2,0,0.306362227208687,0.135295095475186,0.113840550702356,0.902,0.0975,0.105,-0.00883319093885032,0.0043117974726397,0.868,-0.044904636268843,0.9485
5,"partial",1,2,0,0.0886986351554375,0.255595563773308,0.119514805733843,0.655,0.4775,0.107,-0.219513457520311,0.00694058050638036,0.4485,-0.34033742200829,0.9565
6,"cancelling",1,2,0,-0.00137695341155847,0.332235705666238,0.119099603676406,0.819,0.6015,0.094,-0.304876888964172,0.00917079834719355,0.417,-0.2427953333563,0.9485
7,"consistent",0.3,4,0,0.303759142199622,0.180734773060841,0.17557490669167,0.613,0.1,0.101,-0.0680418391053111,0.00517427494187659,0.5815,-0.00179144998841836,0.944
8,"partial",0.3,4,0,0.103464541106114,0.218147066884789,0.174308239357777,0.268,0.3995,0.1035,-0.240525871736076,0.00401733417047549,0.225,-0.00709740441869263,0.9535
9,"cancelling",0.3,4,0,-0.00520459787630875,0.264685500158073,0.176921906358132,0.3685,0.6325,0.106,-0.299207055030055,0.00507626964210872,0.2135,-0.00483457440780052,0.956
10,"consistent",1,4,0,0.301301311043475,0.055530925772907,0.0526562846597263,0.995,0.1015,0.0965,0.00234647493328397,0.00161014231640031,0.945,0.000145518619951444,0.949
11,"partial",1,4,0,0.101728103946163,0.134546973518207,0.0526768995376642,0.772,0.9595,0.1015,-0.200453560443372,0.00368100830663519,0.353,0.00162647160483047,0.9485
12,"cancelling",1,4,0,-0.00123534652658406,0.189783142996177,0.0530382417918977,0.851,0.9895,0.094,-0.300350507905808,0.00516251039012146,0.2235,0.00290378423986254,0.9495
13,"consistent",0.3,8,0,0.298665026409297,0.112477630436936,0.108249106345359,0.89,0.092,0.098,-0.0176434619450942,0.00317804501570193,0.849,-0.00416553528789515,0.9515
14,"partial",0.3,8,0,0.0994882161058386,0.139253845847597,0.109027084946609,0.33,0.7695,0.0945,-0.235412682976162,0.00295800875757322,0.2795,-0.0012645756093186,0.9605
15,"cancelling",0.3,8,0,-0.00221066629704394,0.167078876727977,0.10809630739845,0.3945,0.9565,0.0945,-0.301139975149025,0.00337936139882122,0.1675,0.00196258610078212,0.9535
16,"consistent",1,8,0,0.300017774089086,0.0328652077468559,0.0325128251312828,1,0.102,0.0915,-0.00150846703080152,0.000997407140346154,0.948,-0.00152257971053233,0.955
17,"partial",1,8,0,0.101899733552923,0.0908993169626077,0.0324743184205315,0.832,1,0.0995,-0.200187945785197,0.00259293057003865,0.147,0.000819420647483303,0.948
18,"cancelling",1,8,0,0.00499103505767559,0.131304607772297,0.0320037934383275,0.8825,1,0.102,-0.293278702272788,0.00360200099234489,0.064,-0.000525270666307612,0.956
19,"consistent",0.3,2,0.2,0.307141535257849,0.619962908670978,0.380308267115367,0.442,0.1065,0.233,-0.0205688590697109,0.0119190817469193,0.374,0.295909823036458,0.9395
20,"partial",0.3,2,0.2,0.0840704499229356,0.613551953232208,0.382812939490756,0.331,0.1495,0.232,-0.183740132056516,0.0112704264177646,0.281,-1.03371162568707,0.9505
21,"cancelling",0.3,2,0.2,0.00418944326369875,0.666050022272849,0.3837775685294,0.4265,0.2195,0.214,-0.230980132222351,0.0135860328248405,0.3065,-0.353866558737618,0.9475
22,"consistent",1,2,0.2,0.296787056847619,0.168430016400081,0.117227422028417,0.884,0.0985,0.218,0.0451778988966349,0.00484917162126065,0.7895,0.0357948559824575,0.948
23,"partial",1,2,0.2,0.100924023000615,0.271866918244236,0.115341095470594,0.707,0.461,0.2165,-0.133695594075099,0.00717679275743202,0.5615,-0.529092535666335,0.9545
24,"cancelling",1,2,0.2,-0.010378545998311,0.380867321933485,0.120232586905028,0.8385,0.615,0.2315,-0.246309219767628,0.0112787192509755,0.448,0.0716202995103726,0.948
25,"consistent",0.3,4,0.2,0.305021799018709,0.234352763768913,0.175161326647077,0.6545,0.089,0.605,0.0203938220471447,0.00594734163144673,0.545,-0.00391498548858048,0.944
26,"partial",0.3,4,0.2,0.0995469513633591,0.266674429929715,0.177836689094719,0.3765,0.401,0.598,-0.156707780687798,0.00518353128410988,0.2955,-0.00459269138055609,0.941
27,"cancelling",0.3,4,0.2,0.0117720100941889,0.295453698897381,0.17610104054834,0.452,0.6335,0.5815,-0.226672924325015,0.0057906442950852,0.2825,0.0117200821685655,0.954
28,"consistent",1,4,0.2,0.300022197595634,0.070165409688049,0.0533882409172439,0.9965,0.0985,0.588,0.065571341868662,0.00188981382905705,0.811,-0.000455768446738997,0.954
29,"partial",1,4,0.2,0.0937288953815004,0.144510336048184,0.053839040096934,0.7685,0.944,0.569,-0.142800757336531,0.0035158125256348,0.4705,-0.0050061658753457,0.951
30,"cancelling",1,4,0.2,0.0032579288395866,0.197280471916924,0.0530061400884694,0.87,0.9875,0.589,-0.231180297474839,0.00499530903257829,0.3295,0.000541380683819143,0.9545
31,"consistent",0.3,8,0.2,0.298268529887174,0.140055833098989,0.108119987300427,0.859,0.105,0.9115,0.0466084113752366,0.00374632118708355,0.718,-0.0019944783190993,0.9465
32,"partial",0.3,8,0.2,0.0980230510870611,0.159970276126899,0.108313659156523,0.414,0.7525,0.9175,-0.15766042867862,0.00326803652864756,0.345,0.00127203520404453,0.9505
33,"cancelling",0.3,8,0.2,-0.00587994078467263,0.194289768293868,0.108349153873233,0.4835,0.955,0.9145,-0.236098363348791,0.00387609928939403,0.244,-0.00577102224067437,0.9475
34,"consistent",1,8,0.2,0.298690915385201,0.0406102333304848,0.032329845451889,1,0.1085,0.912,0.0657427033500653,0.00114520102246894,0.659,9.17255734990828e-05,0.947
35,"partial",1,8,0.2,0.0995184452697553,0.0960191022937548,0.0325191845837963,0.8385,1,0.902,-0.135198596404517,0.00236113947075129,0.3355,-6.76747129270126e-05,0.954
36,"cancelling",1,8,0.2,-0.00215919655574033,0.137477050203375,0.0325338291401285,0.875,1,0.917,-0.237319229622081,0.00339869284333098,0.1425,-0.00174660480362738,0.9525
