"cell","link","skew","summary","n_t","beta","method","bias","mcse","rmse"
1,"identity",0,"iqr",50,0.3,"normal",0.0018808222521344,0.00143650406947652,0.0454424679130119
1,"identity",0,"iqr",50,0.3,"lognormal",0.0322530366298377,0.00228998926498456,0.0792405524637255
1,"identity",0,"iqr",50,0.3,"sample_exact",0.000888744430611287,0.00133051772020938,0.0420630121728141
2,"logit",0,"iqr",50,0.3,"normal",-0.00191372388966489,0.000977503045458441,0.0309551131608741
2,"logit",0,"iqr",50,0.3,"lognormal",-0.00179516498530656,0.000929175892663445,0.029423240626958
2,"logit",0,"iqr",50,0.3,"sample_exact",-0.000382500912408933,0.00088629803672288,0.028015798982662
3,"identity",0.5,"iqr",50,0.3,"normal",-0.0451532268219037,0.00121251402900003,0.0592244372930773
3,"identity",0.5,"iqr",50,0.3,"lognormal",0.0313931713104089,0.00388370583650963,0.126702877072461
3,"identity",0.5,"iqr",50,0.3,"sample_exact",0.000853158327055562,0.00131956202211386,0.0417160708289509
4,"logit",0.5,"iqr",50,0.3,"normal",-0.0144150131382189,0.00122076653514813,0.041189480042594
4,"logit",0.5,"iqr",50,0.3,"lognormal",-0.00672090139374784,0.00105819194380222,0.0341148198776202
4,"logit",0.5,"iqr",50,0.3,"sample_exact",-0.00279183979230513,0.000935788327271648,0.0297088953529125
5,"identity",1,"iqr",50,0.3,"normal",-0.0655632855791603,0.000824078035426073,0.0705476429074548
5,"identity",1,"iqr",50,0.3,"lognormal",0.0444398031687694,0.00780122304205902,0.250545640506235
5,"identity",1,"iqr",50,0.3,"sample_exact",-0.000362643635265139,0.00134450767500137,0.042497349301523
6,"logit",1,"iqr",50,0.3,"normal",-0.0345528163824194,0.00104253530856508,0.0477461004658231
6,"logit",1,"iqr",50,0.3,"lognormal",-0.00578933463140948,0.00102971402747394,0.0330570274355192
6,"logit",1,"iqr",50,0.3,"sample_exact",-0.000203326467465638,0.000810282987270491,0.0256113900948953
7,"identity",0,"range",50,0.3,"normal",0.00310845852320679,0.00189979917183081,0.0601272830816947
7,"identity",0,"range",50,0.3,"lognormal",-0.0103272690274045,0.00169801107057193,0.0546535528557243
7,"identity",0,"range",50,0.3,"sample_exact",-0.000290126250859204,0.00137199161087435,0.0433654562131049
8,"logit",0,"range",50,0.3,"normal",-0.0014114301968328,0.0012136960157945,0.0383871996365614
8,"logit",0,"range",50,0.3,"lognormal",-0.012558111291239,0.00107563562515397,0.0362428084632721
8,"logit",0,"range",50,0.3,"sample_exact",-0.00147042434507443,0.000945721302966725,0.0299275214786788
9,"identity",0.5,"range",50,0.3,"normal",0.121721554058101,0.00320154862831168,0.158290241102047
9,"identity",0.5,"range",50,0.3,"lognormal",0.00635311728692662,0.00169828813246326,0.05405238660361
9,"identity",0.5,"range",50,0.3,"sample_exact",0.0021967876918312,0.00134561915317812,0.0425876283755903
10,"logit",0.5,"range",50,0.3,"normal",0.103723932482605,0.00188675887265382,0.119645114209274
10,"logit",0.5,"range",50,0.3,"lognormal",-0.000494774541710159,0.00103907603782913,0.0328457628199652
10,"logit",0.5,"range",50,0.3,"sample_exact",-0.000530040435364102,0.000895964105902939,0.0283236627266056
11,"identity",1,"range",50,0.3,"normal",0.217201311717345,0.00641598241505732,0.297153285917739
11,"identity",1,"range",50,0.3,"lognormal",0.0139715537608915,0.00212458094371691,0.0685896104137655
11,"identity",1,"range",50,0.3,"sample_exact",0.00116326298972861,0.00134417108288429,0.0425010856913743
12,"logit",1,"range",50,0.3,"normal",0.161297079302467,0.0024705794117827,0.179204929225736
12,"logit",1,"range",50,0.3,"lognormal",-0.00102349440104388,0.000922905656670307,0.0291881934530369
12,"logit",1,"range",50,0.3,"sample_exact",-0.000265539913239322,0.000826069193857896,0.0261108872728124
13,"identity",0,"iqr",200,0.3,"normal",0.00112662996638694,0.000732965830331235,0.0231942010986773
13,"identity",0,"iqr",200,0.3,"lognormal",0.0133225815486439,0.000946925972030578,0.0327606975937603
13,"identity",0,"iqr",200,0.3,"sample_exact",0.00126205807124597,0.000682847514641407,0.0216196030976263
14,"logit",0,"iqr",200,0.3,"normal",-0.000660380750872972,0.000485862613954423,0.0153708334157621
14,"logit",0,"iqr",200,0.3,"lognormal",-0.000704267374674698,0.000469798718925346,0.0148656018378882
14,"logit",0,"iqr",200,0.3,"sample_exact",-4.59553331735672e-05,0.00044910731735794,0.0141949919695147
15,"identity",0.5,"iqr",200,0.3,"normal",-0.0467038222928041,0.000617625589277484,0.0506194322757541
15,"identity",0.5,"iqr",200,0.3,"lognormal",0.0050963017036488,0.00128751011457581,0.0410121555626439
15,"identity",0.5,"iqr",200,0.3,"sample_exact",-0.000123853070330742,0.000660722339632817,0.0208837926551382
16,"logit",0.5,"iqr",200,0.3,"normal",-0.0102247417182452,0.000609487143886539,0.021809366042809
16,"logit",0.5,"iqr",200,0.3,"lognormal",-0.00244386495198375,0.00052289367774806,0.0167067907251572
16,"logit",0.5,"iqr",200,0.3,"sample_exact",-0.00072186827952169,0.000453631936073617,0.0143560873954379
