"cell","k","bias_max","mcse_max","bias_int","mcse_int","exact_max","exact_int","cover_max","cover_int","cover_bnd","width_bnd","width_max","pattern","strength","similarity","separation"
1,1,0.00109186446648219,0.0043205070426678,0.136175052093771,0.00339701817075707,0,0.135883868486016,0.949,0.727,0.949,0.534193598178917,0.534203414292014,"fawsitt",0.1,"similar","separated"
1,2,0.0502575357478676,0.0044260223887589,0.118455290817849,0.00347962033105778,0.0480471503287035,0.115274297076371,0.914,0.801,0.944,0.555678003767633,0.537752637154874,"fawsitt",0.1,"similar","separated"
1,3,0.0469180596933353,0.00430548423387926,0.113120697809252,0.00340259946849469,0.0499377417704627,0.115763491179545,0.92,0.813,0.951,0.539182199930015,0.521256530197419,"fawsitt",0.1,"similar","separated"
1,4,0.0583052987324557,0.0036301064229471,0.120422197293942,0.00350755866454289,0.0617382177159697,0.123189529305393,0.917,0.804,0.943,0.48303222569491,0.4488921347352,"fawsitt",0.1,"similar","separated"
2,1,0.107381800995345,0.00394819723986226,0.190762995923305,0.00339850564580054,0.0999313525724249,0.18272069889365,0.846,0.537,0.935,0.498882932387823,0.477532890906488,"random",0.1,"similar","separated"
2,2,0.0646914252980036,0.00371520578682176,0.200588377032803,0.00319856436282721,0.0583249044860912,0.197516718372492,0.911,0.519,0.954,0.489355666382156,0.471484174920031,"random",0.1,"similar","separated"
2,3,0.12288188548811,0.00373461011075909,0.201270775629846,0.00329546317833051,0.114233433700707,0.192666749528244,0.814,0.515,0.936,0.481458681666137,0.461670362879748,"random",0.1,"similar","separated"
2,4,0.0888363440091877,0.0038031189796677,0.190421656585114,0.00335034992998313,0.0822079364384345,0.185814488738312,0.878,0.532,0.958,0.49311698602576,0.467137317994119,"random",0.1,"similar","separated"
3,1,0.0619135422556827,0.00447918820255962,0.124252503299152,0.00371538533559769,0.059474079178063,0.122627658484618,0.914,0.789,0.946,0.552838623791365,0.531889050300924,"adversarial",0.1,"similar","separated"
3,2,0.00250700274942152,0.00443387361878244,0.117934050162779,0.00365922964064296,0,0.118068604671467,0.945,0.809,0.945,0.545256823667423,0.54526684307362,"adversarial",0.1,"similar","separated"
