"cell","p_top_max","p_top_int","diff_int_minus_max","diff_mcse","p_any_max","p_any_int","abs_max","abs_int","pattern","strength","similarity","separation"
1,0.116,0.02,-0.096,0.00963726501020263,0.23,0.074,0.0391431896600352,0.122043309503703,"fawsitt",0.1,"similar","separated"
2,0.028,0.032,0.004,0.00616619996610732,0.2,0.07,0.0959478639476616,0.195760951292767,"random",0.1,"similar","separated"
3,0.017,0.025,0.008,0.00373496317919602,0.191,0.076,0.0312508681237421,0.115836343230984,"adversarial",0.1,"similar","separated"
4,0.38,0.084,-0.296,0.0146491842297992,0.462,0.125,0.125084414135632,0.316179413613223,"fawsitt",0.25,"similar","separated"
5,0.044,0.072,0.028,0.00756791076012887,0.28,0.133,0.191470459489383,0.452225790716627,"random",0.25,"similar","separated"
6,0.005,0.09,0.085,0.00893615436610484,0.411,0.164,0.076332662625029,0.301864546394588,"adversarial",0.25,"similar","separated"
7,0.86,0.069,-0.791,0.0128640772884993,0.895,0.12,0.226536829047117,0.591655132780243,"fawsitt",0.5,"similar","separated"
8,0.016,0.067,0.051,0.00802891421447898,0.593,0.14,0.305597369716955,0.634737864915703,"random",0.5,"similar","separated"
9,0.001,0.01,0.009,0.00330604445371351,0.665,0.196,0.163199671856236,0.622912756793895,"adversarial",0.5,"similar","separated"
10,0.277,0.034,-0.243,0.0141474786146206,0.456,0.147,0.0325200910671579,0.100518229990735,"fawsitt",0.1,"dispersed","separated"
11,0.094,0.004,-0.09,0.00916427760295286,0.296,0.258,0.0468217117628042,0.178282917547609,"random",0.1,"dispersed","separated"
12,0.132,0.013,-0.119,0.0106278855823702,0.38,0.27,0.0221919766756303,0.135194508608282,"adversarial",0.1,"dispersed","separated"
13,0.347,0.078,-0.269,0.0153255953839932,0.661,0.184,0.0656249132354211,0.271215107053995,"fawsitt",0.25,"dispersed","separated"
14,0.21,0.299,0.089,0.0150101400494569,0.576,0.517,0.200381991797542,0.296096707169674,"random",0.25,"dispersed","separated"
15,0.005,0.017,0.012,0.00422775045075675,0.661,0.148,0.120678687340979,0.321400030589809,"adversarial",0.25,"dispersed","separated"
16,0.961,0.9,-0.061,0.0103627402933001,0.983,0.913,0.380462520494099,0.845200486417877,"fawsitt",0.5,"dispersed","separated"
17,0.23,0.947,0.717,0.0143915988728882,0.683,1,0.423706791818521,0.841604764529857,"random",0.5,"dispersed","separated"
18,0.025,0.223,0.198,0.0136741721132573,0.901,0.973,0.218146508278849,0.450584944130449,"adversarial",0.5,"dispersed","separated"
19,0.497,0.313,-0.184,0.0140121497401482,0.559,0.341,0.0457911694069255,0.12247472810744,"fawsitt",0.1,"similar","tied"
20,0.408,0.376,-0.032,0.0132344682987701,0.452,0.395,0.0777244148897632,0.169744912539385,"random",0.1,"similar","tied"
21,0.199,0.324,0.125,0.0126306981016306,0.311,0.341,0.0293762384450592,0.119447488853828,"adversarial",0.1,"similar","tied"
22,0.833,0.505,-0.328,0.015121000120516,0.866,0.519,0.12431317539325,0.314114974307295,"fawsitt",0.25,"similar","tied"
23,0.539,0.463,-0.076,0.0163857405231651,0.65,0.48,0.185508476508672,0.445147707230088,"random",0.25,"similar","tied"
24,0.073,0.416,0.343,0.015019206922357,0.409,0.463,0.0740623345993212,0.299701598576121,"adversarial",0.25,"similar","tied"
25,0.942,0.306,-0.636,0.015222868840522,0.958,0.38,0.231669398796968,0.628000336614365,"fawsitt",0.5,"similar","tied"
26,0.06,0.828,0.768,0.0135779365280723,0.739,0.837,0.397465802051399,1.01631994912675,"random",0.5,"similar","tied"
27,0.006,0.373,0.367,0.0152493784641718,0.733,0.464,0.15069943094762,0.58385769546218,"adversarial",0.5,"similar","tied"
28,0.579,0.685,0.106,0.0182509478410601,0.809,0.709,0.0544015262299828,0.170141118851169,"fawsitt",0.1,"dispersed","tied"
29,0.426,0.436,0.01,0.0128866623322747,0.551,0.518,0.0576754708284322,0.101535748790302,"random",0.1,"dispersed","tied"
30,0.631,0.873,0.242,0.0172549625827972,0.845,0.885,0.0417991092873405,0.15534427425303,"adversarial",0.1,"dispersed","tied"
31,0.765,0.186,-0.579,0.015874854676847,0.825,0.243,0.0906621436322049,0.28670403507303,"fawsitt",0.25,"dispersed","tied"
32,0.594,0.408,-0.186,0.0150209729921076,0.719,0.533,0.171113658210959,0.314751216577148,"random",0.25,"dispersed","tied"
33,0.278,0.356,0.078,0.0182276780816494,0.564,0.552,0.0800920620780041,0.347732738499722,"adversarial",0.25,"dispersed","tied"
34,0.584,0.993,0.409,0.0156193137801557,0.741,0.994,0.123596765778793,0.371814697667897,"fawsitt",0.5,"dispersed","tied"
35,0.651,0.976,0.325,0.0150865039887511,0.753,1,0.195006752842069,0.606624111930629,"random",0.5,"dispersed","tied"
36,0.5,0.806,0.306,0.0169897808300359,0.546,0.978,0.0512644265990652,0.394749741456763,"adversarial",0.5,"dispersed","tied"
37,0.072,0.072,0,0,0.16,0.16,0.00316210794220461,0.00316210794220461,"complete",0.5,"similar","separated"
38,0.225,0.225,0,0,0.39,0.39,0.00528713548989029,0.00528713548989029,"complete",0.5,"dispersed","separated"
39,0.218,0.218,0,0,0.308,0.308,0.00103584257643792,0.00103584257643792,"complete",0.5,"similar","tied"
40,0.554,0.554,0,0,0.72,0.72,0.00503228312334671,0.00503228312334671,"complete",0.5,"dispersed","tied"
41,0.04,0.021,-0.019,0.0047604266260139,0.144,0.072,0.00427078505244204,0.0018061684844606,"fawsitt",0,"similar","separated"
42,0.151,0.038,-0.113,0.0115916075401718,0.354,0.107,0.00377317503154954,0.00282502886629115,"fawsitt",0,"dispersed","separated"
43,0.324,0.305,-0.019,0.0120326133397439,0.394,0.343,0.00184433783312647,0.0027136507418815,"fawsitt",0,"similar","tied"
44,0.393,0.356,-0.037,0.0145548219790846,0.534,0.384,0.00182014354279682,0.00323049112224886,"fawsitt",0,"dispersed","tied"
