"cell","d","c","near","poor","design","rho","same_best","rmse_best","loss_best"
1,-0.3,1,FALSE,FALSE,"anchored",0.6,FALSE,"gcomp","maic_means"
2,-0.3,1,FALSE,FALSE,"unanchored",0.7,FALSE,"gcomp","maic_means"
3,-0.3,1,FALSE,FALSE,"anchored",0.7,FALSE,"gcomp","unadjusted"
4,-0.3,1,FALSE,FALSE,"unanchored",0.153896752812773,FALSE,"gcomp","maic_means"
5,-0.3,1,FALSE,FALSE,"anchored",0.6,FALSE,"gcomp","unadjusted"
6,-0.3,1,FALSE,FALSE,"unanchored",-0.5,FALSE,"gcomp","maic_means"
7,-0.3,1,FALSE,FALSE,"anchored",0.974679434480896,TRUE,"gcomp","gcomp"
8,-0.3,1,FALSE,FALSE,"unanchored",0.461690258438319,FALSE,"maic_index","gcomp"
9,-0.3,1,FALSE,FALSE,"anchored",0.6,TRUE,"gcomp","gcomp"
10,-0.3,1,FALSE,FALSE,"unanchored",0.974679434480896,TRUE,"gcomp","gcomp"
11,-0.3,1,FALSE,FALSE,"anchored",0.564288093646835,TRUE,"gcomp","gcomp"
12,-0.3,1,FALSE,FALSE,"unanchored",0.615587011251092,FALSE,"maic_index","maic_meanvar"
13,-0.3,1,FALSE,FALSE,"anchored",0.6,TRUE,"gcomp","gcomp"
14,-0.3,1,FALSE,FALSE,"unanchored",0.7,TRUE,"gcomp","gcomp"
15,-0.3,1,FALSE,FALSE,"anchored",0.7,TRUE,"gcomp","gcomp"
16,-0.3,1,FALSE,FALSE,"unanchored",0.9,FALSE,"gcomp","maic_index"
17,-0.3,1,FALSE,FALSE,"anchored",0.9,TRUE,"gcomp","gcomp"
18,-0.3,1,FALSE,FALSE,"unanchored",1,TRUE,"maic_index","maic_index"
19,-0.3,1,FALSE,FALSE,"anchored",0.9,FALSE,"gcomp","unadjusted"
20,-0.3,1,FALSE,FALSE,"unanchored",-0.1,FALSE,"gcomp","unadjusted"
21,-0.3,1,FALSE,FALSE,"anchored",0.9,FALSE,"gcomp","unadjusted"
