"cell","shift","ratio","d","rel_rmse","rel_loss","cross","poor"
1,0,0.5,-0.1,1,0.9,0.65,FALSE
1,0,0.5,0.1,1,0.2,0.5,FALSE
2,0,0.5,-0.1,1,0.9,0.35,FALSE
2,0,0.5,0.1,1,0.7,0.35,FALSE
3,0,0.5,-0.1,1,1,0.7,FALSE
3,0,0.5,0.1,1,0.9,0.05,FALSE
4,0,0.5,-0.1,1,0.9,0.15,FALSE
4,0,0.5,0.1,1,1,0.7,FALSE
5,0,0.5,-0.1,1,0.974679434480896,0.683442964427675,FALSE
5,0,0.5,0.1,1,0.974679434480896,0.176948376406387,FALSE
6,0,0.5,-0.1,1,1,-0.5,FALSE
6,0,0.5,0.1,1,1,0.8,FALSE
7,0,1,-0.1,0.6,-0.66688592885535,0.379546211614902,FALSE
7,0,1,0.1,0.6,-0.824957911384305,-0.249959111584715,FALSE
8,0,1,-0.1,0.1,-0.573539334676404,0.00920556366647407,FALSE
8,0,1,0.1,0.1,-0.802955068546966,-0.30976073782284,FALSE
9,0,1,-0.1,0,-0.1,-0.15,FALSE
9,0,1,0.1,0,0.102597835208515,0.352597835208515,FALSE
10,0,1,-0.1,0.7,0.0512989176042577,-0.375649458802129,FALSE
10,0,1,0.1,0.7,0.9,0.55,FALSE
11,0,1,-0.1,0.7,0.353553390593274,0.710736733847323,FALSE
11,0,1,0.1,0.7,-0.540738070435875,0.021432328606483,FALSE
12,0,1,-0.1,0.3,1,0.5,FALSE
12,0,1,0.1,0.3,0.205195670417031,0.425649458802129,FALSE
13,0,2,-0.1,1,0.872081599272381,0.0756494588021288,FALSE
13,0,2,0.1,1,0.948683298050514,0.616227766016838,FALSE
14,0,2,-0.1,1,0.9,0.65,FALSE
14,0,2,0.1,1,0.9,-0.05,FALSE
15,0,2,-0.1,0.6,0.974679434480896,0.426948376406386,FALSE
15,0,2,0.1,0.6,0.974679434480896,0.426948376406386,FALSE
16,0,2,-0.1,0.9,0.9,0.8,FALSE
16,0,2,0.1,0.9,0.872081599272381,-0.532144046823417,FALSE
17,0,2,-0.1,0.6,0.9,0.75,FALSE
17,0,2,0.1,0.6,0.974679434480896,-0.232144046823417,FALSE
18,0,2,-0.1,1,0.9,0.85,FALSE
18,0,2,0.1,1,0.66688592885535,-0.633442964427675,FALSE
19,0.3,0.5,-0.1,1,0.8,0.75,FALSE
19,0.3,0.5,0.1,1,1,1,FALSE
20,0.3,0.5,-0.1,1,0.7,-0.3,FALSE
20,0.3,0.5,0.1,1,1,0.9,FALSE
21,0.3,0.5,-0.1,1,0.9,0.65,FALSE
21,0.3,0.5,0.1,1,0.9,0.05,FALSE
22,0.3,0.5,-0.1,1,0.9,-0.15,FALSE
22,0.3,0.5,0.1,1,1,0.7,FALSE
23,0.3,0.5,-0.1,1,0.9,0.65,FALSE
23,0.3,0.5,0.1,1,1,0.1,FALSE
24,0.3,0.5,-0.1,1,0.9,-0.15,FALSE
24,0.3,0.5,0.1,1,1,0.5,FALSE
25,0.3,1,-0.1,0.6,0.820782681668123,0.582144046823417,FALSE
25,0.3,1,0.1,0.6,0.657894736842105,0.692535387657479,FALSE
26,0.3,1,-0.1,0.9,0.1,-0.5,FALSE
26,0.3,1,0.1,0.9,0.7,0.35,FALSE
27,0.3,1,-0.1,0.6,0.66688592885535,0.759092423229804,FALSE
27,0.3,1,0.1,0.6,0.68421052631579,0.66688592885535,FALSE
28,0.3,1,-0.1,0.3,0.564288093646835,-0.760391340834062,FALSE
28,0.3,1,0.1,0.3,0.1,0.8,FALSE
29,0.3,1,-0.1,0.9,0.5,0.7,FALSE
29,0.3,1,0.1,0.9,0.974679434480896,0.152597835208515,FALSE
30,0.3,1,-0.1,0.7,0.3,-0.1,FALSE
30,0.3,1,0.1,0.7,0.5,0.410391340834062,FALSE
31,0.3,2,-0.1,0.9,0.974679434480896,0.305195670417031,FALSE
31,0.3,2,0.1,0.9,0.8,0.4,FALSE
32,0.3,2,-0.1,1,1,-0.1,FALSE
32,0.3,2,0.1,1,1,0.7,FALSE
