"cell","design","var_T","ratio","shift","em","method","d","c","n","rmse","bias","wrong","loss","loss_se"
1,"anchored",0.25,0.5,0,"none","gcomp",-0.3,1,1000,0.212095049141498,0.00460103992421975,0.077,0.077,0.00843458014024064
1,"anchored",0.25,0.5,0,"none","gcomp",-0.3,2,1000,0.212095049141498,0.00460103992421975,0.034,0.068,0.0114676722793909
1,"anchored",0.25,0.5,0,"none","gcomp",-0.3,5,1000,0.212095049141498,0.00460103992421975,0.009,0.0450000000000001,0.0149398192157134
1,"anchored",0.25,0.5,0,"none","gcomp",-0.1,1,1000,0.212095049141498,0.00460103992421975,0.307,0.307,0.0145932848928526
1,"anchored",0.25,0.5,0,"none","gcomp",-0.1,2,1000,0.212095049141498,0.00460103992421975,0.185,0.37,0.0245703826527733
1,"anchored",0.25,0.5,0,"none","gcomp",-0.1,5,1000,0.212095049141498,0.00460103992421975,0.076,0.38,0.0419208463339819
1,"anchored",0.25,0.5,0,"none","gcomp",0.1,1,1000,0.212095049141498,0.00460103992421975,0.329,0.329,0.0148653953859284
1,"anchored",0.25,0.5,0,"none","gcomp",0.1,2,1000,0.212095049141498,0.00460103992421975,0.492,0.492,0.015817274929209
1,"anchored",0.25,0.5,0,"none","gcomp",0.1,5,1000,0.212095049141498,0.00460103992421975,0.693,0.693,0.0145932848928526
1,"anchored",0.25,0.5,0,"none","gcomp",0.3,1,1000,0.212095049141498,0.00460103992421975,0.091,0.0909999999999999,0.00909954953840024
1,"anchored",0.25,0.5,0,"none","gcomp",0.3,2,1000,0.212095049141498,0.00460103992421975,0.168,0.168,0.0118286058314543
1,"anchored",0.25,0.5,0,"none","gcomp",0.3,5,1000,0.212095049141498,0.00460103992421975,0.331,0.331,0.0148882725882039
1,"anchored",0.25,0.5,0,"none","maic_index",-0.3,1,1000,0.252824586416733,0.0096755995896907,0.12,0.12,0.0102813280127474
1,"anchored",0.25,0.5,0,"none","maic_index",-0.3,2,1000,0.252824586416733,0.0096755995896907,0.046,0.092,0.0132556294347614
1,"anchored",0.25,0.5,0,"none","maic_index",-0.3,5,1000,0.252824586416733,0.0096755995896907,0.015,0.0750000000000002,0.019228747872515
1,"anchored",0.25,0.5,0,"none","maic_index",-0.1,1,1000,0.252824586416733,0.0096755995896907,0.323,0.323,0.0147949278433486
1,"anchored",0.25,0.5,0,"none","maic_index",-0.1,2,1000,0.252824586416733,0.0096755995896907,0.204,0.408,0.0254987487180488
1,"anchored",0.25,0.5,0,"none","maic_index",-0.1,5,1000,0.252824586416733,0.0096755995896907,0.084,0.42,0.0438808104474558
1,"anchored",0.25,0.5,0,"none","maic_index",0.1,1,1000,0.252824586416733,0.0096755995896907,0.353,0.353,0.0151201726054837
1,"anchored",0.25,0.5,0,"none","maic_index",0.1,2,1000,0.252824586416733,0.0096755995896907,0.52,0.52,0.0158066394230352
1,"anchored",0.25,0.5,0,"none","maic_index",0.1,5,1000,0.252824586416733,0.0096755995896907,0.729,0.729,0.0140626013509862
1,"anchored",0.25,0.5,0,"none","maic_index",0.3,1,1000,0.252824586416733,0.0096755995896907,0.135,0.135,0.0108116553724161
1,"anchored",0.25,0.5,0,"none","maic_index",0.3,2,1000,0.252824586416733,0.0096755995896907,0.228,0.228,0.0132737407008045
1,"anchored",0.25,0.5,0,"none","maic_index",0.3,5,1000,0.252824586416733,0.0096755995896907,0.413,0.413,0.0155779868299365
1,"anchored",0.25,0.5,0,"none","maic_means",-0.3,1,1000,0.216719412492148,0.0231258499038633,0.063,0.063,0.00768700787628642
1,"anchored",0.25,0.5,0,"none","maic_means",-0.3,2,1000,0.216719412492148,0.0231258499038633,0.029,0.0580000000000001,0.010618321371514
1,"anchored",0.25,0.5,0,"none","maic_means",-0.3,5,1000,0.216719412492148,0.0231258499038633,0.005,0.0249999999999999,0.0111579343742244
1,"anchored",0.25,0.5,0,"none","maic_means",-0.1,1,1000,0.216719412492148,0.0231258499038633,0.284,0.284,0.0142670090610313
1,"anchored",0.25,0.5,0,"none","maic_means",-0.1,2,1000,0.216719412492148,0.0231258499038633,0.167,0.334,0.0236008686492892
1,"anchored",0.25,0.5,0,"none","maic_means",-0.1,5,1000,0.216719412492148,0.0231258499038633,0.06,0.3,0.0375687557873746
1,"anchored",0.25,0.5,0,"none","maic_means",0.1,1,1000,0.216719412492148,0.0231258499038633,0.358,0.358,0.0151679288654076
1,"anchored",0.25,0.5,0,"none","maic_means",0.1,2,1000,0.216719412492148,0.0231258499038633,0.525,0.525,0.015799513429996
1,"anchored",0.25,0.5,0,"none","maic_means",0.1,5,1000,0.216719412492148,0.0231258499038633,0.721,0.721,0.014190150117612
1,"anchored",0.25,0.5,0,"none","maic_means",0.3,1,1000,0.216719412492148,0.0231258499038633,0.106,0.106,0.00973955126578514
1,"anchored",0.25,0.5,0,"none","maic_means",0.3,2,1000,0.216719412492148,0.0231258499038633,0.198,0.198,0.0126077339341753
1,"anchored",0.25,0.5,0,"none","maic_means",0.3,5,1000,0.216719412492148,0.0231258499038633,0.367,0.367,0.0152493784641718
1,"anchored",0.25,0.5,0,"none","maic_meanvar",-0.3,1,1000,0.334641431023745,0.005818604975113,0.186,0.186,0.0123107902084128
1,"anchored",0.25,0.5,0,"none","maic_meanvar",-0.3,2,1000,0.334641431023745,0.005818604975113,0.089,0.178,0.018017786785303
1,"anchored",0.25,0.5,0,"none","maic_meanvar",-0.3,5,1000,0.334641431023745,0.005818604975113,0.028,0.14,0.0260975301720504
1,"anchored",0.25,0.5,0,"none","maic_meanvar",-0.1,1,1000,0.334641431023745,0.005818604975113,0.385,0.385,0.0153951944454108
1,"anchored",0.25,0.5,0,"none","maic_meanvar",-0.1,2,1000,0.334641431023745,0.005818604975113,0.231,0.462,0.0266695944338729
1,"anchored",0.25,0.5,0,"none","maic_meanvar",-0.1,5,1000,0.334641431023745,0.005818604975113,0.107,0.535000000000001,0.0488995517992358
1,"anchored",0.25,0.5,0,"none","maic_meanvar",0.1,1,1000,0.334641431023745,0.005818604975113,0.376,0.376,0.0153251055088981
1,"anchored",0.25,0.5,0,"none","maic_meanvar",0.1,2,1000,0.334641431023745,0.005818604975113,0.541,0.541,0.0157660257378822
1,"anchored",0.25,0.5,0,"none","maic_meanvar",0.1,5,1000,0.334641431023745,0.005818604975113,0.741,0.741,0.0138604152575279
1,"anchored",0.25,0.5,0,"none","maic_meanvar",0.3,1,1000,0.334641431023745,0.005818604975113,0.181,0.181,0.0121814361791779
1,"anchored",0.25,0.5,0,"none","maic_meanvar",0.3,2,1000,0.334641431023745,0.005818604975113,0.302,0.302,0.0145260802354595
1,"anchored",0.25,0.5,0,"none","maic_meanvar",0.3,5,1000,0.334641431023745,0.005818604975113,0.5,0.5,0.0158192999292083
1,"anchored",0.25,0.5,0,"none","unadjusted",-0.3,1,1000,0.215706089734626,0.0225188701589441,0.065,0.065,0.00779973306183201
1,"anchored",0.25,0.5,0,"none","unadjusted",-0.3,2,1000,0.215706089734626,0.0225188701589441,0.03,0.0600000000000001,0.0107942816581984
1,"anchored",0.25,0.5,0,"none","unadjusted",-0.3,5,1000,0.215706089734626,0.0225188701589441,0.005,0.0249999999999999,0.0111579343742244
1,"anchored",0.25,0.5,0,"none","unadjusted",-0.1,1,1000,0.215706089734626,0.0225188701589441,0.287,0.287,0.01431208705381
1,"anchored",0.25,0.5,0,"none","unadjusted",-0.1,2,1000,0.215706089734626,0.0225188701589441,0.162,0.324,0.0233145355426088
1,"anchored",0.25,0.5,0,"none","unadjusted",-0.1,5,1000,0.215706089734626,0.0225188701589441,0.06,0.3,0.0375687557873746
1,"anchored",0.25,0.5,0,"none","unadjusted",0.1,1,1000,0.215706089734626,0.0225188701589441,0.36,0.36,0.0151865279320401
1,"anchored",0.25,0.5,0,"none","unadjusted",0.1,2,1000,0.215706089734626,0.0225188701589441,0.521,0.521,0.0158053411481313
1,"anchored",0.25,0.5,0,"none","unadjusted",0.1,5,1000,0.215706089734626,0.0225188701589441,0.716,0.716,0.0142670090610313
1,"anchored",0.25,0.5,0,"none","unadjusted",0.3,1,1000,0.215706089734626,0.0225188701589441,0.105,0.105,0.00969892102602497
1,"anchored",0.25,0.5,0,"none","unadjusted",0.3,2,1000,0.215706089734626,0.0225188701589441,0.194,0.194,0.0125108161412643
1,"anchored",0.25,0.5,0,"none","unadjusted",0.3,5,1000,0.215706089734626,0.0225188701589441,0.365,0.365,0.0152317762262649
2,"unanchored",0.25,0.5,0,"none","gcomp",-0.3,1,1000,0.161658525038336,-0.0129063275946452,0.033,0.033,0.00565180882045237
2,"unanchored",0.25,0.5,0,"none","gcomp",-0.3,2,1000,0.161658525038336,-0.0129063275946452,0.017,0.0340000000000001,0.00817990897937819
2,"unanchored",0.25,0.5,0,"none","gcomp",-0.3,5,1000,0.161658525038336,-0.0129063275946452,0.004,0.0200000000000003,0.00998497369549361
2,"unanchored",0.25,0.5,0,"none","gcomp",-0.1,1,1000,0.161658525038336,-0.0129063275946452,0.297,0.297,0.0144568322948011
2,"unanchored",0.25,0.5,0,"none","gcomp",-0.1,2,1000,0.161658525038336,-0.0129063275946452,0.162,0.323999999999999,0.0233145355426089
2,"unanchored",0.25,0.5,0,"none","gcomp",-0.1,5,1000,0.161658525038336,-0.0129063275946452,0.063,0.315,0.0384350393814322
2,"unanchored",0.25,0.5,0,"none","gcomp",0.1,1,1000,0.161658525038336,-0.0129063275946452,0.244,0.244,0.0135885484378814
2,"unanchored",0.25,0.5,0,"none","gcomp",0.1,2,1000,0.161658525038336,-0.0129063275946452,0.4,0.4,0.0154996851658426
2,"unanchored",0.25,0.5,0,"none","gcomp",0.1,5,1000,0.161658525038336,-0.0129063275946452,0.597,0.597,0.0155187574190665
2,"unanchored",0.25,0.5,0,"none","gcomp",0.3,1,1000,0.161658525038336,-0.0129063275946452,0.028,0.0280000000000001,0.00521950603441006
2,"unanchored",0.25,0.5,0,"none","gcomp",0.3,2,1000,0.161658525038336,-0.0129063275946452,0.061,0.061,0.00757207609155743
2,"unanchored",0.25,0.5,0,"none","gcomp",0.3,5,1000,0.161658525038336,-0.0129063275946452,0.169,0.169,0.0118566259778901
2,"unanchored",0.25,0.5,0,"none","maic_index",-0.3,1,1000,0.187203475532917,-0.00420910318078297,0.071,0.0710000000000001,0.00812557844248792
2,"unanchored",0.25,0.5,0,"none","maic_index",-0.3,2,1000,0.187203475532917,-0.00420910318078297,0.019,0.0379999999999999,0.00863890216582121
2,"unanchored",0.25,0.5,0,"none","maic_index",-0.3,5,1000,0.187203475532917,-0.00420910318078297,0.006,0.03,0.0122167609966493
2,"unanchored",0.25,0.5,0,"none","maic_index",-0.1,1,1000,0.187203475532917,-0.00420910318078297,0.291,0.291,0.0143709959823779
2,"unanchored",0.25,0.5,0,"none","maic_index",-0.1,2,1000,0.187203475532917,-0.00420910318078297,0.168,0.336,0.0236572116629085
2,"unanchored",0.25,0.5,0,"none","maic_index",-0.1,5,1000,0.187203475532917,-0.00420910318078297,0.073,0.365,0.0411517735762201
2,"unanchored",0.25,0.5,0,"none","maic_index",0.1,1,1000,0.187203475532917,-0.00420910318078297,0.286,0.286,0.0142971468625179
2,"unanchored",0.25,0.5,0,"none","maic_index",0.1,2,1000,0.187203475532917,-0.00420910318078297,0.457,0.457,0.0157606915901364
2,"unanchored",0.25,0.5,0,"none","maic_index",0.1,5,1000,0.187203475532917,-0.00420910318078297,0.674,0.674,0.014830507204541
2,"unanchored",0.25,0.5,0,"none","maic_index",0.3,1,1000,0.187203475532917,-0.00420910318078297,0.046,0.046,0.00662781471738069
2,"unanchored",0.25,0.5,0,"none","maic_index",0.3,2,1000,0.187203475532917,-0.00420910318078297,0.105,0.105,0.00969892102602494
2,"unanchored",0.25,0.5,0,"none","maic_index",0.3,5,1000,0.187203475532917,-0.00420910318078297,0.259,0.259,0.0138604152575279
2,"unanchored",0.25,0.5,0,"none","maic_means",-0.3,1,1000,0.165159585885153,0.0369235421804891,0.022,0.0220000000000001,0.0046408552592747
2,"unanchored",0.25,0.5,0,"none","maic_means",-0.3,2,1000,0.165159585885153,0.0369235421804891,0.006,0.012,0.00488670439865964
2,"unanchored",0.25,0.5,0,"none","maic_means",-0.3,5,1000,0.165159585885153,0.0369235421804891,0.001,0.00500000000000008,0.005
2,"unanchored",0.25,0.5,0,"none","maic_means",-0.1,1,1000,0.165159585885153,0.0369235421804891,0.193,0.193,0.0124862687343701
2,"unanchored",0.25,0.5,0,"none","maic_means",-0.1,2,1000,0.165159585885153,0.0369235421804891,0.092,0.184,0.0182887527863022
2,"unanchored",0.25,0.5,0,"none","maic_means",-0.1,5,1000,0.165159585885153,0.0369235421804891,0.035,0.175,0.0290726713636743
2,"unanchored",0.25,0.5,0,"none","maic_means",0.1,1,1000,0.165159585885153,0.0369235421804891,0.357,0.357,0.0151585217214868
2,"unanchored",0.25,0.5,0,"none","maic_means",0.1,2,1000,0.165159585885153,0.0369235421804891,0.513,0.513,0.0158139521018966
2,"unanchored",0.25,0.5,0,"none","maic_means",0.1,5,1000,0.165159585885153,0.0369235421804891,0.722,0.722,0.0141745164614852
2,"unanchored",0.25,0.5,0,"none","maic_means",0.3,1,1000,0.165159585885153,0.0369235421804891,0.053,0.053,0.00708810561724645
2,"unanchored",0.25,0.5,0,"none","maic_means",0.3,2,1000,0.165159585885153,0.0369235421804891,0.106,0.106,0.00973955126578514
2,"unanchored",0.25,0.5,0,"none","maic_means",0.3,5,1000,0.165159585885153,0.0369235421804891,0.258,0.258,0.0138429631086566
2,"unanchored",0.25,0.5,0,"none","maic_meanvar",-0.3,1,1000,0.238230508398252,0.00734031773703287,0.099,0.0989999999999999,0.00944924802766276
2,"unanchored",0.25,0.5,0,"none","maic_meanvar",-0.3,2,1000,0.238230508398252,0.00734031773703287,0.03,0.0600000000000001,0.0107942816581984
2,"unanchored",0.25,0.5,0,"none","maic_meanvar",-0.3,5,1000,0.238230508398252,0.00734031773703287,0.008,0.04,0.0140925015025224
2,"unanchored",0.25,0.5,0,"none","maic_meanvar",-0.1,1,1000,0.238230508398252,0.00734031773703287,0.336,0.336,0.014944140233795
2,"unanchored",0.25,0.5,0,"none","maic_meanvar",-0.1,2,1000,0.238230508398252,0.00734031773703287,0.196,0.392,0.0251190558534147
2,"unanchored",0.25,0.5,0,"none","maic_meanvar",-0.1,5,1000,0.238230508398252,0.00734031773703287,0.072,0.36,0.0408909778810933
2,"unanchored",0.25,0.5,0,"none","maic_meanvar",0.1,1,1000,0.238230508398252,0.00734031773703287,0.358,0.358,0.0151679288654076
2,"unanchored",0.25,0.5,0,"none","maic_meanvar",0.1,2,1000,0.238230508398252,0.00734031773703287,0.514,0.514,0.015813097547731
2,"unanchored",0.25,0.5,0,"none","maic_meanvar",0.1,5,1000,0.238230508398252,0.00734031773703287,0.714,0.714,0.0142971468625179
2,"unanchored",0.25,0.5,0,"none","maic_meanvar",0.3,1,1000,0.238230508398252,0.00734031773703287,0.117,0.117,0.0101692878027133
2,"unanchored",0.25,0.5,0,"none","maic_meanvar",0.3,2,1000,0.238230508398252,0.00734031773703287,0.226,0.226,0.0132325016190853
2,"unanchored",0.25,0.5,0,"none","maic_meanvar",0.3,5,1000,0.238230508398252,0.00734031773703287,0.399,0.399,0.0154931933131629
2,"unanchored",0.25,0.5,0,"none","unadjusted",-0.3,1,1000,0.16683246440394,0.0360807195935783,0.023,0.0229999999999999,0.0047427305946568
2,"unanchored",0.25,0.5,0,"none","unadjusted",-0.3,2,1000,0.16683246440394,0.0360807195935783,0.005,0.01,0.00446317374968977
2,"unanchored",0.25,0.5,0,"none","unadjusted",-0.3,5,1000,0.16683246440394,0.0360807195935783,0.002,0.0100000000000001,0.00706752785278913
2,"unanchored",0.25,0.5,0,"none","unadjusted",-0.1,1,1000,0.16683246440394,0.0360807195935783,0.189,0.189,0.0123867845881177
2,"unanchored",0.25,0.5,0,"none","unadjusted",-0.1,2,1000,0.16683246440394,0.0360807195935783,0.099,0.198,0.0188984960553255
2,"unanchored",0.25,0.5,0,"none","unadjusted",-0.1,5,1000,0.16683246440394,0.0360807195935783,0.036,0.18,0.0294697890808279
2,"unanchored",0.25,0.5,0,"none","unadjusted",0.1,1,1000,0.16683246440394,0.0360807195935783,0.346,0.346,0.0150502661275644
2,"unanchored",0.25,0.5,0,"none","unadjusted",0.1,2,1000,0.16683246440394,0.0360807195935783,0.506,0.506,0.0158181608986067
2,"unanchored",0.25,0.5,0,"none","unadjusted",0.1,5,1000,0.16683246440394,0.0360807195935783,0.716,0.716,0.0142670090610313
2,"unanchored",0.25,0.5,0,"none","unadjusted",0.3,1,1000,0.16683246440394,0.0360807195935783,0.056,0.056,0.00727440148169707
2,"unanchored",0.25,0.5,0,"none","unadjusted",0.3,2,1000,0.16683246440394,0.0360807195935783,0.109,0.109,0.00985982840703718
2,"unanchored",0.25,0.5,0,"none","unadjusted",0.3,5,1000,0.16683246440394,0.0360807195935783,0.262,0.262,0.0139122086510213
3,"anchored",1,0.5,0,"none","gcomp",-0.3,1,1000,0.195697102619113,-0.00785946326491915,0.076,0.076,0.00838416926679638
3,"anchored",1,0.5,0,"none","gcomp",-0.3,2,1000,0.195697102619113,-0.00785946326491915,0.032,0.064,0.0111367871501627
3,"anchored",1,0.5,0,"none","gcomp",-0.3,5,1000,0.195697102619113,-0.00785946326491915,0.008,0.0400000000000001,0.0140925015025224
3,"anchored",1,0.5,0,"none","gcomp",-0.1,1,1000,0.195697102619113,-0.00785946326491915,0.318,0.318,0.0147340793093119
3,"anchored",1,0.5,0,"none","gcomp",-0.1,2,1000,0.195697102619113,-0.00785946326491915,0.181,0.362,0.0243628723583558
3,"anchored",1,0.5,0,"none","gcomp",-0.1,5,1000,0.195697102619113,-0.00785946326491915,0.086,0.43,0.0443516298129737
3,"anchored",1,0.5,0,"none","gcomp",0.1,1,1000,0.195697102619113,-0.00785946326491915,0.295,0.295,0.0144285544384455
3,"anchored",1,0.5,0,"none","gcomp",0.1,2,1000,0.195697102619113,-0.00785946326491915,0.446,0.446,0.0157267711667504
3,"anchored",1,0.5,0,"none","gcomp",0.1,5,1000,0.195697102619113,-0.00785946326491915,0.66,0.66,0.0149874822643639
3,"anchored",1,0.5,0,"none","gcomp",0.3,1,1000,0.195697102619113,-0.00785946326491915,0.048,0.048,0.00676326413366666
3,"anchored",1,0.5,0,"none","gcomp",0.3,2,1000,0.195697102619113,-0.00785946326491915,0.125,0.125,0.0104634833819567
3,"anchored",1,0.5,0,"none","gcomp",0.3,5,1000,0.195697102619113,-0.00785946326491915,0.277,0.277,0.0141587948453063
3,"anchored",1,0.5,0,"none","maic_index",-0.3,1,1000,0.25405495701436,-0.00691868201498171,0.129,0.129,0.0106052567847966
3,"anchored",1,0.5,0,"none","maic_index",-0.3,2,1000,0.25405495701436,-0.00691868201498171,0.06,0.12,0.0150275023149498
3,"anchored",1,0.5,0,"none","maic_index",-0.3,5,1000,0.25405495701436,-0.00691868201498171,0.021,0.105,0.0226823607565327
3,"anchored",1,0.5,0,"none","maic_index",-0.1,1,1000,0.25405495701436,-0.00691868201498171,0.344,0.344,0.0150296337244089
3,"anchored",1,0.5,0,"none","maic_index",-0.1,2,1000,0.25405495701436,-0.00691868201498171,0.214,0.428,0.0259516760439375
3,"anchored",1,0.5,0,"none","maic_index",-0.1,5,1000,0.25405495701436,-0.00691868201498171,0.108,0.54,0.0491000082567286
3,"anchored",1,0.5,0,"none","maic_index",0.1,1,1000,0.25405495701436,-0.00691868201498171,0.346,0.346,0.0150502661275644
3,"anchored",1,0.5,0,"none","maic_index",0.1,2,1000,0.25405495701436,-0.00691868201498171,0.509,0.509,0.0158167369950054
3,"anchored",1,0.5,0,"none","maic_index",0.1,5,1000,0.25405495701436,-0.00691868201498171,0.709,0.709,0.0143709959823779
3,"anchored",1,0.5,0,"none","maic_index",0.3,1,1000,0.25405495701436,-0.00691868201498171,0.114,0.114,0.0100551034358233
3,"anchored",1,0.5,0,"none","maic_index",0.3,2,1000,0.25405495701436,-0.00691868201498171,0.215,0.215,0.0129978438190318
3,"anchored",1,0.5,0,"none","maic_index",0.3,5,1000,0.25405495701436,-0.00691868201498171,0.402,0.402,0.0155124671357151
3,"anchored",1,0.5,0,"none","maic_means",-0.3,1,1000,0.213746952794706,0.0485497571911939,0.057,0.057,0.00733517585370685
3,"anchored",1,0.5,0,"none","maic_means",-0.3,2,1000,0.213746952794706,0.0485497571911939,0.024,0.048,0.00968451288345416
3,"anchored",1,0.5,0,"none","maic_means",-0.3,5,1000,0.213746952794706,0.0485497571911939,0.005,0.025,0.0111579343742244
3,"anchored",1,0.5,0,"none","maic_means",-0.1,1,1000,0.213746952794706,0.0485497571911939,0.227,0.227,0.0132531749647639
3,"anchored",1,0.5,0,"none","maic_means",-0.1,2,1000,0.213746952794706,0.0485497571911939,0.129,0.258,0.0212105135695932
3,"anchored",1,0.5,0,"none","maic_means",-0.1,5,1000,0.213746952794706,0.0485497571911939,0.058,0.29,0.0369765772789652
3,"anchored",1,0.5,0,"none","maic_means",0.1,1,1000,0.213746952794706,0.0485497571911939,0.411,0.411,0.0155666734185993
3,"anchored",1,0.5,0,"none","maic_means",0.1,2,1000,0.213746952794706,0.0485497571911939,0.58,0.58,0.015615500115073
3,"anchored",1,0.5,0,"none","maic_means",0.1,5,1000,0.213746952794706,0.0485497571911939,0.773,0.773,0.0132531749647639
3,"anchored",1,0.5,0,"none","maic_means",0.3,1,1000,0.213746952794706,0.0485497571911939,0.108,0.108,0.0098200016513457
3,"anchored",1,0.5,0,"none","maic_means",0.3,2,1000,0.213746952794706,0.0485497571911939,0.219,0.219,0.013084731950262
3,"anchored",1,0.5,0,"none","maic_means",0.3,5,1000,0.213746952794706,0.0485497571911939,0.413,0.413,0.0155779868299365
3,"anchored",1,0.5,0,"none","maic_meanvar",-0.3,1,1000,0.320874260969385,-0.00594545446645208,0.185,0.185,0.0122851913263867
3,"anchored",1,0.5,0,"none","maic_meanvar",-0.3,2,1000,0.320874260969385,-0.00594545446645208,0.09,0.18,0.0181087804097329
3,"anchored",1,0.5,0,"none","maic_meanvar",-0.3,5,1000,0.320874260969385,-0.00594545446645208,0.028,0.14,0.0260975301720504
3,"anchored",1,0.5,0,"none","maic_meanvar",-0.1,1,1000,0.320874260969385,-0.00594545446645208,0.399,0.399,0.0154931933131629
3,"anchored",1,0.5,0,"none","maic_meanvar",-0.1,2,1000,0.320874260969385,-0.00594545446645208,0.244,0.488,0.0271770968757629
3,"anchored",1,0.5,0,"none","maic_meanvar",-0.1,5,1000,0.320874260969385,-0.00594545446645208,0.109,0.545,0.0492991420351857
3,"anchored",1,0.5,0,"none","maic_meanvar",0.1,1,1000,0.320874260969385,-0.00594545446645208,0.368,0.368,0.0152580735615218
3,"anchored",1,0.5,0,"none","maic_meanvar",0.1,2,1000,0.320874260969385,-0.00594545446645208,0.541,0.541,0.0157660257378822
3,"anchored",1,0.5,0,"none","maic_meanvar",0.1,5,1000,0.320874260969385,-0.00594545446645208,0.725,0.725,0.0141270865564905
3,"anchored",1,0.5,0,"none","maic_meanvar",0.3,1,1000,0.320874260969385,-0.00594545446645208,0.17,0.17,0.0118844958345417
3,"anchored",1,0.5,0,"none","maic_meanvar",0.3,2,1000,0.320874260969385,-0.00594545446645208,0.299,0.299,0.0144847785212204
