"cell","dist","poor","rho","same_best"
1,0.1,FALSE,0.9,TRUE
2,0.1,FALSE,0.7,FALSE
3,0.1,FALSE,1,TRUE
4,0.1,FALSE,1,TRUE
5,0.1,FALSE,0.974679434480896,TRUE
6,0.1,FALSE,0.9,TRUE
7,0.1,FALSE,0.66688592885535,TRUE
8,0.1,FALSE,0.7,TRUE
9,0.1,FALSE,0.410391340834062,TRUE
10,0.1,FALSE,0.6,TRUE
11,0.1,FALSE,0.5,TRUE
12,0.1,FALSE,0.9,TRUE
13,0.1,FALSE,0.7,FALSE
14,0.1,FALSE,0.6,TRUE
15,0.1,FALSE,0.974679434480896,TRUE
16,0.1,FALSE,0.9,TRUE
17,0.1,FALSE,0.6,TRUE
18,0.1,FALSE,0.9,TRUE
19,0.1,FALSE,0.9,FALSE
20,0.1,FALSE,1,TRUE
21,0.1,FALSE,0.9,TRUE
22,0.1,FALSE,1,TRUE
23,0.1,FALSE,1,TRUE
24,0.1,FALSE,1,TRUE
25,0.1,FALSE,0.564288093646835,TRUE
26,0.1,FALSE,0.3,FALSE
27,0.1,FALSE,0.820782681668123,TRUE
28,0.1,FALSE,0.872081599272381,TRUE
29,0.1,FALSE,0.9,TRUE
30,0.1,FALSE,0.6,TRUE
31,0.1,FALSE,0.9,TRUE
32,0.1,FALSE,1,TRUE
33,0.1,FALSE,0.9,TRUE
34,0.1,FALSE,1,TRUE
35,0.1,FALSE,0.9,TRUE
36,0.1,FALSE,1,TRUE
37,0.1,TRUE,1,TRUE
38,0.1,TRUE,0.9,TRUE
39,0.1,TRUE,0.9,TRUE
40,0.1,TRUE,0.9,TRUE
41,0.1,TRUE,1,TRUE
42,0.1,TRUE,0.9,TRUE
43,0.1,FALSE,1,TRUE
44,0.1,FALSE,0.9,TRUE
45,0.1,FALSE,0.6,TRUE
46,0.1,FALSE,0.9,TRUE
47,0.1,FALSE,1,TRUE
48,0.1,FALSE,0.7,TRUE
49,0.1,FALSE,1,TRUE
50,0.1,FALSE,1,TRUE
51,0.1,FALSE,0.9,TRUE
52,0.1,FALSE,1,TRUE
53,0.1,FALSE,0.9,TRUE
54,0.1,FALSE,1,TRUE
55,0.1,FALSE,1,TRUE
56,0.1,FALSE,0.6,TRUE
57,0.1,FALSE,0.9,TRUE
58,0.1,FALSE,1,TRUE
59,0.1,FALSE,1,TRUE
60,0.1,FALSE,0.9,TRUE
61,0.1,FALSE,-0.1,FALSE
62,0.1,FALSE,0.7,FALSE
63,0.1,FALSE,0.6,TRUE
64,0.1,FALSE,0.9,FALSE
65,0.1,FALSE,0.7,TRUE
66,0.1,FALSE,0.5,FALSE
67,0.1,FALSE,0.9,TRUE
68,0.1,FALSE,1,TRUE
69,0.1,FALSE,0.9,TRUE
70,0.1,FALSE,0.9,TRUE
71,0.1,FALSE,0.8,TRUE
72,0.1,FALSE,0.9,TRUE
73,0.1,FALSE,1,TRUE
74,0.1,FALSE,1,TRUE
75,0.1,FALSE,1,TRUE
76,0.1,FALSE,1,TRUE
77,0.1,FALSE,0.9,TRUE
78,0.1,FALSE,1,TRUE
79,0.1,FALSE,1,TRUE
80,0.1,FALSE,0.7,TRUE
81,0.1,FALSE,0.4,TRUE
82,0.1,FALSE,0.9,TRUE
83,0.1,FALSE,0.1,TRUE
84,0.1,FALSE,0.66688592885535,FALSE
85,0.1,FALSE,0.9,FALSE
86,0.1,FALSE,1,TRUE
87,0.1,FALSE,0.9,TRUE
88,0.1,FALSE,1,TRUE
89,0.1,FALSE,0.9,TRUE
90,0.1,FALSE,1,TRUE
91,0.1,TRUE,0.8,TRUE
92,0.1,TRUE,0.9,TRUE
93,0.1,TRUE,1,TRUE
94,0.1,TRUE,1,TRUE
95,0.1,TRUE,0.9,TRUE
96,0.1,TRUE,1,TRUE
97,0.1,FALSE,1,TRUE
98,0.1,FALSE,1,TRUE
99,0.1,FALSE,0.974679434480896,TRUE
100,0.1,FALSE,1,TRUE
101,0.1,FALSE,0.6,TRUE
102,0.1,FALSE,1,TRUE
103,0.1,FALSE,0.872081599272381,TRUE
104,0.1,FALSE,0.9,TRUE
105,0.1,FALSE,0.872081599272381,TRUE
106,0.1,FALSE,0.9,FALSE
107,0.1,FALSE,0.9,TRUE
108,0.1,FALSE,1,TRUE
1,0.3,FALSE,0.9,TRUE
2,0.3,FALSE,1,TRUE
3,0.3,FALSE,0.9,TRUE
4,0.3,FALSE,1,TRUE
5,0.3,FALSE,0.9,TRUE
6,0.3,FALSE,1,TRUE
7,0.3,FALSE,0.9,FALSE
8,0.3,FALSE,0.461690258438319,FALSE
9,0.3,FALSE,0.6,TRUE
10,0.3,FALSE,0.6,TRUE
11,0.3,FALSE,0.410391340834062,TRUE
12,0.3,FALSE,0.820782681668123,TRUE
13,0.3,FALSE,0.974679434480896,TRUE
14,0.3,FALSE,0.9,TRUE
15,0.3,FALSE,1,TRUE
16,0.3,FALSE,0.9,FALSE
17,0.3,FALSE,0.9,TRUE
18,0.3,FALSE,1,TRUE
19,0.3,FALSE,1,TRUE
20,0.3,FALSE,1,TRUE
21,0.3,FALSE,1,TRUE
22,0.3,FALSE,1,TRUE
23,0.3,FALSE,1,TRUE
24,0.3,FALSE,1,TRUE
25,0.3,FALSE,0.974679434480896,TRUE
26,0.3,FALSE,0.6,TRUE
27,0.3,FALSE,1,TRUE
28,0.3,FALSE,0.3,FALSE
29,0.3,FALSE,0.9,TRUE
30,0.3,FALSE,0.894427190999916,FALSE
31,0.3,FALSE,0.872081599272381,TRUE
32,0.3,FALSE,1,TRUE
33,0.3,FALSE,1,TRUE
34,0.3,FALSE,1,TRUE
35,0.3,FALSE,1,TRUE
36,0.3,FALSE,0.872081599272381,FALSE
37,0.3,TRUE,1,TRUE
38,0.3,TRUE,0.9,TRUE
39,0.3,TRUE,1,TRUE
40,0.3,TRUE,0.9,TRUE
41,0.3,TRUE,1,TRUE
42,0.3,TRUE,1,TRUE
43,0.3,FALSE,1,TRUE
44,0.3,FALSE,0.66688592885535,TRUE
45,0.3,FALSE,1,TRUE
46,0.3,FALSE,1,TRUE
47,0.3,FALSE,0.7,TRUE
48,0.3,FALSE,1,TRUE
49,0.3,FALSE,1,TRUE
50,0.3,FALSE,0.974679434480896,TRUE
51,0.3,FALSE,1,TRUE
52,0.3,FALSE,0.9,FALSE
53,0.3,FALSE,0.872081599272381,TRUE
54,0.3,FALSE,0.9,TRUE
55,0.3,FALSE,1,TRUE
56,0.3,FALSE,0.9,TRUE
57,0.3,FALSE,1,TRUE
58,0.3,FALSE,1,TRUE
59,0.3,FALSE,0.974679434480896,TRUE
60,0.3,FALSE,1,TRUE
61,0.3,FALSE,0.3,TRUE
62,0.3,FALSE,-0.948683298050514,FALSE
63,0.3,FALSE,0.9,TRUE
64,0.3,FALSE,0.205195670417031,FALSE
65,0.3,FALSE,0.894427190999916,TRUE
66,0.3,FALSE,0.9,TRUE
67,0.3,FALSE,1,TRUE
68,0.3,FALSE,1,TRUE
69,0.3,FALSE,0.6,TRUE
70,0.3,FALSE,1,TRUE
71,0.3,FALSE,0.9,TRUE
72,0.3,FALSE,0.9,FALSE
73,0.3,FALSE,1,TRUE
74,0.3,FALSE,1,TRUE
75,0.3,FALSE,1,TRUE
76,0.3,FALSE,1,TRUE
77,0.3,FALSE,1,TRUE
78,0.3,FALSE,1,TRUE
79,0.3,FALSE,0.9,TRUE
80,0.3,FALSE,0.7,TRUE
81,0.3,FALSE,0.6,TRUE
82,0.3,FALSE,0.205195670417031,FALSE
83,0.3,FALSE,0.9,TRUE
84,0.3,FALSE,0.872081599272381,FALSE
85,0.3,FALSE,1,TRUE
86,0.3,FALSE,1,TRUE
87,0.3,FALSE,1,TRUE
88,0.3,FALSE,0.9,FALSE
89,0.3,FALSE,0.9,TRUE
90,0.3,FALSE,0.9,FALSE
91,0.3,TRUE,0.9,TRUE
92,0.3,TRUE,1,TRUE
93,0.3,TRUE,1,TRUE
94,0.3,TRUE,0.9,TRUE
95,0.3,TRUE,0.9,TRUE
96,0.3,TRUE,1,TRUE
97,0.3,FALSE,1,TRUE
98,0.3,FALSE,1,TRUE
99,0.3,FALSE,1,TRUE
100,0.3,FALSE,1,TRUE
101,0.3,FALSE,0.9,TRUE
102,0.3,FALSE,0.974679434480896,TRUE
103,0.3,FALSE,1,TRUE
104,0.3,FALSE,0.9,TRUE
105,0.3,FALSE,1,TRUE
106,0.3,FALSE,0.820782681668123,FALSE
107,0.3,FALSE,0.974679434480896,TRUE
108,0.3,FALSE,0.9,TRUE
