"cell","departure","m","law","d","choice","flip","wrong_first","wrong_second"
1,"linear",0.3,"normal",-0.3,"family",0.0595,0.138,0.1265
1,"linear",0.3,"normal",-0.3,"form",0.0235,0.1265,0.135
1,"linear",0.3,"normal",-0.3,"moments",0.0135,0.138,0.1385
1,"linear",0.3,"normal",-0.3,"adjust",0.0895,0.042,0.1265
1,"linear",0.3,"normal",-0.1,"family",0.0975,0.356,0.3625
1,"linear",0.3,"normal",-0.1,"form",0.0355,0.3625,0.36
1,"linear",0.3,"normal",-0.1,"moments",0.018,0.356,0.357
1,"linear",0.3,"normal",-0.1,"adjust",0.1975,0.168,0.3625
1,"linear",0.3,"normal",0.1,"family",0.099,0.3625,0.3295
1,"linear",0.3,"normal",0.1,"form",0.0355,0.3295,0.337
1,"linear",0.3,"normal",0.1,"moments",0.0195,0.3625,0.358
1,"linear",0.3,"normal",0.1,"adjust",0.245,0.5715,0.3295
1,"linear",0.3,"normal",0.3,"family",0.0525,0.1295,0.108
1,"linear",0.3,"normal",0.3,"form",0.018,0.108,0.11
1,"linear",0.3,"normal",0.3,"moments",0.0105,0.1295,0.13
1,"linear",0.3,"normal",0.3,"adjust",0.1705,0.2765,0.108
2,"threshold",0.3,"normal",-0.3,"family",0.046,0.1255,0.1315
2,"threshold",0.3,"normal",-0.3,"form",0.016,0.1315,0.1345
2,"threshold",0.3,"normal",-0.3,"moments",0.011,0.1255,0.1275
2,"threshold",0.3,"normal",-0.3,"adjust",0.0875,0.047,0.1315
2,"threshold",0.3,"normal",-0.1,"family",0.0825,0.3345,0.342
2,"threshold",0.3,"normal",-0.1,"form",0.033,0.342,0.35
2,"threshold",0.3,"normal",-0.1,"moments",0.0165,0.3345,0.339
2,"threshold",0.3,"normal",-0.1,"adjust",0.1695,0.1775,0.342
2,"threshold",0.3,"normal",0.1,"family",0.1085,0.3585,0.332
2,"threshold",0.3,"normal",0.1,"form",0.0315,0.332,0.3255
2,"threshold",0.3,"normal",0.1,"moments",0.017,0.3585,0.3595
2,"threshold",0.3,"normal",0.1,"adjust",0.24,0.564,0.332
2,"threshold",0.3,"normal",0.3,"family",0.0505,0.1225,0.102
2,"threshold",0.3,"normal",0.3,"form",0.0215,0.102,0.1055
2,"threshold",0.3,"normal",0.3,"moments",0.009,0.1225,0.1255
2,"threshold",0.3,"normal",0.3,"adjust",0.1515,0.2465,0.102
3,"interaction",0.3,"normal",-0.3,"family",0.0575,0.1215,0.116
3,"interaction",0.3,"normal",-0.3,"form",0.0255,0.116,0.1315
3,"interaction",0.3,"normal",-0.3,"moments",0.0085,0.1215,0.125
3,"interaction",0.3,"normal",-0.3,"adjust",0.094,0.024,0.116
3,"interaction",0.3,"normal",-0.1,"family",0.1115,0.3455,0.347
3,"interaction",0.3,"normal",-0.1,"form",0.047,0.347,0.37
3,"interaction",0.3,"normal",-0.1,"moments",0.02,0.3455,0.3465
3,"interaction",0.3,"normal",-0.1,"adjust",0.2075,0.1445,0.347
3,"interaction",0.3,"normal",0.1,"family",0.106,0.3295,0.3155
3,"interaction",0.3,"normal",0.1,"form",0.0385,0.3155,0.296
3,"interaction",0.3,"normal",0.1,"moments",0.0185,0.3295,0.327
3,"interaction",0.3,"normal",0.1,"adjust",0.309,0.6205,0.3155
3,"interaction",0.3,"normal",0.3,"family",0.044,0.1175,0.1025
3,"interaction",0.3,"normal",0.3,"form",0.0175,0.1025,0.095
3,"interaction",0.3,"normal",0.3,"moments",0.011,0.1175,0.1155
3,"interaction",0.3,"normal",0.3,"adjust",0.1825,0.283,0.1025
4,"quadratic",0.3,"normal",-0.3,"family",0.055,0.133,0.124
4,"quadratic",0.3,"normal",-0.3,"form",0.021,0.124,0.135
4,"quadratic",0.3,"normal",-0.3,"moments",0.0155,0.133,0.1285
4,"quadratic",0.3,"normal",-0.3,"adjust",0.0915,0.0365,0.124
4,"quadratic",0.3,"normal",-0.1,"family",0.0925,0.368,0.3665
4,"quadratic",0.3,"normal",-0.1,"form",0.0465,0.3665,0.393
4,"quadratic",0.3,"normal",-0.1,"moments",0.0215,0.368,0.3735
4,"quadratic",0.3,"normal",-0.1,"adjust",0.205,0.1655,0.3665
4,"quadratic",0.3,"normal",0.1,"family",0.0965,0.3325,0.31
4,"quadratic",0.3,"normal",0.1,"form",0.044,0.31,0.29
4,"quadratic",0.3,"normal",0.1,"moments",0.0255,0.3325,0.328
4,"quadratic",0.3,"normal",0.1,"adjust",0.26,0.558,0.31
4,"quadratic",0.3,"normal",0.3,"family",0.0455,0.11,0.1025
4,"quadratic",0.3,"normal",0.3,"form",0.018,0.1025,0.0875
4,"quadratic",0.3,"normal",0.3,"moments",0.01,0.11,0.106
4,"quadratic",0.3,"normal",0.3,"adjust",0.149,0.2505,0.1025
5,"linear",0.8,"normal",-0.3,"family",0.118,0.1685,0.1465
5,"linear",0.8,"normal",-0.3,"form",0.085,0.1465,0.1625
5,"linear",0.8,"normal",-0.3,"moments",0.034,0.1685,0.1715
5,"linear",0.8,"normal",-0.3,"adjust",0.145,0.0015,0.1465
5,"linear",0.8,"normal",-0.1,"family",0.206,0.3645,0.3655
5,"linear",0.8,"normal",-0.1,"form",0.1385,0.3655,0.379
5,"linear",0.8,"normal",-0.1,"moments",0.043,0.3645,0.3745
5,"linear",0.8,"normal",-0.1,"adjust",0.3485,0.018,0.3655
5,"linear",0.8,"normal",0.1,"family",0.2005,0.395,0.3335
5,"linear",0.8,"normal",0.1,"form",0.134,0.3335,0.3645
5,"linear",0.8,"normal",0.1,"moments",0.041,0.395,0.399
5,"linear",0.8,"normal",0.1,"adjust",0.5565,0.89,0.3335
