"cell","n","n_mod","rule","n_rep","bias","mcse","emp_sd","mean_se","coverage","cov_mcse","mean_selected","all_true_selected"
1,100,1,"all",400,-0.0113479620588709,0.0199832295131126,0.399664590262252,0.372179238338152,0.9325,0.0125442965127583,6,1
1,100,1,"oracle",400,-0.0201049736311222,0.0147906133658453,0.295812267316906,0.291663346844291,0.95,0.0108972473588517,1,1
1,100,1,"lasso",400,-0.0957758134090375,0.0144529419518598,0.289058839037195,0.280758837163382,0.94,0.0118743420870379,0.00999999999999999,0.005
1,100,1,"significance",400,-0.0320544756171223,0.0186515835510923,0.373031671021846,0.299357916106906,0.89,0.015644487847162,1.51,0.4
1,100,1,"significance_boot",400,-0.0320544756171223,0.0186515835510923,0.373031671021846,0.388279981409171,0.9675,0.00886619281315266,1.51,0.4
1,100,1,"none",400,-0.0980164500194769,0.0142803897541922,0.285607795083844,0.280655806473694,0.9425,0.0116397755562554,0,0
2,300,1,"all",400,0.00966894924717984,0.0109017903788399,0.218035807576797,0.214597490830376,0.945,0.011399013115178,6,1
2,300,1,"significance_boot",400,-0.00228322206480015,0.0102273952443054,0.204547904886109,0.213861963902415,0.9425,0.0116397755562554,1.565,0.58
2,300,1,"lasso",400,-0.0590589714836747,0.0080071479281159,0.160142958562318,0.161699150824943,0.9325,0.0125442965127583,0.015,0.005
2,300,1,"none",400,-0.0583819410594563,0.00797815615933505,0.159563123186701,0.161614451152113,0.9325,0.0125442965127583,0,0
2,300,1,"oracle",400,0.0134913589282622,0.00835551881967598,0.16711037639352,0.167974499385763,0.96,0.00979795897113272,1,1
2,300,1,"significance",400,-0.00228322206480015,0.0102273952443054,0.204547904886109,0.173590519858057,0.9,0.015,1.565,0.58
3,1000,1,"all",400,-0.00200723824364063,0.00604411403033654,0.120882280606731,0.11673286147937,0.9625,0.00949917759598166,6,1
3,1000,1,"lasso",400,-0.0732998456886656,0.00444424534165679,0.0888849068331359,0.0883687612218579,0.8525,0.0177301825991725,0.025,0.025
3,1000,1,"none",400,-0.0762604840101343,0.00429923434357859,0.0859846868715719,0.0882959814497832,0.85,0.0178535710713571,0,0
3,1000,1,"oracle",400,-0.00145261764780854,0.004539721019095,0.0907944203819,0.0916073705007984,0.9475,0.0111516534648455,1,1
3,1000,1,"significance",400,-0.00385351946398667,0.00560679833428067,0.112135966685613,0.0963661974792667,0.915,0.0139440847673843,1.9725,0.945
3,1000,1,"significance_boot",400,-0.00385351946398667,0.00560679833428067,0.112135966685613,0.116007158640643,0.9675,0.00886619281315266,1.9725,0.945
4,100,3,"all",400,0.0136699908655076,0.0189181297689837,0.378362595379674,0.355335565453543,0.93,0.0127573508221731,6,1
4,100,3,"lasso",400,-0.212171267694001,0.0143211477566842,0.286422955133683,0.273252079474754,0.8675,0.0169516776455901,0.0275,0.0025
4,100,3,"none",400,-0.216556979162587,0.0141252967746981,0.282505935493962,0.273042463691536,0.8675,0.0169516776455901,0,0
4,100,3,"oracle",400,9.72456667462027e-05,0.0167313758595265,0.33462751719053,0.309268124586119,0.92,0.0135646599662505,3,1
4,100,3,"significance",400,-0.0463385548832095,0.0175378937313397,0.350757874626793,0.290467927361183,0.895,0.0153276710559693,1.745,0.07
4,100,3,"significance_boot",400,-0.0463385548832095,0.0175378937313397,0.350757874626793,0.369616377621381,0.945,0.011399013115178,1.745,0.07
5,300,3,"lasso",400,-0.215691139753577,0.00793720329716769,0.158744065943354,0.158321808374143,0.7375,0.0219996448834976,0.0675000000000001,0.00250000000000001
5,300,3,"none",400,-0.22527431348632,0.00764970806352261,0.152994161270452,0.157887017040867,0.725,0.0223257138743647,0,0
5,300,3,"oracle",400,-0.0086073381386756,0.00894577844970734,0.178915568994147,0.177885367819569,0.9375,0.0121030729568982,3,1
5,300,3,"significance",400,-0.0417449521434558,0.0103622003728689,0.207244007457378,0.17505375931677,0.8875,0.0157990308247057,2.525,0.26
5,300,3,"all",400,-0.00733499720284366,0.0102732360072199,0.205464720144398,0.205567271976475,0.9425,0.0116397755562554,6,1
5,300,3,"significance_boot",400,-0.0417449521434558,0.0103622003728689,0.207244007457378,0.211927133854354,0.9375,0.0121030729568982,2.525,0.26
6,1000,3,"oracle",400,0.00921603555145381,0.0047539438488004,0.095078876976008,0.0972875496833251,0.955,0.0103652062208139,3,1
6,1000,3,"all",400,0.010663233915029,0.00536427050192272,0.107285410038454,0.112299607789412,0.96,0.00979795897113272,6,1
6,1000,3,"lasso",400,-0.192777244410109,0.00526473481927406,0.105294696385481,0.086869330760465,0.3325,0.0235554531902912,0.15,0.0250000000000001
6,1000,3,"significance",400,0.00499439527125373,0.00531393509704502,0.1062787019409,0.0993427236819421,0.9275,0.0129656999425407,3.4025,0.8425
6,1000,3,"none",400,-0.205279090258507,0.00425196986562422,0.0850393973124844,0.0863086770399611,0.32,0.0233238075793812,0,0
6,1000,3,"significance_boot",400,0.00499439527125373,0.00531393509704502,0.1062787019409,0.114031135157895,0.9625,0.00949917759598166,3.4025,0.8425
