"cell","net","K","spread","tau","lead_cmp_changes","lead_study_changes","mean_max_move","p90_max_move","mean_hat_vs_true","lead_hat_wrong","tau_hat_zero","ci_hi_at_cap"
1,"star",4,"equal",0,0,0,0,0,0,0,0.626,0.222
2,"loop",4,"equal",0,0,0,2.21656026866412e-16,2.22044604925031e-16,2.02893257750247e-17,0,0.651,0.211
3,"star",8,"equal",0,0,0,0,0,0,0,0.555,0
4,"loop",8,"equal",0,0,0,8.29059043638836e-17,8.32667268468867e-17,2.43138842392909e-17,0,0.561,0
5,"star",16,"equal",0,0,0,6.93889390390723e-18,6.93889390390723e-18,3.46944695195362e-19,0,0.578,0
6,"loop",16,"equal",0,0,0,5.54278845044109e-17,5.55111512312578e-17,5.03763697423665e-18,0,0.53,0
7,"star",4,"5:1",0,1,0,0.125348009809847,0.157232704402516,0.0204820006885519,0,0.647,0.333
8,"loop",4,"5:1",0,0.415,0.415,0.158789076572022,0.283380725901615,0.025753606208117,0.06,0.669,0.313
9,"star",8,"5:1",0,1,0.149,0.0945256775938038,0.122127744501339,0.0161950883668958,0.02,0.615,0
10,"loop",8,"5:1",0,0.347,0.313,0.103581550872678,0.185876949492217,0.0193551347010468,0.067,0.614,0
11,"star",16,"5:1",0,1,0.145,0.0504153924864721,0.0671343193534911,0.0094265099383553,0.023,0.578,0
12,"loop",16,"5:1",0,0.011,0.095,0.0577864784863292,0.0918481225292946,0.0116678550917621,0.031,0.56,0
13,"star",4,"equal",0.1,0,0,0,0,0,0,0.538,0.299
14,"loop",4,"equal",0.1,0,0,2.20878870749175e-16,2.22044604925031e-16,9.79216707719388e-17,0,0.553,0.305
15,"star",8,"equal",0.1,0,0,0,0,0,0,0.442,0
16,"loop",8,"equal",0.1,0,0,8.16846590367959e-17,8.32667268468867e-17,2.87270207621759e-17,0,0.418,0
17,"star",16,"equal",0.1,0,0,6.93889390390723e-18,6.93889390390723e-18,6.59194920871187e-19,0,0.325,0
18,"loop",16,"equal",0.1,0,0,5.50948175970234e-17,5.55111512312578e-17,9.22872889219661e-18,0,0.32,0
19,"star",4,"5:1",0.1,1,0,0.125856542750175,0.157232704402516,0.0328902687689143,0,0.572,0.415
20,"loop",4,"5:1",0.1,0.411,0.411,0.156611311709555,0.283380725901615,0.0403452240848095,0.113,0.552,0.425
21,"star",8,"5:1",0.1,1,0.179,0.0962749683623585,0.125836912442469,0.0278767085357799,0.053,0.478,0
22,"loop",8,"5:1",0.1,0.346,0.3,0.10306049552626,0.186743630092249,0.0303325574432633,0.105,0.498,0
23,"star",16,"5:1",0.1,1,0.158,0.054004297319395,0.0702899035926234,0.0166022037743488,0.037,0.36,0
24,"loop",16,"5:1",0.1,0.023,0.131,0.0611819612892217,0.096398765574018,0.0172736949124042,0.051,0.352,0
25,"star",4,"equal",0.25,0,0,0,0,0,0,0.348,0.538
26,"loop",4,"equal",0.25,0,0,2.11886064249711e-16,2.22044604925031e-16,4.15223411209808e-17,0,0.3,0.596
27,"star",8,"equal",0.25,0,0,0,0,0,0,0.114,0.026
28,"loop",8,"equal",0.25,0,0,7.21922521762508e-17,8.32667268468867e-17,1.56125112837913e-17,0,0.118,0.017
29,"star",16,"equal",0.25,0,0,6.93889390390723e-18,6.93889390390723e-18,1.23512311489549e-18,0,0.016,0
30,"loop",16,"equal",0.25,0,0,4.14668299697496e-17,5.55111512312578e-17,1.01516017814163e-17,0,0.025,0
31,"star",4,"5:1",0.25,0.999,0,0.122344609283375,0.157232704402516,0.0456947992493374,0,0.371,0.601
32,"loop",4,"5:1",0.25,0.377,0.377,0.1516704432127,0.283380725901615,0.0530571482873129,0.153,0.362,0.621
33,"star",8,"5:1",0.25,1,0.179,0.0927409590201382,0.128487983666865,0.0316921495743787,0.078,0.19,0.049
34,"loop",8,"5:1",0.25,0.313,0.268,0.10148664945918,0.189841555195629,0.0328727353031817,0.103,0.173,0.05
35,"star",16,"5:1",0.25,1,0.164,0.048093586149688,0.0693988938255921,0.0116223639453611,0.037,0.036,0
36,"loop",16,"5:1",0.25,0.004,0.062,0.055293587448874,0.0963953398858071,0.0147945836294518,0.01,0.053,0
