"cell","beta","xstar","b_eco","delta","estimator","median_beta_z","between_share","delta_cov","delta_mcse","fieller_cov","bounded","whole_line","exclusive","fieller_cov_bounded","median_bounded_width","median_abs_error","regret","regret_share","false_certain","brier"
1,0.3,0.5,0,-0.15,"combined",6.9261662722618,0.815282074827925,0.964,0.00416557318985035,0.9565,1,0,0,0.9565,0.5832719903934,0.0896440360873346,0.00121386195307054,0.0101434151240241,0,0.0010001518370736
1,0.3,0.5,0,-0.15,"within",2.97844428218521,0,0.9645,0.00413761706783023,0.957,0.844,0.0635,0.0925,0.961492890995261,1.82964121882685,0.253083127023391,0.0101479451481102,0.0847994453016077,0.00025,0.048681738208809
2,0.15,0.5,0,-0.075,"combined",3.46915440613468,0.815008124799714,0.9725,0.00365675744341896,0.947,0.934,0.033,0.033,0.948608137044968,1.35948572574887,0.196730732975651,0.00305742664383832,0.0510976517243254,0.000125000000000006,0.0284412762496576
2,0.15,0.5,0,-0.075,"within",1.51676482742851,0,0.9695,0.00384511053157123,0.95,0.3355,0.489,0.1755,0.929955290611028,3.05923746252699,0.507218049535477,0.0185842600907475,0.310591932462243,0.003875,0.140247697285985
3,0.05,0.5,0,-0.025,"combined",1.18130425592161,0.815122597015794,0.9955,0.00149662119455792,0.953,0.223,0.6555,0.1215,0.939461883408072,3.10785922384611,0.562715641244791,0.00789541148679033,0.39585936151761,0.003875,0.162021031493792
3,0.05,0.5,0,-0.025,"within",0.531630833603229,0,0.986,0.00262716577322407,0.946,0.0805,0.8035,0.116,0.869565217391304,3.71462285043044,0.939085772131666,0.0139914423268944,0.701501553845737,0.010875,0.249885419767943
4,0.3,1.5,0,-0.45,"combined",6.95190621695675,0.814412716472929,0.947,0.0050095408971282,0.9445,1,0,0,0.9445,0.949568389861023,0.150246316144846,0.00180340699176956,0.0721885476286218,0.000125000000000005,0.0111276174447921
4,0.3,1.5,0,-0.45,"within",3.00317382305741,0,0.931,0.00566740681440815,0.952,0.8465,0,0.1535,0.968694624926167,3.13736430946029,0.408691761169179,0.00955675550393037,0.382547202611003,0.00150000000000002,0.0950766995873524
5,0.15,1.5,0,-0.225,"combined",3.46182729903518,0.815068914156987,0.934,0.0055517564788092,0.9515,0.9435,0,0.0565,0.969793322734499,2.34763927953471,0.29519065299518,0.00297080340972629,0.23783647775244,0.00125000000000001,0.0621371022542356
5,0.15,1.5,0,-0.225,"within",1.49879317309791,0,0.89,0.00699642765988472,0.953,0.309,0.174,0.517,0.920711974110032,4.10266456719737,0.778285140913396,0.0118033169096746,0.944949541394076,0.006,0.176910480774547
6,0.05,1.5,0,-0.075,"combined",1.128543910865,0.81490221297557,0.894,0.00688345843308435,0.9475,0.204,0.4065,0.3895,0.875,3.78231219746471,0.832816094245675,0.00512706767853189,1.2313878264729,0.007,0.190043088159995
6,0.05,1.5,0,-0.075,"within",0.468024247944838,0,0.859,0.0077819984579798,0.9465,0.0845,0.7415,0.174,0.662721893491124,4.26630001501157,1.57866630628162,0.0150159579743583,3.60644114956331,0.013875,0.271639454787266
7,0.3,0.5,0.1,-0.15,"combined",8.79341562237154,0.81479993544179,0.923,0.00596116599332714,0.93,1,0,0,0.93,0.444983899144774,0.0865214618553071,0.000903005880046338,0.00754580327489055,0,7.19941929367804e-05
7,0.3,0.5,0.1,-0.15,"within",2.97829674166467,0,0.959,0.00443390347211123,0.9565,0.842,0.0655,0.0925,0.962589073634204,1.85497037581622,0.256410631352742,0.0110167205903336,0.0920592081912327,0.000375000000000003,0.0512301658212513
8,0.15,0.5,0.1,-0.075,"combined",5.32089580163167,0.815065251406763,0.9215,0.00601405645134796,0.9205,0.9995,0,5e-04,0.920460230115058,0.775483947527929,0.140284578954712,0.00130397588575364,0.0217928714009995,0,0.00591098448807877
8,0.15,0.5,0.1,-0.075,"within",1.53303242261616,0,0.9745,0.00352489361541593,0.949,0.346,0.472,0.182,0.945086705202312,3.10596021830618,0.50774959580172,0.0187950802015395,0.31411529176162,0.003375,0.139505668024312
9,0.05,0.5,0.1,-0.025,"combined",2.97450707039248,0.815356981993579,0.9465,0.00503178646208283,0.9305,0.859,0.0955,0.0455,0.924912689173457,1.60666437967596,0.257832681488534,0.00150661282322388,0.0755384049651482,5e-04,0.0446124012915128
9,0.05,0.5,0.1,-0.025,"within",0.487957775447298,0,0.991,0.00211175282644537,0.9485,0.068,0.814,0.118,0.911764705882353,3.66194223818198,0.967113978745167,0.0144356949840617,0.723775449704487,0.01475,0.256375225566899
10,0.3,1.5,0.1,-0.45,"combined",8.79653896057164,0.814981116590457,0.577,0.0110469679097932,0.681,1,0,0,0.681,0.632666019260235,0.264628093075107,0.00395154245725548,0.158176225435505,0.000125000000000002,0.00930026647177836
10,0.3,1.5,0.1,-0.45,"within",2.97232023580996,0,0.921,0.00603154209137265,0.9535,0.847,0,0.153,0.969893742621015,3.23172650340919,0.397315617327137,0.00945528843845565,0.378485579182577,0.002,0.0945024983802072
11,0.15,1.5,0.1,-0.225,"combined",5.33245223684857,0.814988926405901,0.532,0.0111574190563947,0.6945,1,0,0,0.6945,1.01616500861829,0.43214851551221,0.00555402182408819,0.444643689204268,0.004,0.0661371681437416
11,0.15,1.5,0.1,-0.225,"within",1.50792811934902,0,0.8835,0.0071738326576524,0.9515,0.3325,0.158,0.5095,0.92781954887218,4.43316394888296,0.759815140290226,0.012138458694118,0.971780310908721,0.006125,0.178116971306372
12,0.05,1.5,0.1,-0.075,"combined",2.98791378759582,0.814922247842577,0.4615,0.0111471464958526,0.6955,0.8465,0.052,0.1015,0.642055522740697,1.76937102654011,0.782118508114446,0.00611289315622685,1.46815737358526,0.023375,0.18318062216566
12,0.05,1.5,0.1,-0.075,"within",0.467532046072071,0,0.838,0.00823881059376898,0.955,0.074,0.744,0.182,0.743243243243243,4.94067024274071,1.60850520042997,0.0151538693900469,3.63956387176215,0.014125,0.274445084915747
