"rule","sensitivity","specificity","prevalence"
"ess",0.171068597242135,0.960880741918258,0.514818241699413
"ess30",0.149586737255031,0.966901846201847,0.514818241699413
"ess_pct",0.589083771484702,0.68937976863102,0.514818241699413
"cv_w",0.589083771484702,0.68937976863102,0.514818241699413
"max_w",0.190009227580214,0.956806810103688,0.514818241699413
"smd_matched",0,1,0.514818241699413
"smd_pre",0.764214961807581,0.393168750265171,0.514818241699413
"maha",0.503989169736735,0.749961899187524,0.514818241699413
"smd_unmatched",0.435203311503941,0.684770677949549,0.514818241699413
"bias_hat",0.135534072727933,0.939512750592958,0.514818241699413
