"scenario","omit","joint","overlap","n_arm","rho4","sd_target","well_specified","diagnosable","w_deploy","n","fit_rate","material","coverage","bias","transport","ess","fires_ess35","fires_bias_hat"
1,0,0,0,150,0,1,TRUE,TRUE,0.01330875,4000,1,0.22425,0.94075,-0.00338209415745792,-9.61669462275446e-05,294.472924354419,0,0
2,0,0,0,150,0,1.25,TRUE,TRUE,0.00716625,4000,1,0.51825,0.8675,-0.000135501754050879,0.000342053014942474,187.926681986961,0,0
3,0,0,0,150,0.5,1,TRUE,TRUE,0.019963125,4000,1,0.262,0.945,0.00139628830388383,0.000230530531385137,294.411068597118,0,0
4,0,0,0,150,0.5,1.25,TRUE,TRUE,0.010749375,4000,1,0.56475,0.864,0.0080959000808694,0.000374680903832809,187.526588940797,0,0.00025
5,0,0,0,400,0,1,TRUE,TRUE,0.01626625,4000,1,0.045,0.94975,0.00223487599322733,-8.57408936473297e-05,794.609825825337,0,0
6,0,0,0,400,0,1.25,TRUE,TRUE,0.00875875,4000,1,0.30625,0.90225,-0.0062618727959653,-0.000625623559173688,510.066570606944,0,0
7,0,0,0,400,0.5,1,TRUE,TRUE,0.024399375,4000,1,0.05875,0.94925,0.00133673590830664,0.00020425001544144,794.543641700922,0,0
8,0,0,0,400,0.5,1.25,TRUE,TRUE,0.013138125,4000,1,0.362,0.89825,-0.00274263592603917,-0.00030642953848171,509.577045759733,0,0
9,0,0,0.25,150,0,1,TRUE,TRUE,0.01863225,4000,1,0.2745,0.9345,0.00279499840964033,0.000179787519805183,258.294413658323,0,0.00325
10,0,0,0.25,150,0,1.25,TRUE,TRUE,0.01003275,4000,1,0.57175,0.85075,-0.00974814169535676,-0.00206972584086733,153.159863066515,0,0.005
11,0,0,0.25,150,0.5,1,TRUE,TRUE,0.027948375,4000,1,0.3085,0.935,-0.007286236833217,-0.0011066625487651,257.829798928315,0,0
12,0,0,0.25,150,0.5,1.25,TRUE,TRUE,0.015049125,4000,1,0.5915,0.8555,0.00171624088168805,-0.000748647273216664,153.8217339836,0,0
13,0,0,0.25,400,0,1,TRUE,TRUE,0.02277275,4000,1,0.069,0.947,-0.00198778390686449,-0.000509559698503321,697.645481495466,0,0
14,0,0,0.25,400,0,1.25,TRUE,TRUE,0.01226225,4000,1,0.37475,0.88225,-0.0013529220641332,-0.000537886073382114,411.302738354384,0,0
15,0,0,0.25,400,0.5,1,TRUE,TRUE,0.034159125,4000,1,0.09625,0.94375,-0.000309835044302041,-0.000229552398912404,697.901284474987,0,0
16,0,0,0.25,400,0.5,1.25,TRUE,TRUE,0.018393375,4000,1,0.42525,0.88175,0.00394551726700942,-0.000515183994499023,410.370661010957,0,0
17,0,0,0.75,150,0,1,TRUE,TRUE,0.01330875,4000,1,0.52925,0.85525,0.00351121240759567,-0.00277366104415221,92.9831616450272,0,0.259
18,0,0,0.75,150,0,1.25,TRUE,TRUE,0.00716625,4000,1,0.73,0.7245,-0.00305870822098411,-0.00581765010191392,46.4347663777486,0.16275,0.2615
19,0,0,0.75,150,0.5,1,TRUE,TRUE,0.019963125,4000,1,0.583,0.845,0.00435732520855625,-0.00193843715453649,92.1522289238843,0.00025,0
20,0,0,0.75,150,0.5,1.25,TRUE,TRUE,0.010749375,4000,1,0.75625,0.71925,-0.00940147757200646,-0.00679692422818567,46.7343161036574,0.15775,0.0015
21,0,0,0.75,400,0,1,TRUE,TRUE,0.01626625,4000,1,0.32475,0.89575,0.00409063409703426,-0.000482790913263099,252.86162673921,0,0.06475
22,0,0,0.75,400,0,1.25,TRUE,TRUE,0.00875875,4000,1,0.6095,0.7745,-0.00384043350998586,-0.00239042718292944,116.477476854657,0,0.06625
23,0,0,0.75,400,0.5,1,TRUE,TRUE,0.024399375,4000,1,0.37475,0.889,0.00108751663758968,-0.000452704906087119,254.367160859033,0,0
