"rule","sens","sens_mcse","spec"
"ess",0.317275907321944,0.000801524781890728,0.924643237076168
"ess30",0.283682632674841,0.000772337796712157,0.935102410549072
"ess_pct",0.7382752793185,0.000942829867727318,0.637363337671876
"cv_w",0.7382752793185,0.000942829867727318,0.637363337671876
"max_w",0.340858068009841,0.000902934033660508,0.919426610053267
"smd_matched",0,0,1
"smd_pre",0.822734345414719,0.000822247747871437,0.419085346606548
"maha",0.654065957772566,0.000944109436109198,0.705986443935711
"smd_unmatched",0.565572800286543,0.00108318188422941,0.623558463525384
"bias_hat",0.252808846552631,0.000850733779254148,0.888398825959718
