"rule","threshold","sens_deploy","sens_mcse","spec_deploy","spec_mcse","fires_deploy","sens_equal","spec_equal"
"ess",35,0.183493797427006,0.000473490558256009,0.963128640223575,0.000305923194123753,0.107049184861695,0.283956047804117,0.921325970560644
"ess30",30,0.160568456307259,0.000427912684143943,0.968897740447445,0.000278827325820044,0.0930686015114777,0.253791894270721,0.932097555240728
"ess_pct",0.5,0.622571477626976,0.000883432409418324,0.700793842245056,0.000778613464837043,0.45397834146875,0.685827926994392,0.629872517175248
"cv_w",1,0.622571477626976,0.000883432409418324,0.700793842245056,0.000778613464837043,0.45397834146875,0.685827926994392,0.629872517175248
"max_w",0.1,0.20388739506047,0.000552690532252421,0.959356654947812,0.000330890777429383,0.118776764270013,0.304984626950731,0.91609939026296
"smd_matched",0.1,0,0,1,0,0,0,1
"smd_pre",0.25,0.784223272391331,0.000766975270190538,0.40061268989676,0.00091913459816435,0.68785525565625,0.792575529349789,0.419343296623711
"maha",1,0.533799719644688,0.00083870147294975,0.759701692844859,0.000725404573169172,0.38077674359375,0.604905770190075,0.701046248778575
"smd_unmatched",0.1,0.449997870608173,0.000889362139589414,0.690024917933796,0.000711141666913202,0.376994120350561,0.546749589355495,0.631032624370316
"bias_hat",0.1,0.143896642980552,0.000479865048769804,0.941980714041735,0.000396503333942873,0.0991227230342301,0.239649437747591,0.891731196312686
