"method","diagnostic","auc_deploy","auc_transport","material","median_ess","coverage"
"maic_mean","ess",0.703963387170597,0.599263344365556,0.433200548859079,261.78339012083,0.729950858607166
"maic_mean","smd_pre",0.684687583217794,0.606800086793765,0.433200548859079,261.78339012083,0.729950858607166
"maic_mean","maha",0.682735356965341,0.607522935726289,0.433200548859079,261.78339012083,0.729950858607166
"maic_mean","smd_unmatched",0.601676922234737,0.624313378393194,0.433200548859079,261.78339012083,0.729950858607166
"maic_mean","bias_hat",0.6020295983002,0.640913385137641,0.433200548859079,261.78339012083,0.729950858607166
"stc","smd_pre",0.656122726557594,0.635238881506652,0.339810387187391,550,0.532921875
"stc","maha",0.655029562512798,0.636133577333126,0.339810387187391,550,0.532921875
"stc","smd_unmatched",0.60571848298556,0.619244010580888,0.339810387187391,550,0.532921875
"stc","bias_hat",0.610777385172231,0.628170961170927,0.339810387187391,550,0.532921875
"unadj","smd_pre",0.803577022272778,0.89088898639138,0.595894914218971,550,0.357267578125
"unadj","maha",0.803975633356353,0.891418782115917,0.595894914218971,550,0.357267578125
"unadj","smd_unmatched",0.801538143730818,0.891789186824198,0.595894914218971,550,0.357267578125
"unadj","bias_hat",0.798368574061746,0.87268539145259,0.595894914218971,550,0.357267578125
