"diagnostic","auc_systematic","spearman"
"ess",0.807585825027685,0.469362296282732
"ess_pct",0.818106312292359,0.494661005310383
"cv_w",0.818106312292359,0.494661005310383
"max_w",0.81312292358804,0.479250595129097
"smd_matched",0.707918050941307,0.336654229994507
"smd_pre",0.813399778516058,0.492063037905146
"maha",0.808139534883721,0.476063221021791
"smd_unmatched",0.820598006644518,0.507507782457425
"bias_hat",0.828626799557032,0.544852133308918
"orc_cross",0.84468438538206,0.764252057089703
"lambda_norm",0.783222591362126,0.450518449002014
