"topology","ipd_edge","G","M_T","truth","bias","sd","decision_error","coverage","ipd_weight"
"line","none",0.05,0.5,-0.1,-0.05,0.173205080756888,0.193238115385616,0.940404650062207,0
"line","A-B",0.05,0.5,-0.1,-0.0250000000000001,0.1802775637732,0.244037046582624,0.947798484284177,0.333333333333333
"line","B-C",0.05,0.5,-0.1,-4.16333634234434e-17,0.1802775637732,0.289549870976959,0.950004209703559,0.333333333333333
"line","C-D",0.05,0.5,-0.1,-0.0750000000000001,0.180277563773199,0.165842534028431,0.929952652555402,0.333333333333333
"line","none",0.1,0.5,-0.05,-0.1,0.173205080756888,0.193238115385616,0.91102909688831,0
"line","A-B",0.1,0.5,-0.05,-0.05,0.1802775637732,0.289549870976959,0.941146823691915,0.333333333333333
"line","B-C",0.1,0.5,-0.05,-3.46944695195361e-17,0.1802775637732,0.390755647499357,0.950004209703559,0.333333333333333
"line","C-D",0.1,0.5,-0.05,-0.15,0.180277563773199,0.133628746577194,0.867710659157538,0.333333333333333
"line","none",0.2,0.5,0.05,-0.2,0.173205080756888,0.806761884614384,0.788755895082398,0
"line","A-B",0.2,0.5,0.05,-0.1,0.1802775637732,0.609244352500643,0.914077244489916,0.333333333333333
"line","B-C",0.2,0.5,0.05,6.93889390390723e-18,0.1802775637732,0.390755647499357,0.950004209703559,0.333333333333333
"line","C-D",0.2,0.5,0.05,-0.3,0.180277563773199,0.917241070651265,0.616201565305899,0.333333333333333
"line","none",0.05,1,-0.05,-0.1,0.173205080756888,0.193238115385616,0.91102909688831,0
"line","A-B",0.05,1,-0.05,-0.0500000000000001,0.2,0.308537538725987,0.942814482329548,0.333333333333333
"line","B-C",0.05,1,-0.05,1.38777878078145e-17,0.2,0.401293674317076,0.950004209703559,0.333333333333333
"line","C-D",0.05,1,-0.05,-0.15,0.2,0.158655253931457,0.883496393149354,0.333333333333333
"line","none",0.1,1,0.05,-0.2,0.173205080756888,0.806761884614384,0.788755895082398,0
"line","A-B",0.1,1,0.05,-0.1,0.2,0.598706325682924,0.920908112245482,0.333333333333333
"line","B-C",0.1,1,0.05,2.77555756156289e-17,0.2,0.401293674317076,0.950004209703559,0.333333333333333
"line","C-D",0.1,1,0.05,-0.3,0.2,0.894350226333145,0.676971802055689,0.333333333333333
"line","none",0.2,1,0.25,-0.4,0.173205080756888,0.806761884614384,0.363384312605265,0
"line","A-B",0.2,1,0.25,-0.2,0.2,0.401293674317076,0.829934197321424,0.333333333333333
"line","B-C",0.2,1,0.25,5.55111512312578e-17,0.2,0.105649773666855,0.950004209703559,0.333333333333333
"line","C-D",0.2,1,0.25,-0.6,0.2,0.959940843136183,0.149169597865083,0.333333333333333
"star","none",0.05,0.5,-0.1,-0.05,0.1,0.0668072012688581,0.920908112245482,0
"star","A-B",0.05,0.5,-0.1,-0.05,0.1,0.0668072012688581,0.920908112245482,0
"star","A-C",0.05,0.5,-0.1,-0.05,0.1,0.0668072012688581,0.920908112245482,0
"star","A-D",0.05,0.5,-0.1,0,0.111803398874989,0.185546684761349,0.950004209703559,1
"star","none",0.1,0.5,-0.05,-0.1,0.1,0.0668072012688581,0.829934197321424,0
"star","A-B",0.1,0.5,-0.05,-0.1,0.1,0.0668072012688581,0.829934197321424,0
"star","A-C",0.1,0.5,-0.05,-0.1,0.1,0.0668072012688581,0.829934197321424,0
"star","A-D",0.1,0.5,-0.05,0,0.111803398874989,0.327360423009289,0.950004209703559,1
"star","none",0.2,0.5,0.05,-0.2,0.1,0.933192798731142,0.484009088265478,0
"star","A-B",0.2,0.5,0.05,-0.2,0.1,0.933192798731142,0.484009088265478,0
"star","A-C",0.2,0.5,0.05,-0.2,0.1,0.933192798731142,0.484009088265478,0
"star","A-D",0.2,0.5,0.05,0,0.111803398874989,0.327360423009288,0.950004209703559,1
"star","none",0.05,1,-0.05,-0.1,0.1,0.0668072012688581,0.829934197321424,0
"star","A-B",0.05,1,-0.05,-0.1,0.1,0.0668072012688581,0.829934197321424,0
"star","A-C",0.05,1,-0.05,-0.1,0.1,0.0668072012688581,0.829934197321424,0
"star","A-D",0.05,1,-0.05,0,0.14142135623731,0.361836804915882,0.950004209703559,1
"star","none",0.1,1,0.05,-0.2,0.1,0.933192798731142,0.484009088265478,0
"star","A-B",0.1,1,0.05,-0.2,0.1,0.933192798731142,0.484009088265478,0
"star","A-C",0.1,1,0.05,-0.2,0.1,0.933192798731142,0.484009088265478,0
"star","A-D",0.1,1,0.05,0,0.14142135623731,0.361836804915881,0.950004209703559,1
"star","none",0.2,1,0.25,-0.4,0.1,0.933192798731142,0.0206751616048804,0
"star","A-B",0.2,1,0.25,-0.4,0.1,0.933192798731142,0.0206751616048804,0
"star","A-C",0.2,1,0.25,-0.4,0.1,0.933192798731142,0.0206751616048804,0
"star","A-D",0.2,1,0.25,0,0.14142135623731,0.0385499358717709,0.950004209703559,1
"loop_tail","none",0.05,0.5,-0.1,-0.05,0.149071198499986,0.157152330236927,0.937020190605857,0
"loop_tail","A-B",0.05,0.5,-0.1,-0.0423076923076923,0.150213523239762,0.171725294300424,0.940868579686209,0.133333333333333
"loop_tail","B-C",0.05,0.5,-0.1,-0.0346153846153846,0.150213523239762,0.185083598063267,0.943899306364733,0.133333333333333
"loop_tail","A-C",0.05,0.5,-0.1,-0.00384615384615385,0.153589529557661,0.24947974737453,0.949932376956407,0.258064516129032
"loop_tail","C-D",0.05,0.5,-0.1,-0.075,0.159861050777091,0.136823896668033,0.924431604048216,0.428571428571429
"loop_tail","none",0.1,0.5,-0.05,-0.1,0.149071198499986,0.157152330236927,0.897073221537416,0
"loop_tail","A-B",0.1,0.5,-0.05,-0.0846153846153846,0.150213523239762,0.185083598063267,0.912935043962841,0.133333333333333
"loop_tail","B-C",0.1,0.5,-0.05,-0.0692307692307692,0.150213523239762,0.213672847504626,0.925336994061599,0.133333333333333
"loop_tail","A-C",0.1,0.5,-0.05,-0.00769230769230769,0.153589529557661,0.353597268636655,0.949716840846974,0.258064516129032
"loop_tail","C-D",0.1,0.5,-0.05,-0.15,0.159861050777091,0.105451463028305,0.844659157299959,0.428571428571429
"loop_tail","none",0.2,0.5,0.05,-0.2,0.149071198499986,0.842847669763073,0.731350105938745,0
"loop_tail","A-B",0.2,0.5,0.05,-0.169230769230769,0.150213523239762,0.786327152495374,0.796677716811611,0.133333333333333
"loop_tail","B-C",0.2,0.5,0.05,-0.138461538461538,0.150213523239762,0.722037595537776,0.848442441309517,0.133333333333333
"loop_tail","A-C",0.2,0.5,0.05,-0.0153846153846154,0.153589529557661,0.410843413597537,0.94885413034369,0.258064516129032
"loop_tail","C-D",0.2,0.5,0.05,-0.3,0.159861050777091,0.941074552489317,0.533159070577601,0.428571428571429
"loop_tail","none",0.05,1,-0.05,-0.1,0.149071198499986,0.157152330236927,0.897073221537416,0
"loop_tail","A-B",0.05,1,-0.05,-0.0875,0.152752523165195,0.184020535251477,0.911648839430054,0.111111111111111
"loop_tail","B-C",0.05,1,-0.05,-0.075,0.152752523165195,0.206588075493656,0.921961736687246,0.111111111111111
"loop_tail","A-C",0.05,1,-0.05,-0.025,0.163299316185545,0.323016795728551,0.94731520135116,0.2
"loop_tail","C-D",0.05,1,-0.05,-0.15,0.188561808316413,0.144422183173242,0.874960095922258,0.428571428571429
"loop_tail","none",0.1,1,0.05,-0.2,0.149071198499986,0.842847669763073,0.731350105938745,0
"loop_tail","A-B",0.1,1,0.05,-0.175,0.152752523165195,0.793411924506344,0.79133017717488,0.111111111111111
"loop_tail","B-C",0.1,1,0.05,-0.15,0.152752523165195,0.743654619869038,0.834337056351589,0.111111111111111
"loop_tail","A-C",0.1,1,0.05,-0.05,0.163299316185545,0.5,0.939197330544854,0.2
"loop_tail","C-D",0.1,1,0.05,-0.3,0.188561808316413,0.9075512005172,0.643747876125513,0.428571428571429
"loop_tail","none",0.2,1,0.25,-0.4,0.149071198499986,0.842847669763073,0.23475174113221,0
"loop_tail","A-B",0.2,1,0.25,-0.35,0.152752523165195,0.743654619869038,0.370202907680673,0.111111111111111
"loop_tail","B-C",0.2,1,0.25,-0.3,0.152752523165195,0.628289651152374,0.498376236503637,0.111111111111111
"loop_tail","A-C",0.2,1,0.25,-0.1,0.163299316185545,0.17916323337444,0.906060691284253,0.2
"loop_tail","C-D",0.2,1,0.25,-0.6,0.188561808316413,0.968284287355694,0.110857361784836,0.428571428571429
"two_path","none",0.05,0.5,-0.1,-0.05,0.115470053837925,0.0969654261412053,0.928262583769163,0
"two_path","A-B",0.05,0.5,-0.1,-0.0382352941176471,0.118817705157201,0.122328887548338,0.938059587879674,0.235294117647059
"two_path","B-D",0.05,0.5,-0.1,-0.0382352941176471,0.118817705157201,0.122328887548338,0.938059587879674,0.235294117647059
"two_path","A-C",0.05,0.5,-0.1,-0.0147058823529412,0.118817705157201,0.167173789231105,0.948247673772625,0.235294117647059
"two_path","C-D",0.05,0.5,-0.1,-0.0617647058823529,0.118817705157201,0.0866853086859656,0.918518406354629,0.235294117647059
"two_path","none",0.1,0.5,-0.05,-0.1,0.115470053837925,0.0969654261412053,0.860660463692164,0
"two_path","A-B",0.1,0.5,-0.05,-0.0764705882352941,0.118817705157201,0.143571817817134,0.901368203280631,0.235294117647059
"two_path","B-D",0.1,0.5,-0.05,-0.0764705882352941,0.118817705157201,0.143571817817134,0.901368203280631,0.235294117647059
"two_path","A-C",0.1,0.5,-0.05,-0.0294117647058824,0.118817705157201,0.251955232287366,0.942956035228675,0.235294117647059
"two_path","C-D",0.1,0.5,-0.05,-0.123529411764706,0.118817705157201,0.0720807993677561,0.819952342551769,0.235294117647059
"two_path","none",0.2,0.5,0.05,-0.2,0.115470053837925,0.903034573858795,0.590045903883857,0
"two_path","A-B",0.2,0.5,0.05,-0.152941176470588,0.118817705157201,0.806858849313647,0.74888258890451,0.235294117647059
"two_path","B-D",0.2,0.5,0.05,-0.152941176470588,0.118817705157201,0.806858849313647,0.74888258890451,0.235294117647059
"two_path","A-C",0.2,0.5,0.05,-0.0588235294117647,0.118817705157201,0.529598671746325,0.921486693061716,0.235294117647059
"two_path","C-D",0.2,0.5,0.05,-0.247058823529412,0.118817705157201,0.951391417285663,0.452488139542119,0.235294117647059
"two_path","none",0.05,1,-0.05,-0.1,0.115470053837925,0.0969654261412053,0.860660463692164,0
"two_path","A-B",0.05,1,-0.05,-0.08,0.126491106406735,0.152036016958434,0.903071004845771,0.2
"two_path","B-D",0.05,1,-0.05,-0.08,0.126491106406735,0.152036016958435,0.903071004845771,0.2
"two_path","A-C",0.05,1,-0.05,-0.04,0.126491106406735,0.23838336199929,0.938472180174965,0.2
"two_path","C-D",0.05,1,-0.05,-0.12,0.126491106406735,0.0894793665753497,0.842252790962419,0.2
"two_path","none",0.1,1,0.05,-0.2,0.115470053837925,0.903034573858795,0.590045903883857,0
"two_path","A-B",0.1,1,0.05,-0.16,0.126491106406735,0.807747685309865,0.755870156932414,0.2
"two_path","B-D",0.1,1,0.05,-0.16,0.126491106406735,0.807747685309865,0.755870156932414,0.2
"two_path","A-C",0.1,1,0.05,-0.08,0.126491106406735,0.593737865342316,0.903071004845771,0.2
"two_path","C-D",0.1,1,0.05,-0.24,0.126491106406735,0.933462019155851,0.524913477820078,0.2
"two_path","none",0.2,1,0.25,-0.4,0.115470053837925,0.903034573858795,0.0662775731307563,0
"two_path","A-B",0.2,1,0.25,-0.32,0.126491106406735,0.710004748072496,0.284395608644495,0.2
"two_path","B-D",0.2,1,0.25,-0.32,0.126491106406735,0.710004748072496,0.284395608644495,0.2
"two_path","A-C",0.2,1,0.25,-0.16,0.126491106406735,0.23838336199929,0.755870156932414,0.2
"two_path","C-D",0.2,1,0.25,-0.48,0.126491106406735,0.965491590998533,0.0332726115097906,0.2
