"m","against","rho","se","p_below_09"
0.3,"threshold normal",1,0.0421888551336421,0
0.3,"interaction normal",1,0.0479714110841763,0
0.3,"quadratic normal",1,0.0498742136372058,0
0.3,"linear skewed",0.9,0.197216815616238,0.62
0.8,"threshold normal",1,0,0
0.8,"interaction normal",1,0,0
0.8,"quadratic normal",1,0,0
0.8,"linear skewed",1,0.0331548824633081,0
1.2,"threshold normal",0.9,0.0488973902562227,0
1.2,"interaction normal",1,0,0
1.2,"quadratic normal",1,0,0
1.2,"linear skewed",1,0.00707106781186548,0
