"cell","departure","m","law","method","n","bias","mcse","rmse","coverage"
1,"linear",0.3,"normal","maic_means",2000,-0.000448682687941635,0.00605272858584449,0.270618943277478,0.935
1,"linear",0.3,"normal","stc_linear",2000,-0.0134611771879186,0.00569715597583688,0.255076298646305,0.937
1,"linear",0.3,"normal","stc_flexible",2000,-0.0132410294941677,0.00574503796068583,0.257202724986222,0.937
1,"linear",0.3,"normal","maic_means_sds",2000,-0.00116805109476924,0.00605746089505231,0.270832672513936,0.9345
1,"linear",0.3,"normal","unadjusted",2000,0.147041423439464,0.00576985463630379,0.296934898644017,0.893
2,"threshold",0.3,"normal","maic_means",2000,0.00128216534628566,0.0057836134355239,0.258589563800917,0.945
2,"threshold",0.3,"normal","stc_linear",2000,-0.00839343513855892,0.00551113344985083,0.246546670968505,0.9485
2,"threshold",0.3,"normal","stc_flexible",2000,-0.0107084383241928,0.00557381431498803,0.249436194809927,0.9465
2,"threshold",0.3,"normal","maic_means_sds",2000,0.000905279076076072,0.00580146838017122,0.259386262602884,0.9475
2,"threshold",0.3,"normal","unadjusted",2000,0.133766629063873,0.00555151174297523,0.281959672707398,0.9135
3,"interaction",0.3,"normal","maic_means",2000,-0.00399846337927063,0.00574537421050823,0.256907820087522,0.943
3,"interaction",0.3,"normal","stc_linear",2000,-0.0112221892853767,0.0053875450971389,0.241139370981999,0.9495
3,"interaction",0.3,"normal","stc_flexible",2000,-0.0221738660341022,0.00541435303668064,0.243090112361071,0.9465
3,"interaction",0.3,"normal","maic_means_sds",2000,-0.00454763879258077,0.00574967075347395,0.257109023279079,0.943
3,"interaction",0.3,"normal","unadjusted",2000,0.168123508861431,0.00550921555224695,0.298224872836117,0.89
4,"quadratic",0.3,"normal","unadjusted",2000,0.13801444815396,0.00546099860441551,0.280469565030398,0.9075
4,"quadratic",0.3,"normal","maic_means",2000,-0.0154366992654444,0.00571633889241403,0.256044284880036,0.9505
4,"quadratic",0.3,"normal","stc_linear",2000,-0.0184576858022552,0.00542811681131913,0.243392945558634,0.949
4,"quadratic",0.3,"normal","stc_flexible",2000,-0.031005505575421,0.00545769710105955,0.245976564355567,0.9425
4,"quadratic",0.3,"normal","maic_means_sds",2000,-0.0167328801752836,0.00571875768692332,0.256233612262263,0.9505
5,"linear",0.8,"normal","maic_means_sds",2000,0.0126251156876076,0.00739046185849751,0.330669967767647,0.9555
5,"linear",0.8,"normal","maic_means",2000,0.0136300899449103,0.00732934660092443,0.327979729896948,0.9555
5,"linear",0.8,"normal","stc_linear",2000,-0.00756624138328595,0.00605299615005544,0.270736281335638,0.957
5,"linear",0.8,"normal","stc_flexible",2000,-0.00297070860875814,0.00664235114235642,0.296995558346698,0.9545
5,"linear",0.8,"normal","unadjusted",2000,0.390079047163007,0.00533060642959773,0.457125778626878,0.6435
6,"threshold",0.8,"normal","stc_flexible",2000,-0.0276539188893239,0.00673957584938463,0.302593923611372,0.949
