"cell","k_t","b","m_t","estimand","method","n_ok","bias","mcse","coverage","truth"
1,0.5,0,0.5,"diff","maic",1000,0.0108448675504713,0.00140068343120989,0.946,-0.140820258684094
1,0.5,0,0.5,"diff","stc",1000,0.0122031068879316,0.00112894531243849,0.941,-0.140820258684094
1,0.5,0,0.5,"diff","stc_recal",1000,0.000732942924714235,0.00122078040396541,0.961,-0.140820258684094
1,0.5,0,0.5,"A","maic_A",1000,-0.041534066955063,0.000974152113244554,0.71,0.338372521547953
1,0.5,0,0.5,"A","stc_A",1000,-0.0417894516820446,0.00083162764553335,0.657,0.338372521547953
1,0.5,0,0.5,"A","stc_recal_A",1000,-0.000521563935147658,0.000924691121499194,0.943,0.338372521547953
1,0.5,0,0.5,"hr","log_hr1",1000,-0.0034228306916585,0.00429509322070868,0.96,-0.5
2,1,0,0.5,"diff","maic",1000,0.000247417029187542,0.00149174984377069,0.943,-0.129178456030575
2,1,0,0.5,"diff","stc",1000,0.000126531142081934,0.00115945679078287,0.943,-0.129178456030575
2,1,0,0.5,"diff","stc_recal",1000,0.000300658153238273,0.00114118517495164,0.95,-0.129178456030575
2,1,0,0.5,"A","maic_A",1000,8.52540986435125e-06,0.000984227537471711,0.947,0.2971652695646
2,1,0,0.5,"A","stc_A",1000,-0.000975480158464055,0.000832570740116474,0.952,0.2971652695646
2,1,0,0.5,"A","stc_recal_A",1000,-0.000939593587189216,0.000856816738524236,0.93,0.2971652695646
2,1,0,0.5,"hr","log_hr1",1000,-0.00507316798890589,0.00446696444102307,0.949,-0.5
3,2,0,0.5,"diff","maic",1000,-0.0202503080377565,0.00145411417806836,0.917,-0.109977402868211
3,2,0,0.5,"diff","stc",1000,-0.0186351649382926,0.00116376668992775,0.913,-0.109977402868211
3,2,0,0.5,"diff","stc_recal",1000,0.000938659371121635,0.000949537314929109,0.946,-0.109977402868211
3,2,0,0.5,"A","maic_A",1000,0.0609173179562824,0.00100400365719553,0.499,0.236620487261799
3,2,0,0.5,"A","stc_A",1000,0.0610366043832748,0.000878951250620577,0.367,0.236620487261799
3,2,0,0.5,"A","stc_recal_A",1000,-0.000205883991957005,0.000786492824083904,0.906,0.236620487261799
3,2,0,0.5,"hr","log_hr1",1000,-0.00322006548059414,0.00444487248757253,0.944,-0.5
4,4,0,0.5,"diff","maic",1000,-0.0445746326875454,0.00146323985721192,0.821,-0.0833707158270013
4,4,0,0.5,"diff","stc",1000,-0.0453342466247728,0.0011777872223244,0.761,-0.0833707158270013
4,4,0,0.5,"diff","stc_recal",1000,0.000933030412180734,0.00070942042682143,0.954,-0.0833707158270013
4,4,0,0.5,"A","maic_A",1000,0.132604406380255,0.000983444752112569,0.002,0.16449639894279
4,4,0,0.5,"A","stc_A",1000,0.131764940951676,0.000870495999236793,0.002,0.16449639894279
4,4,0,0.5,"A","stc_recal_A",1000,-0.000819322445425829,0.000627791824301193,0.861,0.16449639894279
4,4,0,0.5,"hr","log_hr1",1000,-0.00366315916599784,0.00445471969023976,0.947,-0.5
5,0.5,0.4,0.5,"diff","maic",1000,0.00698278077814933,0.00151883398039501,0.943,-0.0687510789923121
5,0.5,0.4,0.5,"diff","stc",1000,0.00560245420486483,0.001169275884242,0.933,-0.0687510789923121
5,0.5,0.4,0.5,"diff","stc_recal",1000,-0.000348778955575361,0.00123772467452619,0.952,-0.0687510789923121
5,0.5,0.4,0.5,"A","maic_A",1000,-0.0480820155702997,0.00105305296796582,0.687,0.410441701239735
