"cell","res","table","cens","method","bias","rmse","n"
1,"fine",6,"spread","km_ipd",-0.0278857164011312,0.517570847549434,1000
1,"fine",6,"spread","weibull_ipd",-0.0227830067726919,0.50649942696005,1000
1,"fine",6,"spread","km_recon",-0.0207145164412706,0.516927351966905,1000
1,"fine",6,"spread","weibull_recon",-0.0115400408265738,0.505874434712195,1000
1,"fine",6,"spread","curve",-0.020307714972716,0.516927359330329,1000
2,"coarse",6,"spread","km_ipd",-0.00511533012943805,0.506586590378286,1000
2,"coarse",6,"spread","weibull_ipd",0.00236294885834313,0.501206059443369,1000
2,"coarse",6,"spread","km_recon",0.00913376550597272,0.505057426474517,1000
2,"coarse",6,"spread","weibull_recon",0.0311449221237276,0.501436912222541,1000
2,"coarse",6,"spread","curve",0.031980377027284,0.506184257082188,1000
3,"fine",0,"spread","km_ipd",0.0104226427297496,0.519938859414356,1000
3,"fine",0,"spread","weibull_ipd",0.0116525425187099,0.505618100670944,1000
3,"fine",0,"spread","km_recon",0.0169993218803064,0.519779199735302,1000
3,"fine",0,"spread","weibull_recon",0.0198641450391834,0.506367252867443,1000
3,"fine",0,"spread","curve",0.017991065027284,0.519856249047797,1000
4,"coarse",0,"spread","km_ipd",-0.0249700996196443,0.512890863845655,1000
4,"coarse",0,"spread","weibull_ipd",-0.0191575619747405,0.501069089576856,1000
4,"coarse",0,"spread","km_recon",0.0147852968635812,0.512153638655249,1000
4,"coarse",0,"spread","weibull_recon",0.0400497633863542,0.50196691641537,1000
4,"coarse",0,"spread","curve",0.0124131770272836,0.511033360166389,1000
5,"fine",6,"clustered","km_ipd",-0.0154187448745228,0.53077703045069,1000
5,"fine",6,"clustered","weibull_ipd",-0.0161216044601698,0.517556957979192,1000
5,"fine",6,"clustered","km_recon",-0.0125380456891252,0.530474295320287,1000
5,"fine",6,"clustered","weibull_recon",-0.0103620738752441,0.517398240915929,1000
5,"fine",6,"clustered","curve",-0.00783513097271689,0.530305545303753,1000
6,"coarse",6,"clustered","km_ipd",-0.0138187645168596,0.53160452389758,1000
6,"coarse",6,"clustered","weibull_ipd",-0.00878608699448571,0.518418201275709,1000
6,"coarse",6,"clustered","km_recon",0.0229665843913836,0.531029842737982,1000
6,"coarse",6,"clustered","weibull_recon",0.0459990844845357,0.52003318579746,1000
6,"coarse",6,"clustered","curve",0.0234237770272838,0.530453835410042,1000
7,"fine",0,"clustered","km_ipd",0.0206384377449153,0.518018357009903,1000
7,"fine",0,"clustered","weibull_ipd",0.0157962911415082,0.500010136863457,1000
7,"fine",0,"clustered","km_recon",0.0275730257951573,0.517841384069585,1000
7,"fine",0,"clustered","weibull_recon",0.0241340312414195,0.499134882912905,1000
7,"fine",0,"clustered","curve",0.0281392490272832,0.518054809629912,1000
8,"coarse",0,"clustered","km_ipd",-0.0048627651412708,0.513051865520954,1000
8,"coarse",0,"clustered","weibull_ipd",-0.00212945025569232,0.5042396634204,1000
8,"coarse",0,"clustered","km_recon",0.0342344177265966,0.513285472060614,1000
8,"coarse",0,"clustered","weibull_recon",0.0558866984202218,0.506478912106803,1000
8,"coarse",0,"clustered","curve",0.0324609770272838,0.512579589538957,1000
