"gu","m","r","b","b_oc","b_mc","b_me","sum_marg","interaction","rel_inter","oat_max","exceeds_oat","cancel"
-1,0,1,-0.177296390598544,-0.177296390598544,0,0,-0.177296390598544,0,0,0.177296390598544,FALSE,FALSE
-0.5,0,1,-0.0927868811775936,-0.0927868811775936,0,0,-0.0927868811775936,0,0,0.0927868811775936,FALSE,FALSE
0,0,1,0,0,0,0,0,0,NA,0,FALSE,FALSE
0.5,0,1,0.0952712572998982,0.0952712572998982,0,0,0.0952712572998982,0,0,0.0952712572998982,FALSE,FALSE
1,0,1,0.188035155245214,0.188035155245214,0,0,0.188035155245214,0,0,0.188035155245214,FALSE,FALSE
-1,0.1,1,-0.0323549051653362,-0.177296390598544,0.0641714816859618,0,-0.113124908912582,0.0807700037472459,0.713989558300209,0.177296390598544,FALSE,TRUE
-0.5,0.1,1,0.013166150277155,-0.0927868811775936,0.0641714816859618,0,-0.0286153994916318,0.0417815497687868,1.46010716296326,0.0927868811775936,FALSE,TRUE
0,0.1,1,0.0641714816859618,0,0.0641714816859618,0,0.0641714816859618,0,0,0.0641714816859618,FALSE,FALSE
0.5,0.1,1,0.118021667752903,0.0952712572998982,0.0641714816859618,0,0.15944273898586,-0.0414210712329567,0.259786500761443,0.0952712572998982,TRUE,FALSE
1,0.1,1,0.171846047208222,0.188035155245214,0.0641714816859618,0,0.252206636931176,-0.0803605897229533,0.318629956375346,0.188035155245214,FALSE,FALSE
-1,0.2,1,0.101155649522343,-0.177296390598544,0.126454185409471,0,-0.0508422051890728,0.151997854711416,2.98959996219999,0.177296390598544,FALSE,TRUE
-0.5,0.2,1,0.113381197761097,-0.0927868811775936,0.126454185409471,0,0.0336673042318775,0.07971389352922,2.36769457335238,0.126454185409471,FALSE,TRUE
0,0.2,1,0.126454185409471,0,0.126454185409471,0,0.126454185409471,0,0,0.126454185409471,FALSE,FALSE
0.5,0.2,1,0.140573080061459,0.0952712572998982,0.126454185409471,0,0.221725442709369,-0.0811523626479104,0.366003836349455,0.126454185409471,TRUE,FALSE
