"cell","gu","p_t","delta","bstar","dir","q","width","n","excluded","flip","fr_grid","ff_grid","fr_prob","ff_prob","fr_none","ff_none","qba_mc_disagree"
1,0.5,0.3,-0.3,0,"zero",-1,0.05,2000,0,0,NA,0.0595,NA,0.5515,1,0,0.0195
2,1,0.3,-0.3,0,"zero",-1,0.05,2000,0,0,NA,0.0685,NA,0.567,1,0,0.018
3,0.5,0.5,-0.3,0.0948723917686763,"zero",-1,0.05,2000,1,0.1035,0.381642512077295,0.0892359174567764,0,0.713887339654211,1,0,0.0175
4,1,0.5,-0.3,0.186853393580291,"zero",-1,0.05,2000,1,0.256,0.619140625,0.14247311827957,0,0.836693548387097,1,0,0.009
5,0.5,0.7,-0.3,0.188320960547489,"zero",-1,0.05,2000,1,0.235,0.608510638297872,0.131372549019608,0,0.826143790849673,1,0,0.013
6,1,0.7,-0.3,0.372194219158153,"zero",-1,0.05,2000,1,0.6615,0.833711262282691,0.239290989660266,0.105064247921391,0.791728212703102,1,0,0.0175
7,0.5,0.3,-0.1,0,"zero",-1,0.05,2000,0,0,NA,0.1905,NA,0.869,1,0,0.012
8,1,0.3,-0.1,0,"zero",-1,0.05,2000,0,0,NA,0.2,NA,0.8665,1,0,0.0165
9,0.5,0.5,-0.1,0.0948723917686763,"zero",-1,0.05,2000,1,0.203,0.463054187192118,0.140526976160602,0,0.886449184441656,1,0,0.0075
10,1,0.5,-0.1,0.186853393580291,"zero",-1,0.05,2000,1,0.432,0.773148148148148,0.154049295774648,0,0.761443661971831,1,0,0.0115
11,0.5,0.7,-0.1,0.188320960547489,"zero",-1,0.05,2000,1,0.4145,0.728588661037395,0.171648163962425,0,0.789923142613151,1,0,0.017
12,1,0.7,-0.1,0.372194219158153,"zero",-1,0.05,2000,1,0.6525,0.945593869731801,0.0705035971223022,0.267432950191571,0.141007194244604,1,0,0.0195
13,0.5,0.3,0.1,0,"zero",-1,0.05,2000,0,0,NA,0.1885,NA,0.8695,1,0,0.0165
14,1,0.3,0.1,0,"zero",-1,0.05,2000,0,0,NA,0.1865,NA,0.874,1,0,0.0135
15,0.5,0.5,0.1,0.0948723917686763,"zero",-1,0.05,2000,1,0.165,0.545454545454545,0.062874251497006,0,0.677844311377246,1,0,0.021
16,1,0.5,0.1,0.186853393580291,"zero",-1,0.05,2000,1,0.2545,0.866404715127701,0.0315224681421865,0,0.41851106639839,1,0,0.0265
17,0.5,0.7,0.1,0.188320960547489,"zero",-1,0.05,2000,1,0.2415,0.819875776397516,0.033618984838497,0,0.427818061964403,1,0,0.021
18,1,0.7,0.1,0.372194219158153,"zero",-1,0.05,2000,1,0.282,0.985815602836879,0.00278551532033426,0.436170212765957,0.00417827298050139,1,0,0.0125
1,0.5,0.3,-0.3,0,"symmetric",0,0.05,2000,0,0,NA,0.0595,NA,0.5515,1,0,0.0195
2,1,0.3,-0.3,0,"symmetric",0,0.05,2000,0,0,NA,0.0685,NA,0.567,1,0,0.0215
3,0.5,0.5,-0.3,0.0948723917686763,"symmetric",0,0.05,2000,0,0.1035,0,0.0278862242052426,0,0.507529280535415,1,0,0.016
4,1,0.5,-0.3,0.186853393580291,"symmetric",0,0.05,2000,0,0.256,0,0.0369623655913979,0,0.395833333333333,1,0,0.026
5,0.5,0.7,-0.3,0.188320960547489,"symmetric",0,0.05,2000,0,0.235,0,0.0431372549019608,0,0.409803921568627,1,0,0.024
6,1,0.7,-0.3,0.372194219158153,"symmetric",0,0.05,2000,0,0.6615,0,0.06794682422452,0,0.165435745937962,1,0,0
7,0.5,0.3,-0.1,0,"symmetric",0,0.05,2000,0,0,NA,0.1905,NA,0.869,1,0,0.0155
8,1,0.3,-0.1,0,"symmetric",0,0.05,2000,0,0,NA,0.2,NA,0.8665,1,0,0.016
9,0.5,0.5,-0.1,0.0948723917686763,"symmetric",0,0.05,2000,0,0.203,0,0.104767879548306,0,0.821831869510665,1,0,0.014
10,1,0.5,-0.1,0.186853393580291,"symmetric",0,0.05,2000,0,0.432,0,0.153169014084507,0,0.801056338028169,1,0,0.009
