"dir","q","width","n","excluded","flip","fr_grid","ff_grid","fr_prob","ff_prob","fr_none","ff_none","qba_mc_disagree"
"symmetric",0,0.05,24000,0,0.325083333333333,0,0.106494628966539,0,0.679157920730954,1,0,0.0125416666666667
"symmetric",0,0.15,24000,0,0.325083333333333,0,0.329485121619953,0,0.732868255340165,1,0,0.0115
"symmetric",0,0.3,24000,0,0.325083333333333,0,0.678293616495864,0,0.854364736387208,1,0,0.0111666666666667
"symmetric",0.1,0.05,24000,0.10325,0.325083333333333,0.00307613432453217,0.108284973453513,0,0.674095567353994,1,0,0.0122916666666667
"symmetric",0.1,0.15,24000,0.100625,0.325083333333333,0.00820302486541912,0.33275713050994,0,0.709840721076676,1,0,0.013
"symmetric",0.1,0.3,24000,0.101791666666667,0.325083333333333,0.0183286336836709,0.609581429806149,0.0024352730069213,0.7689838251636,1,0,0.00975
"symmetric",0.3,0.05,24000,0.304875,0.325083333333333,0.0169187387849269,0.118780096308186,0,0.673601679219657,1,0,0.0134583333333333
"symmetric",0.3,0.15,24000,0.300416666666667,0.325083333333333,0.0478082542937708,0.352203975799481,0.00256344527044348,0.672490430917397,1,0,0.0110416666666667
"symmetric",0.3,0.3,24000,0.2985,0.325083333333333,0.0836964880799795,0.577725645141375,0.0407587798000513,0.703728855414249,1,0,0.00916666666666667
"understated",0,0.05,24000,0,0.325083333333333,0,0.106494628966539,0,0.679157920730954,1,0,0.0125833333333333
"understated",0,0.15,24000,0,0.325083333333333,0,0.329485121619953,0,0.732868255340165,1,0,0.01325
"understated",0,0.3,24000,0,0.325083333333333,0,0.678293616495864,0,0.854364736387208,1,0,0.0105833333333333
"understated",0.1,0.05,24000,0.100208333333333,0.325083333333333,0.00640861317610869,0.0573527595999506,0,0.6922459562909,1,0,0.012125
"understated",0.1,0.15,24000,0.0982916666666667,0.325083333333333,0.0202512176365035,0.279478948018274,0,0.747808371403877,1,0,0.0150833333333333
"understated",0.1,0.3,24000,0.101541666666667,0.325083333333333,0.0379389900025634,0.645511791579207,0.00820302486541912,0.833189282627485,1,0,0.0114583333333333
"understated",0.3,0.05,24000,0.299083333333333,0.325083333333333,0.0402460907459626,0.0478454130139523,0,0.696197061365601,1,0,0.013
"understated",0.3,0.15,24000,0.302583333333333,0.325083333333333,0.101768777236606,0.282936164958637,0.00589592412202,0.726571181627361,1,0,0.0139166666666667
"understated",0.3,0.3,24000,0.295708333333333,0.325083333333333,0.16688028710587,0.601926163723916,0.0808766982824917,0.762439807383628,1,0,0.01325
"zero",-1,0.05,24000,1,0.325083333333333,0.775698538836196,0.0982220027163847,0.0940784414252756,0.619644400543277,1,0,0.016125
"zero",-1,0.15,24000,0.75,0.325083333333333,0.369648807997949,0.288307198419558,0.0563957959497565,0.666995925422892,1,0,0.015125
"zero",-1,0.3,24000,0.25,0.325083333333333,0.0915149961548321,0.617792320039511,0,0.789727126805779,1,0,0.0130833333333333
