"cell","gu","p_t","delta","bstar","oracle_cover"
1,0.5,0.3,-0.3,0,0.9505
2,1,0.3,-0.3,0,0.956
3,0.5,0.5,-0.3,0.0948723917686763,0.9575
4,1,0.5,-0.3,0.186853393580291,0.952
5,0.5,0.7,-0.3,0.188320960547489,0.958
6,1,0.7,-0.3,0.372194219158153,0.9525
7,0.5,0.3,-0.1,0,0.9565
8,1,0.3,-0.1,0,0.954
9,0.5,0.5,-0.1,0.0948723917686763,0.9525
10,1,0.5,-0.1,0.186853393580291,0.9575
11,0.5,0.7,-0.1,0.188320960547489,0.959
12,1,0.7,-0.1,0.372194219158153,0.961
13,0.5,0.3,0.1,0,0.9515
14,1,0.3,0.1,0,0.957
15,0.5,0.5,0.1,0.0948723917686763,0.9575
16,1,0.5,0.1,0.186853393580291,0.957
17,0.5,0.7,0.1,0.188320960547489,0.9535
18,1,0.7,0.1,0.372194219158153,0.9515
