"cell","eta","overlap","drift","K","bias_exch","mcse_exch","cov_exch","adj_possible","bias_adj","cov_adj"
1,0,0,0,5,-0.00225170895286003,0.00476762697330783,0.902,0,NA,NA
2,0.2,0,0,5,0.209466477428313,0.00490220734791183,0.7785,0,NA,NA
3,0.5,0,0,5,0.502656181914398,0.00477348561565912,0.337,0,NA,NA
4,0,0.25,0,5,0.000160011484391126,0.00463974075132183,0.923,0.946,0.00186251950306893,0.916490486257928
5,0.2,0.25,0,5,0.103808935467154,0.00501958592107579,0.8785,0.945,0.00219844934244393,0.910582010582011
6,0.5,0.25,0,5,0.244898793982764,0.00560910004741631,0.784,0.9505,-0.00293952599902628,0.91109942135718
7,0,0,0.2,5,0.200984935893931,0.00482388468435947,0.7955,0,NA,NA
8,0.2,0,0.2,5,0.402342428030635,0.00470159284677407,0.5035,0,NA,NA
9,0.5,0,0.2,5,0.709598423256398,0.00483679362538311,0.0925,0,NA,NA
10,0,0.25,0.2,5,0.199590062591741,0.00475755254896756,0.809,0.9435,0.201097811086563,0.832538420773715
11,0.2,0.25,0.2,5,0.299953939260906,0.00488868422591099,0.675,0.9515,0.195717385029044,0.818707304256437
12,0.5,0.25,0.2,5,0.455874303021073,0.00556359547653987,0.5285,0.947,0.203482526428644,0.823653643083421
13,0,0,0,10,-0.00260233795040704,0.00336362439626393,0.936,0,NA,NA
14,0.2,0,0,10,0.207396567234616,0.00341195447375878,0.69,0,NA,NA
15,0.5,0,0,10,0.499617246167904,0.00339265565476256,0.084,0,NA,NA
16,0,0.25,0,10,0.000379043884182473,0.00333800706447866,0.93,0.997,0.00433526820730948,0.921765295887663
17,0.2,0.25,0,10,0.0963385266876756,0.00354576603084123,0.877,0.996,-0.000160842022746216,0.928714859437751
18,0.5,0.25,0,10,0.254340547354939,0.0039537855566081,0.6745,0.9965,-0.000140220012586623,0.933768188660311
19,0,0,0.2,10,0.203769163732034,0.00335657565916368,0.7055,0,NA,NA
20,0.2,0,0.2,10,0.394612108868167,0.00330578848572312,0.2415,0,NA,NA
21,0.5,0,0.2,10,0.711899129938137,0.00334855771198427,0.002,0,NA,NA
22,0,0.25,0.2,10,0.197566327045404,0.00338208989022575,0.7085,0.9975,0.199068766243476,0.779448621553885
23,0.2,0.25,0.2,10,0.297811443263817,0.00341678772812948,0.497,0.997,0.191222670960473,0.791875626880642
24,0.5,0.25,0.2,10,0.450769019362751,0.00397038774849887,0.289,0.998,0.203726268190645,0.770040080160321
