"cell","shift","index","tau_s","mult","unit","connected","n_adm","n_adm_given","bias","mcse","rmse","coverage","reversal","excludes_truth"
1,0,"all",0,1,0.10395860395227,0.455,0.628,1.38021978021978,-0.000708572333894445,0.00411351611365421,0.124023000059149,0.958241758241758,0.0571428571428571,0.0417582417582418
1,0,"all",0,2,0.10395860395227,0.9755,4.2475,4.3541773449513,-0.00223476903605277,0.00226911879253301,0.100226490396332,0.935417734495131,0.0184520758585341,0.0645822655048693
1,0,"all",0,3,0.10395860395227,1,11.419,11.419,-0.00245640319068058,0.00192959588170964,0.0863075379662174,0.9195,0.0085,0.0805
1,0,"all",0,5,0.10395860395227,1,27.357,27.357,-0.00120089322684707,0.00211833446889592,0.094718723850384,0.849,0.013,0.151
1,0,"all",0,7,0.10395860395227,1,34.4935,34.4935,-0.00225956325204751,0.00241599632666218,0.108043255637406,0.796,0.0285,0.204
1,0,"all",0,10,0.10395860395227,1,35.9715,35.9715,-0.00237034950938967,0.0025509232533517,0.114076861090815,0.764,0.0405,0.236
1,0,"all",0,15,0.10395860395227,1,36,36,-0.00235169288263069,0.00255756756421252,0.114373480311621,0.763,0.0405,0.237
1,0,"all",0,20,0.10395860395227,1,36,36,-0.00235169288263069,0.00255756756421252,0.114373480311621,0.763,0.0405,0.237
2,0.5,"all",0,1,0.10395860395227,0.081,0.0935000000000001,1.15432098765432,-0.0281520126894147,0.0101451730654043,0.131770202243575,0.944444444444444,0.037037037037037,0.0555555555555556
2,0.5,"all",0,2,0.10395860395227,0.4385,0.806,1.83808437856328,-0.0606504560193457,0.00447222368999229,0.145599331185793,0.88939566704675,0.0216647662485747,0.11060433295325
2,0.5,"all",0,3,0.10395860395227,0.785,2.658,3.3859872611465,-0.125819122402187,0.00311003063433694,0.176085988737143,0.722929936305732,0.00509554140127389,0.277070063694268
2,0.5,"all",0,5,0.10395860395227,0.997,11.6185,11.6534603811434,-0.248277636043275,0.00238842893832976,0.270205547679142,0.165997993981946,0,0.834002006018054
2,0.5,"all",0,7,0.10395860395227,1,24.194,24.194,-0.351017297076677,0.00227700169068771,0.365482464024071,0.0205,0,0.9795
2,0.5,"all",0,10,0.10395860395227,1,34.598,34.598,-0.436749980357232,0.00251519485461417,0.450995154575125,0.0025,0,0.9975
2,0.5,"all",0,15,0.10395860395227,1,35.999,35.999,-0.453328929721142,0.00267417435722784,0.468830869610068,0.0025,0,0.9975
2,0.5,"all",0,20,0.10395860395227,1,36,36,-0.453354691550985,0.00267550215721739,0.468870922137474,0.0025,0,0.9975
3,0,"omits_x1",0,1,0.0966480226732563,0.803,1.7745,2.20983810709838,-0.00128552884568475,0.00499028251263349,0.1999270828868,0.721046077210461,0.142590286425903,0.278953922789539
3,0,"omits_x1",0,2,0.0966480226732563,0.9945,6.3925,6.42785319255907,-0.000821875945768522,0.00331528942362193,0.147821073184037,0.745098039215686,0.081447963800905,0.254901960784314
3,0,"omits_x1",0,3,0.0966480226732563,1,12.718,12.718,-0.00150310124273571,0.00280267572871876,0.125317144887697,0.7705,0.0595,0.2295
3,0,"omits_x1",0,5,0.0966480226732563,1,25.35,25.35,-0.00302057218377046,0.00252061641367332,0.112737680297987,0.7825,0.0415,0.2175
3,0,"omits_x1",0,7,0.0966480226732563,1,32.72,32.72,-0.002929068663557,0.00252444908973222,0.112906567627082,0.774,0.042,0.226
3,0,"omits_x1",0,10,0.0966480226732563,1,35.7415,35.7415,-0.00373456182051276,0.00258437187469172,0.115608061775119,0.761,0.043,0.239
3,0,"omits_x1",0,15,0.0966480226732563,1,35.9985,35.9985,-0.00372348653124736,0.00260128886516476,0.11636367632663,0.7585,0.0455,0.2415
3,0,"omits_x1",0,20,0.0966480226732563,1,36,36,-0.00373127874613031,0.00260129734621905,0.116364304922474,0.7585,0.0455,0.2415
4,0.5,"omits_x1",0,1,0.0966480226732563,0.3545,0.4885,1.37799717912553,-0.253716729418598,0.00909909096277298,0.350699224238994,0.445698166431594,0.0338504936530324,0.554301833568406
4,0.5,"omits_x1",0,2,0.0966480226732563,0.743,2.0205,2.71938088829071,-0.266421264936096,0.00528721761708402,0.335399725035365,0.36742934051144,0.0134589502018843,0.63257065948856
4,0.5,"omits_x1",0,3,0.0966480226732563,0.9135,4.5205,4.94854953475643,-0.291609027595055,0.00428449478267466,0.344318916465572,0.263820470717022,0.00492610837438424,0.736179529282978
4,0.5,"omits_x1",0,5,0.0966480226732563,0.996,12.442,12.4919678714859,-0.337133392882182,0.00317604918479229,0.3657085121362,0.0953815261044177,0.000502008032128514,0.904618473895582
4,0.5,"omits_x1",0,7,0.0966480226732563,1,22.035,22.035,-0.380728374565481,0.00275762947225931,0.400194366891281,0.0225,0,0.9775
4,0.5,"omits_x1",0,10,0.0966480226732563,1,32.3405,32.3405,-0.425477826687324,0.00260031134959432,0.441075795768836,0.0045,0,0.9955
4,0.5,"omits_x1",0,15,0.0966480226732563,1,35.932,35.932,-0.445767050534024,0.00263051529154902,0.461021219825347,0.0025,0,0.9975
4,0.5,"omits_x1",0,20,0.0966480226732563,1,36,36,-0.446404777788305,0.00263724067578917,0.46171457347361,0.0025,0,0.9975
5,0,"all",0.1,1,0.10395860395227,0.456,0.6285,1.37828947368421,-0.0201941431334534,0.00612260483406769,0.18589731995143,0.803728070175439,0.116228070175439,0.196271929824561
5,0,"all",0.1,2,0.10395860395227,0.9785,4.3025,4.39703628002044,0.00516170341849607,0.0031295320095169,0.138505052879035,0.825753704649974,0.0700051098620337,0.174246295350026
5,0,"all",0.1,3,0.10395860395227,1,11.5215,11.5215,0.00161846342761801,0.00249267485189016,0.111459687019301,0.824,0.0335,0.176
5,0,"all",0.1,5,0.10395860395227,1,27.287,27.287,0.00165142941324264,0.00252870914304359,0.113071095817637,0.7765,0.041,0.2235
5,0,"all",0.1,7,0.10395860395227,1,34.484,34.484,-0.000167821518956627,0.00279079434510884,0.12477702426476,0.721,0.059,0.279
5,0,"all",0.1,10,0.10395860395227,1,35.9735,35.9735,-0.00103391548516714,0.0029104411054243,0.130130446745138,0.709,0.064,0.291
5,0,"all",0.1,15,0.10395860395227,1,36,36,-0.00105494907391026,0.00291847104031838,0.130489623613104,0.7095,0.0645,0.2905
5,0,"all",0.1,20,0.10395860395227,1,36,36,-0.00105494907391026,0.00291847104031838,0.130489623613104,0.7095,0.0645,0.2905
6,0.5,"all",0.1,1,0.10395860395227,0.0875,0.096,1.09714285714286,-0.0270411144791635,0.0142090244069169,0.189370512625492,0.84,0.108571428571429,0.16
6,0.5,"all",0.1,2,0.10395860395227,0.476,0.8305,1.74474789915966,-0.0697023464232525,0.00589181164017232,0.194604477657676,0.779411764705882,0.0714285714285714,0.220588235294118
6,0.5,"all",0.1,3,0.10395860395227,0.8095,2.798,3.45645460160593,-0.130474809577886,0.00413272835730732,0.211324905775463,0.62816553428042,0.0253242742433601,0.37183446571958
6,0.5,"all",0.1,5,0.10395860395227,0.9965,11.905,11.9468138484696,-0.250716093986578,0.00291051821539594,0.282370365686508,0.207727044656297,0.00100351229302559,0.792272955343703
6,0.5,"all",0.1,7,0.10395860395227,1,24.5095,24.5095,-0.352995716281673,0.00261607389386968,0.37186935489089,0.035,0,0.965
6,0.5,"all",0.1,10,0.10395860395227,1,34.6615,34.6615,-0.437611231879369,0.00272306494397489,0.454231593531868,0.008,0,0.992
6,0.5,"all",0.1,15,0.10395860395227,1,35.9975,35.9975,-0.453170433679935,0.00285529916753954,0.47080861918685,0.007,0,0.993
6,0.5,"all",0.1,20,0.10395860395227,1,36,36,-0.453228759972041,0.00285789476472864,0.470896237270839,0.007,0,0.993
7,0,"omits_x1",0.1,1,0.0966480226732563,0.8125,1.729,2.128,0.00103499695207059,0.00594504212998481,0.239580794982855,0.660923076923077,0.198769230769231,0.339076923076923
7,0,"omits_x1",0.1,2,0.0966480226732563,0.9945,6.386,6.42131724484666,-0.0006635664334563,0.00386274708939508,0.172229558127379,0.671694318753142,0.115133232780292,0.328305681246858
7,0,"omits_x1",0.1,3,0.0966480226732563,1,12.758,12.758,0.000686965589011323,0.00316436533440589,0.141481004565738,0.704,0.0885,0.296
7,0,"omits_x1",0.1,5,0.0966480226732563,1,25.278,25.278,-0.000280667284051241,0.00286977114567336,0.128308285175878,0.725,0.065,0.275
7,0,"omits_x1",0.1,7,0.0966480226732563,1,32.5595,32.5595,-0.00088704484303922,0.00283329371633395,0.126680171539612,0.723,0.06,0.277
7,0,"omits_x1",0.1,10,0.0966480226732563,1,35.7125,35.7125,-0.000732539831062584,0.00288141848715948,0.128830815562096,0.712,0.0625,0.288
7,0,"omits_x1",0.1,15,0.0966480226732563,1,35.999,35.999,-0.000730316448221555,0.00289264123704861,0.129332566051001,0.708,0.0615,0.292
7,0,"omits_x1",0.1,20,0.0966480226732563,1,36,36,-0.00071862936744157,0.00289272944630321,0.129336444374885,0.708,0.0615,0.292
8,0.5,"omits_x1",0.1,1,0.0966480226732563,0.353,0.4825,1.36685552407932,-0.265746906447627,0.0107908062159219,0.390784691272747,0.439093484419263,0.0524079320113314,0.560906515580737
8,0.5,"omits_x1",0.1,2,0.0966480226732563,0.7235,2.012,2.78092605390463,-0.28143950489171,0.00639914731224199,0.372049155002223,0.342087076710435,0.0304077401520387,0.657912923289565
8,0.5,"omits_x1",0.1,3,0.0966480226732563,0.901,4.523,5.01997780244173,-0.304371302794226,0.00503109050605308,0.371791031172767,0.262486126526082,0.0155382907880133,0.737513873473918
8,0.5,"omits_x1",0.1,5,0.0966480226732563,0.995,12.493,12.5557788944724,-0.348480728210539,0.00366837634629872,0.384973714862608,0.104522613065327,0,0.895477386934673
8,0.5,"omits_x1",0.1,7,0.0966480226732563,1,22.125,22.125,-0.390662081305387,0.00313714248142531,0.41507872265925,0.0325,0,0.9675
8,0.5,"omits_x1",0.1,10,0.0966480226732563,1,32.2735,32.2735,-0.432199970492585,0.00296971041262957,0.452135328395844,0.011,0,0.989
8,0.5,"omits_x1",0.1,15,0.0966480226732563,1,35.9345,35.9345,-0.452728656361497,0.00301175349836524,0.472329846507271,0.008,0,0.992
8,0.5,"omits_x1",0.1,20,0.0966480226732563,1,36,36,-0.453370324970824,0.00302003488199027,0.473050475457258,0.008,0,0.992
