"cell","sep","beta","position","sizes","sets","true_reversal","p_reversal","p_rev_mcse","corr","p_pred_corr","p_pred_indep"
1,0.5,0.2,"between","equal","common",TRUE,0.23,0.0133078923951165,0.850674153944999,0.23990223449178,0.519124586592691
2,1,0.2,"between","equal","common",TRUE,0.412,0.0155645751628498,0.499408063722762,0.410441422656631,0.545183054353525
3,1.5,0.2,"between","equal","common",TRUE,0.485,0.0158042715744826,0.226277292317369,0.479076949488365,0.540891259985207
4,0.5,0.4,"between","equal","common",TRUE,0.397,0.0154722655096143,0.826902490583554,0.386769703456918,0.568967957530253
5,1,0.4,"between","equal","common",TRUE,0.556,0.0157119063133663,0.513597165388174,0.568708611849851,0.646746730370858
6,1.5,0.4,"between","equal","common",TRUE,0.619,0.0153570504980611,0.16285568102192,0.631663608796679,0.657222159728871
7,0.5,0.6,"between","equal","common",TRUE,0.559,0.0157009235397157,0.809907089612538,0.550654133214469,0.647410898717561
8,1,0.6,"between","equal","common",TRUE,0.722,0.0141674274305535,0.512405717325024,0.724283049706951,0.757183552663429
9,1.5,0.6,"between","equal","common",TRUE,0.738,0.0139052508067996,0.227615459998012,0.747599855593914,0.765047277311572
10,0.5,0.2,"at_A","equal","common",TRUE,0.232,0.0133482583133531,0.843647607264551,0.237090909556247,0.501457652984698
11,1,0.2,"at_A","equal","common",TRUE,0.387,0.015402305022301,0.450797257672988,0.39259661867302,0.496036800928096
12,1.5,0.2,"at_A","equal","common",TRUE,0.461,0.0157632166768081,0.21363592743257,0.447967423518264,0.498084316087596
13,0.5,0.4,"at_A","equal","common",TRUE,0.357,0.0151509405648626,0.819114881448956,0.360003901918652,0.502922499174778
14,1,0.4,"at_A","equal","common",TRUE,0.475,0.0157916116973538,0.482850123034307,0.457833208221765,0.50027940648792
15,1.5,0.4,"at_A","equal","common",TRUE,0.481,0.0157999683543987,0.194078584148178,0.467797290783947,0.485017680472859
16,0.5,0.6,"at_A","equal","common",TRUE,0.428,0.0156465970741245,0.833529779990273,0.438577725730251,0.510779093307
17,1,0.6,"at_A","equal","common",TRUE,0.478,0.0157960754619621,0.447784092966969,0.484781355325627,0.493461331250343
18,1.5,0.6,"at_A","equal","common",TRUE,0.507,0.0158098387088547,0.143302711727249,0.49989654603458,0.502041155918518
19,0.5,0.2,"outside","equal","common",FALSE,0.195,0.0125289664378192,0.85093135527276,0.198813276147585,0.383235577392798
20,1,0.2,"outside","equal","common",FALSE,0.295,0.0144213383567546,0.525948155842719,0.299251739982897,0.387196373192074
21,1.5,0.2,"outside","equal","common",FALSE,0.365,0.0152241584332271,0.26290882142932,0.367127256022476,0.418437178477425
22,0.5,0.4,"outside","equal","common",FALSE,0.136,0.0108399261990108,0.830133197576575,0.131505319275363,0.161986355935347
23,1,0.4,"outside","equal","common",FALSE,0.228,0.0132671021704063,0.499509111449696,0.226875514681026,0.237372352825206
24,1.5,0.4,"outside","equal","common",FALSE,0.29,0.0143492160064583,0.220446699803884,0.303046127224186,0.315006322262526
25,0.5,0.6,"outside","equal","common",FALSE,0.077,0.00843036179532053,0.823068192384949,0.0669338345754603,0.0699814501459731
26,1,0.6,"outside","equal","common",FALSE,0.119,0.0102390917565964,0.482473658701436,0.119891425685926,0.120866137629937
27,1.5,0.6,"outside","equal","common",FALSE,0.201,0.0126727660753286,0.204863299753543,0.218135790799623,0.219120725639257
28,0.5,0.2,"between","3to1","common",TRUE,0.229,0.0132875505643441,0.842292899541787,0.232089383770412,0.515221153853783
29,1,0.2,"between","3to1","common",TRUE,0.356,0.0151414662433993,0.517733171063369,0.391576793589732,0.536870968336239
30,1.5,0.2,"between","3to1","common",TRUE,0.45,0.0157321327225523,0.288563442908584,0.460022799631139,0.539869902023484
31,0.5,0.4,"between","3to1","common",TRUE,0.32,0.0147512711316686,0.840403519141234,0.339725106642105,0.552681975791932
32,1,0.4,"between","3to1","common",TRUE,0.524,0.0157931630777371,0.524745306988501,0.527016509397072,0.620642365337656
33,1.5,0.4,"between","3to1","common",TRUE,0.582,0.0155973074599432,0.254588110616736,0.579099487545205,0.627060816703709
34,0.5,0.6,"between","3to1","common",TRUE,0.481,0.0157999683543987,0.811403022551121,0.486256512181201,0.613952529915707
35,1,0.6,"between","3to1","common",TRUE,0.653,0.0150529399121899,0.510662763976825,0.661190855129831,0.71154974436043
36,1.5,0.6,"between","3to1","common",TRUE,0.691,0.0146122893483533,0.206309412774008,0.690693560908358,0.715018749657569
37,0.5,0.2,"at_A","3to1","common",TRUE,0.22,0.0130996183150503,0.845990067186582,0.234934834627905,0.503414522801623
38,1,0.2,"at_A","3to1","common",TRUE,0.411,0.0155588881350821,0.469388834378187,0.396580842205709,0.5031911787426
39,1.5,0.2,"at_A","3to1","common",TRUE,0.439,0.0156932788161047,0.264502830830157,0.442863612214988,0.498786101209562
40,0.5,0.4,"at_A","3to1","common",TRUE,0.32,0.0147512711316686,0.840520831237247,0.318993993299308,0.49463706784317
41,1,0.4,"at_A","3to1","common",TRUE,0.442,0.0157046489932122,0.498823708242589,0.444875370308846,0.490476218946571
42,1.5,0.4,"at_A","3to1","common",TRUE,0.45,0.0157321327225523,0.248853466706238,0.45744839461109,0.474793199726992
43,0.5,0.6,"at_A","3to1","common",TRUE,0.401,0.0154983547513922,0.824981356666339,0.398604481551152,0.491030049736648
44,1,0.6,"at_A","3to1","common",TRUE,0.499,0.0158113566780337,0.537373378549135,0.50504149710343,0.51474270706085
45,1.5,0.6,"at_A","3to1","common",TRUE,0.5,0.0158113883008419,0.248598945860856,0.483737123911779,0.487107494691199
46,0.5,0.2,"outside","3to1","common",FALSE,0.178,0.0120961150788177,0.841593079883818,0.18270563322635,0.404245005753143
47,1,0.2,"outside","3to1","common",FALSE,0.301,0.0145051370210695,0.565903452176617,0.282028383046183,0.412707373478635
48,1.5,0.2,"outside","3to1","common",FALSE,0.392,0.015438134602341,0.211904989135699,0.396158956137674,0.448229352446217
49,0.5,0.4,"outside","3to1","common",FALSE,0.148,0.0112292475259921,0.829251624612209,0.139042482535192,0.211917502460882
50,1,0.4,"outside","3to1","common",FALSE,0.2,0.0126491106406735,0.471212364685401,0.203798413708089,0.231485339672828
51,1.5,0.4,"outside","3to1","common",FALSE,0.278,0.0141674274305535,0.224824855483321,0.27687404967449,0.293173111008727
52,0.5,0.6,"outside","3to1","common",FALSE,0.098,0.00940191469861326,0.833406083716227,0.0909089018006602,0.104484226822619
53,1,0.6,"outside","3to1","common",FALSE,0.12,0.0102761860629321,0.507612996257952,0.122970869200338,0.129350431826949
54,1.5,0.6,"outside","3to1","common",FALSE,0.219,0.0130781879478772,0.220804450530447,0.205265620536364,0.210872610976381
55,0.5,0.2,"between","equal","differing",TRUE,0.128,0.0105648473723003,0.924712891767874,0.121140865030849,0.483473719748048
56,1,0.2,"between","equal","differing",TRUE,0.239,0.0134862522592453,0.690411615393598,0.241824067373495,0.458869305196447
57,1.5,0.2,"between","equal","differing",TRUE,0.312,0.0146511433000978,0.471867253480713,0.314346928637251,0.436925365990218
58,0.5,0.4,"between","equal","differing",TRUE,0.114,0.0100500746265886,0.926844642482746,0.111928528488602,0.443981722645012
59,1,0.4,"between","equal","differing",TRUE,0.184,0.0122533260790693,0.729424181031358,0.182811582954592,0.34773542219136
60,1.5,0.4,"between","equal","differing",TRUE,0.242,0.0135438546950268,0.510747406031918,0.237618171281188,0.299915762990997
61,0.5,0.6,"between","equal","differing",TRUE,0.094,0.00922843432007835,0.941149155889438,0.0941584853781504,0.407553019187636
62,1,0.6,"between","equal","differing",TRUE,0.126,0.010493998284734,0.736083280974136,0.140651310274079,0.244550545864023
63,1.5,0.6,"between","equal","differing",TRUE,0.167,0.01179453263169,0.503250902784705,0.162102505235441,0.183625756190465
64,0.5,0.2,"at_A","equal","differing",TRUE,0.105,0.00969407035254026,0.926074606937259,0.105868383437403,0.411346585102831
65,1,0.2,"at_A","equal","differing",TRUE,0.155,0.0114444309600784,0.758565414784404,0.158844350339778,0.30080048111001
66,1.5,0.2,"at_A","equal","differing",TRUE,0.19,0.0124056438768812,0.459149049995359,0.19474684518109,0.226811497500602
67,0.5,0.4,"at_A","equal","differing",TRUE,0.073,0.0082262385085773,0.92395289200266,0.0691520604092801,0.236461626597509
68,1,0.4,"at_A","equal","differing",TRUE,0.059,0.00745110730026081,0.739384758865572,0.0582301532489867,0.0750309665916713
69,1.5,0.4,"at_A","equal","differing",TRUE,0.056,0.00727076337120113,0.505544858359529,0.0589754530513046,0.0596110186120228
70,0.5,0.6,"at_A","equal","differing",TRUE,0.033,0.00564898220921256,0.931460328120685,0.038235437422556,0.122515386327804
71,1,0.6,"at_A","equal","differing",TRUE,0.005,0.00223047080231955,0.727302233436252,0.00674973481184336,0.00730073061452979
72,1.5,0.6,"at_A","equal","differing",TRUE,0.007,0.00263647491928143,0.499497337069544,0.00831943301342499,0.00832062719893104
73,0.5,0.2,"outside","equal","differing",FALSE,0.114,0.0100500746265886,0.925087173957967,0.109099673451945,0.423056465771759
74,1,0.2,"outside","equal","differing",FALSE,0.205,0.0127661662216971,0.694655023138452,0.222844455032924,0.414185957994506
75,1.5,0.2,"outside","equal","differing",FALSE,0.323,0.0147875285291356,0.497382408992364,0.313742895111275,0.453006672337837
76,0.5,0.4,"outside","equal","differing",FALSE,0.075,0.00832916562447884,0.930836807829895,0.0735106959100386,0.261159276792161
77,1,0.4,"outside","equal","differing",FALSE,0.158,0.0115341232870123,0.736426806532789,0.157116327499841,0.2884693475058
78,1.5,0.4,"outside","equal","differing",FALSE,0.261,0.0138880884213775,0.520023187529476,0.262642108543465,0.351607986191688
79,0.5,0.6,"outside","equal","differing",FALSE,0.052,0.00702111102319284,0.926064589667304,0.0392888371245875,0.120083922945999
80,1,0.6,"outside","equal","differing",FALSE,0.082,0.00867617427210865,0.737222095718132,0.0993188483908087,0.152479500218872
81,1.5,0.6,"outside","equal","differing",FALSE,0.191,0.0124305671632472,0.515581772435716,0.188522600716051,0.227384410406485
82,0.5,0.2,"between","3to1","differing",TRUE,0.087,0.00891240708226459,0.961640365861257,0.0866181830034297,0.486871391533631
83,1,0.2,"between","3to1","differing",TRUE,0.179,0.0121226647235663,0.81740135270659,0.184551060087025,0.461691332711666
84,1.5,0.2,"between","3to1","differing",TRUE,0.248,0.0136563538325572,0.618637501105835,0.264224879726705,0.445051517070341
85,0.5,0.4,"between","3to1","differing",TRUE,0.092,0.00913980306133562,0.96053655001768,0.085225532570166,0.468047822219625
86,1,0.4,"between","3to1","differing",TRUE,0.151,0.0113224997240009,0.830583335112512,0.152927357760717,0.375131873778954
87,1.5,0.4,"between","3to1","differing",TRUE,0.23,0.0133078923951165,0.579721962581338,0.2249872776832,0.324936192728538
88,0.5,0.6,"between","3to1","differing",TRUE,0.07,0.00806845710157772,0.961173207762501,0.0740775626998443,0.396198514042225
89,1,0.6,"between","3to1","differing",TRUE,0.115,0.0100883596287999,0.854140610889299,0.110378104200447,0.267992638318464
90,1.5,0.6,"between","3to1","differing",TRUE,0.136,0.0108399261990108,0.657515598213287,0.140555574316321,0.195803954521639
91,0.5,0.2,"at_A","3to1","differing",TRUE,0.087,0.00891240708226459,0.956520681036719,0.0817802492960489,0.418401078857988
92,1,0.2,"at_A","3to1","differing",TRUE,0.113,0.0100115433375679,0.810494336870215,0.129698871570139,0.288410948415323
93,1.5,0.2,"at_A","3to1","differing",TRUE,0.183,0.0122274690758145,0.604077088436493,0.1839394323643,0.255008820043168
94,0.5,0.4,"at_A","3to1","differing",TRUE,0.044,0.00648567652600714,0.962634832961254,0.0563787042415697,0.287638784260488
95,1,0.4,"at_A","3to1","differing",TRUE,0.049,0.00682634602111554,0.821800913940835,0.0476522520719939,0.0837330929270871
96,1.5,0.4,"at_A","3to1","differing",TRUE,0.036,0.00589101010014412,0.588045255974247,0.0346528328461046,0.0364689166252736
