"cell","sep","beta","position","sizes","sets","method","bias_native","mcse","bias_FD","rmse_FD"
1,0.5,0.2,"between","equal","common","average",0.0096660460038357,0.00582158931070992,0.0096660460038357,0.184256461612118
1,0.5,0.2,"between","equal","common","sponsorA",0.00705480758208466,0.00599861513161495,0.0570548075820847,0.19799659386457
1,0.5,0.2,"between","equal","common","transportD",0.00997011403371218,0.00579965295178908,0.00997011403371218,0.183580340888342
1,0.5,0.2,"between","equal","common","sponsorB",0.0122772844255867,0.00610514256194881,-0.0377227155744133,0.196617639611316
2,1,0.2,"between","equal","common","sponsorA",0.00474959138077219,0.00770467905372588,0.104749591380772,0.265094689000063
2,1,0.2,"between","equal","common","average",0.00915141485461861,0.00673151938762788,0.00915141485461861,0.212959593131151
2,1,0.2,"between","equal","common","transportD",0.00821498958807695,0.0064265823569792,0.00821498958807695,0.203290791439695
2,1,0.2,"between","equal","common","sponsorB",0.013553238328465,0.00784395908136514,-0.086446761671535,0.262562771503417
3,1.5,0.2,"between","equal","common","average",0.00584528979659203,0.00928267243574733,0.00584528979659203,0.293455289532562
3,1.5,0.2,"between","equal","common","sponsorA",-0.00447297523771143,0.0119054713372001,0.145527024762289,0.403455849442408
3,1.5,0.2,"between","equal","common","sponsorB",0.0161635548308955,0.0118039614575923,-0.133836445169105,0.3963664549905
3,1.5,0.2,"between","equal","common","transportD",0.00232080880575776,0.00776926604568556,0.00232080880575776,0.24557385762183
4,0.5,0.4,"between","equal","common","average",-0.000394084583060821,0.00596278532180551,-0.000394084583060821,0.188465936677703
4,0.5,0.4,"between","equal","common","sponsorB",0.00174273584566938,0.00633112396228732,-0.0982572641543306,0.222929445014149
4,0.5,0.4,"between","equal","common","transportD",0.000317093579337042,0.0059389545786966,0.000317093579337042,0.18771257511065
4,0.5,0.4,"between","equal","common","sponsorA",-0.00253090501179103,0.0061465024658845,0.097469094988209,0.217352105001037
5,1,0.4,"between","equal","common","transportD",0.0114389466417568,0.00686827461603995,0.0114389466417568,0.217386458882356
5,1,0.4,"between","equal","common","average",0.0137469673494248,0.00722268348879429,0.0137469673494248,0.228700609386657
5,1,0.4,"between","equal","common","sponsorA",0.0107759333820708,0.00819887611647488,0.210775933382071,0.334037186697547
5,1,0.4,"between","equal","common","sponsorB",0.0167180013167788,0.00840569256616633,-0.183281998683221,0.322765089330775
6,1.5,0.4,"between","equal","common","sponsorA",0.00512081259897991,0.0121044027903391,0.30512081259898,0.489355454271147
6,1.5,0.4,"between","equal","common","transportD",-0.00301208118479474,0.00782364144568796,-0.00301208118479474,0.247299876138828
6,1.5,0.4,"between","equal","common","average",-0.00350269164052945,0.00933950894392229,-0.00350269164052945,0.295214277661192
6,1.5,0.4,"between","equal","common","sponsorB",-0.0121261958800388,0.0123910079853184,-0.312126195880039,0.500805654888078
7,0.5,0.6,"between","equal","common","average",2.92652409579769e-05,0.00598448803392889,2.92652409579769e-05,0.189151483704633
7,0.5,0.6,"between","equal","common","transportD",0.000107336318711922,0.00595467818504629,0.000107336318711922,0.18820931330905
7,0.5,0.6,"between","equal","common","sponsorB",-0.00193551765549067,0.00636043200342006,-0.151935517655491,0.251990161911337
7,0.5,0.6,"between","equal","common","sponsorA",0.00199404813740661,0.00622131846535638,0.151994048137407,0.248532270164526
8,1,0.6,"between","equal","common","average",0.00433471404469836,0.0074223075826958,0.00433471404469836,0.234636631726891
8,1,0.6,"between","equal","common","sponsorB",0.00738671632841006,0.00897415120812789,-0.29261328367159,0.407525935736006
8,1,0.6,"between","equal","common","sponsorA",0.00128271176098667,0.00808908945730501,0.301282711760987,0.395144539739686
8,1,0.6,"between","equal","common","transportD",0.00409509942556092,0.00705433803199971,0.00409509942556092,0.223003791949718
9,1.5,0.6,"between","equal","common","transportD",0.00367239453416052,0.00826620022109494,0.00367239453416052,0.261295278393524
9,1.5,0.6,"between","equal","common","sponsorB",0.00975430276002934,0.0132325861762834,-0.440245697239971,0.6072417224748
9,1.5,0.6,"between","equal","common","average",0.00479110437924294,0.00979991345803909,0.00479110437924294,0.309782536890709
9,1.5,0.6,"between","equal","common","sponsorA",-0.000172094001543463,0.0117570692024314,0.449827905998456,0.583468587474499
10,0.5,0.2,"at_A","equal","common","sponsorA",-0.00448788189634256,0.00615121674281455,0.0455121181036574,0.199677196604786
10,0.5,0.2,"at_A","equal","common","transportD",-0.00329041415729876,0.00591815241711048,-0.00329041415729876,0.187083752179191
10,0.5,0.2,"at_A","equal","common","sponsorB",-0.00189217245606538,0.00616700570077941,-0.0518921724560654,0.201709506261709
10,0.5,0.2,"at_A","equal","common","average",-0.00319002717620397,0.0059134650743526,-0.00319002717620397,0.186933882401739
11,1,0.2,"at_A","equal","common","average",0.00227555166433583,0.00652798278767906,0.00227555166433583,0.206342246891748
11,1,0.2,"at_A","equal","common","sponsorA",0.000484642531977922,0.00768266670907307,0.100484642531978,0.262795562709336
11,1,0.2,"at_A","equal","common","sponsorB",0.00406646079669375,0.00764655745267407,-0.0959335392033063,0.260028104212296
11,1,0.2,"at_A","equal","common","transportD",0.00105592235194879,0.00612830477682922,0.00105592235194879,0.193699969773574
12,1.5,0.2,"at_A","equal","common","sponsorB",0.00313791430661347,0.0117380137297651,-0.146862085693387,0.399013355124921
12,1.5,0.2,"at_A","equal","common","sponsorA",-0.00527181708002555,0.0118602625585515,0.144728182919974,0.40183505205636
12,1.5,0.2,"at_A","equal","common","average",-0.00106695138670603,0.0091914340648374,-0.00106695138670603,0.290515259656609
12,1.5,0.2,"at_A","equal","common","transportD",-0.00320090678833718,0.00776526341579088,-0.00320090678833718,0.245457251685444
13,0.5,0.4,"at_A","equal","common","sponsorB",-0.0020991424145779,0.00631489254757244,-0.102099142414578,0.224192383682611
13,0.5,0.4,"at_A","equal","common","average",-0.00251157643704268,0.0058971299593306,-0.00251157643704268,0.186407278912805
13,0.5,0.4,"at_A","equal","common","sponsorA",-0.00292401045950746,0.00605158006176465,0.0970759895404925,0.214496497332636
13,0.5,0.4,"at_A","equal","common","transportD",-0.00294047371310094,0.0058849189880754,-0.00294047371310094,0.18602764743546
14,1,0.4,"at_A","equal","common","average",-0.00303104881849938,0.0070337552677971,-0.00303104881849938,0.22233629193417
14,1,0.4,"at_A","equal","common","transportD",-0.00169317917035183,0.00652034243008058,-0.00169317917035183,0.206095165871999
14,1,0.4,"at_A","equal","common","sponsorB",-0.00020989674113616,0.0083559693051985,-0.200209896741136,0.331415756353687
14,1,0.4,"at_A","equal","common","sponsorA",-0.0058522008958626,0.00797994689645535,0.194147799104137,0.318291125881256
15,1.5,0.4,"at_A","equal","common","sponsorB",0.0172538195472815,0.0129184785085169,-0.282746180452719,0.496654409472662
15,1.5,0.4,"at_A","equal","common","sponsorA",0.000428382426637478,0.0118986108719241,0.300428382426638,0.481344550928206
15,1.5,0.4,"at_A","equal","common","average",0.00884110098695949,0.00959333652135314,0.00884110098695949,0.303345081669338
15,1.5,0.4,"at_A","equal","common","transportD",0.011967398284578,0.00801232764954633,0.011967398284578,0.253527938482177
16,0.5,0.6,"at_A","equal","common","average",-0.00724524995402723,0.0062762627790315,-0.00724524995402723,0.19850586047742
16,0.5,0.6,"at_A","equal","common","sponsorB",-0.00673038589678213,0.00669891873893248,-0.156730385896782,0.263429403487735
16,0.5,0.6,"at_A","equal","common","sponsorA",-0.00776011401127233,0.00641077674986474,0.142239885988728,0.247566446927196
16,0.5,0.6,"at_A","equal","common","transportD",-0.00844909591453668,0.0062079451727574,-0.00844909591453668,0.196396109702985
17,1,0.6,"at_A","equal","common","average",0.00427702186570011,0.00732328663657327,0.00427702186570011,0.231506348833657
17,1,0.6,"at_A","equal","common","sponsorA",0.00383008599407364,0.00829011286606948,0.303830085994074,0.401210626125486
17,1,0.6,"at_A","equal","common","sponsorB",0.00472395773732656,0.00892017550904961,-0.295276042262673,0.408262051525052
17,1,0.6,"at_A","equal","common","transportD",0.00360867466544745,0.00686323544827425,0.00360867466544745,0.216956030915185
18,1.5,0.6,"at_A","equal","common","average",0.00145359768419289,0.00948064164142102,0.00145359768419289,0.299657798686003
18,1.5,0.6,"at_A","equal","common","sponsorA",0.00510856927888189,0.011609972351079,0.455108569278882,0.584619941813393
18,1.5,0.6,"at_A","equal","common","sponsorB",-0.00220137391049607,0.0134195892924367,-0.452201373910496,0.619993043483105
18,1.5,0.6,"at_A","equal","common","transportD",-0.000803208480855657,0.00797684435277031,-0.000803208480855657,0.25212508983907
19,0.5,0.2,"outside","equal","common","average",0.0107662255026475,0.00589378599267297,0.0107662255026475,0.186595520379441
19,0.5,0.2,"outside","equal","common","sponsorB",0.00833860671607705,0.0060268963244906,-0.0416613932839229,0.19499442945174
19,0.5,0.2,"outside","equal","common","transportD",0.0110995041438764,0.00586389892604479,0.0110995041438764,0.185672088092137
19,0.5,0.2,"outside","equal","common","sponsorA",0.013193844289218,0.00622602318853066,0.063193844289218,0.206683485879804
20,1,0.2,"outside","equal","common","average",-0.00102788308380471,0.00716041690785719,-0.00102788308380471,0.226321353980721
20,1,0.2,"outside","equal","common","sponsorB",-0.0031646858578249,0.00824378264405174,-0.103164685857825,0.280240869143367
20,1,0.2,"outside","equal","common","transportD",-0.00278896495883643,0.00672086970868463,-0.00278896495883643,0.212444576012228
20,1,0.2,"outside","equal","common","sponsorA",0.00110891969021551,0.00815121138723198,0.101108919690216,0.276764915538772
21,1.5,0.2,"outside","equal","common","transportD",0.00161557772201623,0.00790780313521034,0.00161557772201623,0.249946848682261
21,1.5,0.2,"outside","equal","common","average",0.0029722066936145,0.00945851489255724,0.0029722066936145,0.29896968823174
21,1.5,0.2,"outside","equal","common","sponsorB",0.0179859267442746,0.0123007558479742,-0.132014073255725,0.410591039082209
21,1.5,0.2,"outside","equal","common","sponsorA",-0.0120415133570456,0.0114970794310782,0.137958486642954,0.38869421998004
22,0.5,0.4,"outside","equal","common","transportD",-0.00478910103769689,0.00584048538498983,-0.00478910103769689,0.184662106972429
22,0.5,0.4,"outside","equal","common","sponsorB",-0.0066237824916173,0.00620345607194387,-0.106623782491617,0.223188295755222
22,0.5,0.4,"outside","equal","common","sponsorA",-0.00106979172145336,0.00609854000885783,0.0989302082785467,0.216661450561554
22,0.5,0.4,"outside","equal","common","average",-0.00384678710653531,0.00588401005530809,-0.00384678710653531,0.18601545776542
23,1,0.4,"outside","equal","common","average",0.00770629279328495,0.00698635378228339,0.00770629279328495,0.220951843125759
23,1,0.4,"outside","equal","common","transportD",0.00677107041655389,0.00660537566518217,0.00677107041655389,0.20888562440984
23,1,0.4,"outside","equal","common","sponsorA",0.0155355668219509,0.00796423240258184,0.215535566821951,0.331392741818272
23,1,0.4,"outside","equal","common","sponsorB",-0.000122981235380924,0.0081722537141063,-0.200122981235381,0.326753963488575
24,1.5,0.4,"outside","equal","common","average",0.0202475345131847,0.00959483970143862,0.0202475345131847,0.303938892873665
24,1.5,0.4,"outside","equal","common","sponsorB",0.025828637171473,0.0131909391444367,-0.274171362828527,0.49899580241919
24,1.5,0.4,"outside","equal","common","sponsorA",0.0146664318548965,0.0113293337588106,0.314666431854897,0.476697401871878
24,1.5,0.4,"outside","equal","common","transportD",0.011384411373963,0.00798012432620936,0.011384411373963,0.252484270202776
25,0.5,0.6,"outside","equal","common","average",0.00710455118584454,0.00603121723350122,0.00710455118584454,0.190760793623629
25,0.5,0.6,"outside","equal","common","transportD",0.00743805107859806,0.00595144486208496,0.00743805107859806,0.188254085890158
25,0.5,0.6,"outside","equal","common","sponsorB",0.00809627440953655,0.00638361734732272,-0.141903725590463,0.246670807358828
25,0.5,0.6,"outside","equal","common","sponsorA",0.00611282796215254,0.00625053674788217,0.156112827962153,0.251796257877931
26,1,0.6,"outside","equal","common","sponsorA",0.00460446951589894,0.00795792253846434,0.304604469515899,0.39503048672999
26,1,0.6,"outside","equal","common","average",0.0134797545252122,0.00722973027694769,0.0134797545252122,0.228907043709006
26,1,0.6,"outside","equal","common","transportD",0.00915971699430281,0.00681146304799032,0.00915971699430281,0.215484415308159
26,1,0.6,"outside","equal","common","sponsorB",0.0223550395345253,0.00882894270132362,-0.277644960465475,0.393648324098944
27,1.5,0.6,"outside","equal","common","transportD",0.00898570406897014,0.00804410727667906,0.00898570406897014,0.25440852402083
27,1.5,0.6,"outside","equal","common","sponsorA",0.0112398885746278,0.011717318611516,0.461239888574628,0.59152387500478
27,1.5,0.6,"outside","equal","common","average",0.0099869049302425,0.00968276790466191,0.0099869049302425,0.306205774882416
