"cell","m_d","g_b","method","native","declared","mismatch","bias_native","rmse_native","bias_declared","rmse_declared","mcse","n"
1,0,0.3,"bucher",-0.0352653140128745,-0.178682209251518,0.143416895238644,-0.00233744390472484,0.241214874691924,0.141079451333919,0.279432574545833,0.0076313425763853,1000
1,0,0.3,"maic",-0.176387489611991,-0.178682209251518,0.00229471963952688,-0.00140337833970197,0.273958462031186,0.000891341299824905,0.273956317570961,0.00866754843329831,1000
1,0,0.3,"stc",-0.176387489611991,-0.178682209251518,0.00229471963952688,0.00321483264280087,0.260554668893196,0.00550955228232775,0.260593084135925,0.00824295739888309,1000
1,0,0.3,"stc_2stage",-0.178682209251518,-0.178682209251518,0,0.00259798842126738,0.264533898294173,0.00259798842126738,0.264533898294173,0.00836907852025257,1000
2,0.6,0.3,"bucher",-0.0352653140128745,-0.176387489611991,0.141122175599117,-0.010666642175109,0.242110113749468,0.130455533424008,0.274812983909842,0.00765258727598092,1000
2,0.6,0.3,"maic",-0.176387489611991,-0.176387489611991,0,-0.0088062167032607,0.264733561618871,-0.0088062167032607,0.264733561618871,0.00837116393223598,1000
2,0.6,0.3,"stc",-0.176387489611991,-0.176387489611991,0,-0.0104440785337946,0.251233436822122,-0.0104440785337946,0.251233436822122,0.00794180289570759,1000
2,0.6,0.3,"stc_2stage",-0.176387489611991,-0.176387489611991,0,-0.0104437458902746,0.251233520568152,-0.0104437458902746,0.251233520568152,0.0079418059854896,1000
3,1.2,0.3,"maic",-0.176387489611991,-0.175296283853352,-0.0010912057586388,0.000123629897693267,0.266366710274438,-0.000967575860945535,0.26636843893585,0.00842746885425061,1000
3,1.2,0.3,"bucher",-0.0352653140128745,-0.175296283853352,0.140030969840478,0.00473805986102665,0.24199272479494,0.144769029701505,0.281950530418277,0.00765484332097669,1000
3,1.2,0.3,"stc_2stage",-0.175296283853352,-0.175296283853352,0,0.000936185625898645,0.251519117883562,0.000936185625898645,0.251519117883562,0.007957657603336,1000
3,1.2,0.3,"stc",-0.176387489611991,-0.175296283853352,-0.0010912057586388,0.000629764146760692,0.253331832788702,-0.000461441611878111,0.253331470270797,0.0080150397231059,1000
4,0,0.6,"maic",0.0225822061742652,-0.089963567001461,0.112545773175726,-0.000177548463085184,0.27177622950272,0.112368224712641,0.294089961277717,0.00859861754137729,1000
4,0,0.6,"bucher",0.163704381773382,-0.089963567001461,0.253667948774843,-0.000254045860867524,0.245578211321773,0.253413902913975,0.35288411628578,0.00776974660455544,1000
4,0,0.6,"stc_2stage",-0.089963567001461,-0.089963567001461,0,0.111161191734356,0.280544826777268,0.111161191734356,0.280544826777268,0.00814954012739205,1000
4,0,0.6,"stc",0.0225822061742652,-0.089963567001461,0.112545773175726,-0.00115824490127021,0.254541255734275,0.111387528274456,0.277843644510043,0.00805324556335109,1000
5,0.6,0.6,"bucher",0.163704381773382,0.0225822061742652,0.141122175599117,0.00849836953836397,0.241068756436934,0.149620545137481,0.283598713982408,0.0076223371132683,1000
5,0.6,0.6,"maic",0.0225822061742652,0.0225822061742652,0,0.00540079202299728,0.275144780442146,0.00540079202299728,0.275144780442146,0.0087035184197521,1000
5,0.6,0.6,"stc",0.0225822061742652,0.0225822061742652,0,0.00545452767672073,0.254333797477309,0.00545452767672073,0.254333797477309,0.00804491450025227,1000
5,0.6,0.6,"stc_2stage",0.0225822061742652,0.0225822061742652,0,0.00545481211142815,0.254333507499188,0.00545481211142815,0.254333507499188,0.0080449051305922,1000
6,1.2,0.6,"bucher",0.163704381773382,0.131247975786703,0.032456405986679,0.011229902877011,0.247665870671448,0.04368630886369,0.251238465126168,0.00782774209610552,1000
6,1.2,0.6,"maic",0.0225822061742652,0.131247975786703,-0.108665769612438,0.0125127487568332,0.271705365550683,-0.0961530208556046,0.287945550768261,0.00858725670778184,1000
6,1.2,0.6,"stc",0.0225822061742652,0.131247975786703,-0.108665769612438,0.0101420786778994,0.2594054724727,-0.0985236909345384,0.277299937007278,0.00820095073646086,1000
6,1.2,0.6,"stc_2stage",0.131247975786703,0.131247975786703,0,-0.098300391288878,0.276202682711926,-0.098300391288878,0.276202682711926,0.0081664953717231,1000
