"cell","spread","spacing","M","width","across_targets","mcse_t","true_across","across_replicates","mcse_r","wrong_best_mid","wrong_best_edge"
1,0,-0.05,2,0.5,1.3508,0.0189192308854588,0,1.3884,0.0178399468526031,0.587,0.629
2,0.2,-0.05,2,0.5,1.5584,0.0182571290942131,1.2,1.3928,0.0182241674783865,0.591,0.509
3,0.4,-0.05,2,0.5,1.8872,0.015522793470156,2.4,1.3724,0.0181076261869446,0.569,0.4
4,0,-0.15,2,0.5,0.936,0.0180862132883341,0,0.926,0.0166733920364754,0.318,0.378
5,0.2,-0.15,2,0.5,0.9932,0.0178424245020713,0,0.9272,0.0172637828472846,0.342,0.305
6,0.4,-0.15,2,0.5,1.1824,0.0183047891357782,0,0.9332,0.0168944719711266,0.343,0.266
7,0,-0.05,5,0.5,0.9496,0.0157158145454452,0,0.778,0.0144292828721391,0.298,0.37
8,0.2,-0.05,5,0.5,1.6032,0.0171383629172533,1.2,0.7564,0.0141668535582091,0.28,0.155
9,0.4,-0.05,5,0.5,2.2304,0.00926723916394308,2.4,0.7808,0.0147352804007419,0.277,0.074
10,0,-0.15,5,0.5,0.226,0.0092460526436685,0,0.0976,0.00599584774574788,0.035,0.0649999999999999
11,0.2,-0.15,5,0.5,0.3248,0.0106985709054723,0,0.1,0.00656986781930682,0.0340000000000001,0.03
12,0.4,-0.15,5,0.5,0.6676,0.0145258817715566,0,0.0976,0.00620586438401233,0.032,0.02
13,0,-0.05,2,1,2.0732,0.0128408195473126,0,1.368,0.0175614465350781,0.58,0.697
14,0.2,-0.05,2,1,2.186,0.0105941604781235,2.4,1.344,0.017028034353793,0.576,0.484
15,0.4,-0.05,2,1,2.2812,0.00809147897680228,2.4,1.3808,0.0176437712143029,0.581,0.356
16,0,-0.15,2,1,1.5844,0.0174143590149021,0,0.9,0.0172388276044856,0.32,0.508
17,0.2,-0.15,2,1,1.7252,0.0163202730158325,0,0.9244,0.0172424459384955,0.329,0.393
18,0.4,-0.15,2,1,2.0772,0.0132957488294921,2.4,0.942,0.0172456781082512,0.336,0.328
19,0,-0.05,5,1,1.5492,0.0169453977972341,0,0.766,0.0145717650384687,0.302,0.497
20,0.2,-0.05,5,1,2.1724,0.0110417462459595,2.4,0.7856,0.0150312533934658,0.305,0.188
21,0.4,-0.05,5,1,2.38,0.00303466789108945,2.4,0.7904,0.0144484115596351,0.31,0.0729999999999999
22,0,-0.15,5,1,0.618,0.0145508669063987,0,0.116,0.00706781111476204,0.032,0.174
23,0.2,-0.15,5,1,1.0292,0.0166006910381148,0,0.104,0.00638316103077025,0.0349999999999999,0.0580000000000001
24,0.4,-0.15,5,1,2.158,0.011226844705528,2.4,0.1056,0.00660395731756739,0.037,0.031
