"cell","m","ratio","aic_sep","bic_sep","lrt_sep"
1,2,1,0.006,0.1235,0
2,3,1,0.024,0.07,0.0015
3,5,1,0.0485,0.044,0.005
4,8,1,0.0865,0.0415,0.011
5,12,1,0.1035,0.0385,0.021
6,20,1,0.1435,0.037,0.032
7,40,1,0.1465,0.028,0.0405
8,2,2,0.0085,0.1485,0
9,3,2,0.04,0.0915,5e-04
10,5,2,0.0875,0.079,0.01
11,8,2,0.1195,0.069,0.0215
12,12,2,0.149,0.0625,0.032
13,20,2,0.19,0.078,0.0685
14,40,2,0.271,0.0955,0.121
15,2,5,0.0195,0.201,0
16,3,5,0.0975,0.18,0.007
17,5,5,0.1845,0.176,0.0405
18,8,5,0.2955,0.21,0.111
19,12,5,0.4035,0.2575,0.1905
20,20,5,0.5675,0.3725,0.3515
21,40,5,0.789,0.561,0.608
