"cell","gap","beta","iota","M","w","mismatch","flag_unadj","iota_adj","se_adj","flag_adj"
1,0,0,-0.2,2,-0.202078545250714,0,0.395,-0.202211081438513,0.2377899823511,0.219
2,0.5,0,-0.2,2,-0.196730964455605,0,0.3655,-0.179316171536785,0.489443641661575,0.105
3,1,0,-0.2,2,-0.20367643766187,0,0.372,-0.212463906509887,0.844737528770834,0.0755
4,0,0.2,-0.2,2,-0.19887047515017,0,0.373,-0.202167824296217,0.250559915116953,0.207
5,0.5,0.2,-0.2,2,-0.100863834413821,0.1,0.1545,-0.203464111008186,0.483059674260047,0.1075
6,1,0.2,-0.2,2,-2.02935659272467e-05,0.2,0.066,-0.224260273417081,0.911444623702271,0.074
7,0,0.4,-0.2,2,-0.205581664693685,0,0.4065,-0.19901238039122,0.234274506176608,0.21
8,0.5,0.4,-0.2,2,-0.00384302942594302,0.2,0.105,-0.185833398419443,0.476574276953251,0.1155
9,1,0.4,-0.2,2,0.198382827704245,0.4,0.387,-0.153186683516421,0.887780225960475,0.065
10,0,0,0,2,-0.000758645058874685,0,0.0515,0.0112969499606427,0.240961805502084,0.043
11,0.5,0,0,2,0.00148600902419454,0,0.0515,-0.0215992973870855,0.474605568245071,0.054
12,1,0,0,2,0.00248336240006263,0,0.046,-0.0632193035937661,0.948577151259601,0.0525
13,0,0.2,0,2,0.00268839923262301,0,0.0605,-0.000595825990265451,0.239568847669072,0.0495
14,0.5,0.2,0,2,0.100807108444384,0.1,0.141,-0.00922824140765533,0.48574849606567,0.0415
15,1,0.2,0,2,0.201632118728525,0.2,0.3865,-0.0150616423014056,0.85914831878206,0.058
16,0,0.4,0,2,0.000742580916785565,0,0.0975,0.00388689292708953,0.237650111090881,0.0535
17,0.5,0.4,0,2,0.19904670539608,0.2,0.398,-0.0199908168613101,0.465460650780713,0.0495
18,1,0.4,0,2,0.395339620391736,0.4,0.854,-0.0322932346348381,0.917573079252065,0.043
19,0,0,0.2,2,0.201127158043176,0,0.3895,0.191936197677968,0.226786962003665,0.2325
20,0.5,0,0.2,2,0.206058421294191,0,0.3955,0.209316575776216,0.481418341030107,0.126
21,1,0,0.2,2,0.197582133900916,0,0.373,0.150680151133143,0.868545773612656,0.07
22,0,0.2,0.2,2,0.200009293509662,0,0.374,0.201535024328406,0.23844843300215,0.2025
23,0.5,0.2,0.2,2,0.30236343693688,0.1,0.6935,0.20481578752878,0.491395495046752,0.109
24,1,0.2,0.2,2,0.399662862661241,0.2,0.8985,0.244327019079325,0.890159449538769,0.074
25,0,0.4,0.2,2,0.201944203445408,0,0.4,0.208033921313428,0.239738560869936,0.219
26,0.5,0.4,0.2,2,0.400328732234613,0.2,0.863,0.200271733942246,0.498035371934509,0.1125
27,1,0.4,0.2,2,0.607810034597844,0.4,0.994,0.18852793291125,0.89225848490264,0.064
28,0,0,-0.2,4,-0.201179450637329,0,0.6325,-0.202054092556501,0.100151791806607,0.542
29,0.5,0,-0.2,4,-0.197165570746505,0,0.623,-0.195476230909885,0.173773954648042,0.2485
30,1,0,-0.2,4,-0.200057818193131,0,0.6325,-0.21283875282024,0.302156081408453,0.113
31,0,0.2,-0.2,4,-0.205258548766953,0,0.6585,-0.202918244703611,0.100367793145321,0.548
32,0.5,0.2,-0.2,4,-0.0975107088707366,0.1,0.224,-0.196435357829997,0.173985850352324,0.253
33,1,0.2,-0.2,4,0.00105914983243389,0.2,0.058,-0.198188927883495,0.303761135849581,0.108
34,0,0.4,-0.2,4,-0.201821106662426,0,0.625,-0.200482419993382,0.100236021318234,0.528
35,0.5,0.4,-0.2,4,0.000333670521422592,0.2,0.0955,-0.197950137661073,0.173721874607795,0.2535
36,1,0.4,-0.2,4,0.20075485240225,0.4,0.6235,-0.210139522024856,0.301046113044097,0.1085
37,0,0,0,4,-0.00129306361861082,0,0.048,-0.00169728272767076,0.0999850455251243,0.0505
38,0.5,0,0,4,0.00182832108113267,0,0.0565,0.00190744353970134,0.171514954029608,0.042
39,1,0,0,4,0.00144369527609687,0,0.056,0.00120994237366713,0.301063925812843,0.05
40,0,0.2,0,4,0.0044928328768593,0,0.057,0.00502358510934294,0.100356945646706,0.044
41,0.5,0.2,0,4,0.101141850357738,0.1,0.2255,-0.000388927550363896,0.172909163669367,0.041
42,1,0.2,0,4,0.201467781941944,0.2,0.633,-0.00167277597177459,0.301129173630168,0.055
43,0,0.4,0,4,0.00189822008338686,0,0.101,0.0021695333186484,0.0993661083401099,0.058
44,0.5,0.4,0,4,0.201328687661517,0.2,0.6105,0.00174156015981844,0.173002585059478,0.0495
45,1,0.4,0,4,0.400181826555752,0.4,0.9815,0.000588156067286634,0.301879343698002,0.046
46,0,0,0.2,4,0.195758607654041,0,0.618,0.196153048196587,0.0999653556033806,0.525
47,0.5,0,0.2,4,0.196935435496033,0,0.614,0.192816892181374,0.173596347381646,0.2535
48,1,0,0.2,4,0.202177758121277,0,0.644,0.200290967063941,0.30494164204291,0.111
49,0,0.2,0.2,4,0.200132419975584,0,0.64,0.200731022673982,0.0997168517332088,0.545
50,0.5,0.2,0.2,4,0.299123780425983,0.1,0.9215,0.19872327617535,0.17058981281112,0.2575
51,1,0.2,0.2,4,0.397882164053821,0.2,0.9945,0.196671062361692,0.30354157875922,0.1175
52,0,0.4,0.2,4,0.202940837848198,0,0.632,0.202820379530484,0.100042907276952,0.5425
53,0.5,0.4,0.2,4,0.401288539781585,0.2,0.9915,0.201851787769489,0.173516087488513,0.2535
54,1,0.4,0.2,4,0.599673282438469,0.4,0.9995,0.201607928804056,0.299971033309472,0.1235
