"cell","K","tau","method","bias","coverage","cov_mcse","width"
1,2,0,"naive_dl",-0.000718989152660341,0.888,0.00705180827873248,0.472988018870189
1,2,0,"naive_hk",-0.000718989152660341,0.9125,0.00631837597805006,1.61328417348836
1,2,0,"twostep_hk",-0.000703589450038081,1,0,3.57057733643183
1,2,0,"twostep_dl",-0.000703589450038081,0.953,0.00473238840333293,0.595215526435574
2,3,0,"twostep_hk",0.00122541870778154,0.9995,0.000499874984371065,1.15634377399333
2,3,0,"naive_dl",0.0012149317380019,0.836,0.0082796135175502,0.377365846896475
2,3,0,"twostep_dl",0.00122541870778154,0.962,0.00427527776875375,0.549531303764877
2,3,0,"naive_hk",0.0012149317380019,0.8345,0.00830992629329527,0.498172216325668
3,4,0,"twostep_hk",-0.00118883921113758,0.9985,0.000865375640979091,0.83213387542933
3,4,0,"twostep_dl",-0.00118883921113758,0.958,0.00448530935387962,0.527620985705767
3,4,0,"naive_hk",-0.00115629946521347,0.7335,0.00988629733520088,0.327250020724488
3,4,0,"naive_dl",-0.00115629946521347,0.7875,0.00914723318823785,0.324450248207929
4,6,0,"twostep_dl",-0.00352411411845138,0.961,0.00432891441356837,0.50506365786823
4,6,0,"naive_hk",-0.00354148550385287,0.6095,0.010908935557606,0.224053889081048
4,6,0,"twostep_hk",-0.00352411411845138,0.989,0.00233227356885937,0.652205280989236
4,6,0,"naive_dl",-0.00354148550385287,0.7065,0.0101822824062191,0.262307895061424
5,8,0,"naive_hk",-0.00199550535938404,0.5185,0.0111726843238319,0.179681118285577
5,8,0,"naive_dl",-0.00199550535938404,0.638,0.0107460690487266,0.226552338360418
5,8,0,"twostep_dl",-0.00201493176890235,0.9535,0.00470838348055891,0.494673531422305
5,8,0,"twostep_hk",-0.00201493176890235,0.9795,0.00316857617866448,0.590628560108931
6,12,0,"twostep_hk",-0.00417436449697247,0.976,0.00342227994179319,0.540350326706151
6,12,0,"naive_hk",-0.00417098237116869,0.4255,0.0110555359435895,0.13837093000315
6,12,0,"twostep_dl",-0.00417436449697247,0.9535,0.00470838348055891,0.484034053496929
6,12,0,"naive_dl",-0.00417098237116869,0.5565,0.0111087296753499,0.184442623887737
7,2,0.1,"twostep_hk",0.00186734390273696,1,0,3.87248103809101
7,2,0.1,"twostep_dl",0.00186734390273696,0.946,0.00505390937789747,0.631836855540917
7,2,0.1,"naive_hk",0.00186216124580421,0.9305,0.00568637626261225,2.10766677162514
7,2,0.1,"naive_dl",0.00186216124580421,0.875,0.00739509972887452,0.50572182155115
8,3,0.1,"twostep_hk",0.00202624921684948,1,0,1.24632219204749
8,3,0.1,"twostep_dl",0.00202624921684948,0.95,0.00487339717240448,0.582502811540617
8,3,0.1,"naive_hk",0.00207112173562297,0.868,0.00756888366933988,0.659687156067365
8,3,0.1,"naive_dl",0.00207112173562297,0.8205,0.00858136789795193,0.405426656960874
9,4,0.1,"naive_hk",0.00160214593246769,0.805,0.00885931712944062,0.43462240154852
9,4,0.1,"naive_dl",0.00160214593246769,0.774,0.00935211206091971,0.344769129351056
9,4,0.1,"twostep_hk",0.00158778240282153,0.997,0.00122290637417588,0.88375036932866
9,4,0.1,"twostep_dl",0.00158778240282153,0.9425,0.00520546587732549,0.552638642632068
10,6,0.1,"naive_hk",-0.00138611577609832,0.694,0.0103044650516172,0.29727005113054
10,6,0.1,"naive_dl",-0.00138611577609832,0.688,0.010359922779635,0.27736183674824
10,6,0.1,"twostep_hk",-0.00140428463143521,0.987,0.00253288373203351,0.682828231163487
10,6,0.1,"twostep_dl",-0.00140428463143521,0.953,0.00473238840333293,0.523934574209541
11,8,0.1,"twostep_hk",0.000259583870139298,0.9815,0.00301311715670001,0.61286316356398
11,8,0.1,"twostep_dl",0.000259583870139298,0.951,0.00482695556225661,0.5095327889955
11,8,0.1,"naive_hk",0.000257350436474061,0.614,0.0108858623911935,0.242325005312164
11,8,0.1,"naive_dl",0.000257350436474061,0.622,0.0108424167047757,0.237472164724791
