"cell","mech","V","M","bias","mcse","coverage","dissim","incons","het","any","called_right"
1,"none",0,2,0.0033355870373048,0.00197346232683881,0.95,0.101,0.1,0.095,0.2735,0.7265
2,"measured_em",0.1,2,0.000760502827480439,0.00330442767134622,0.952,1,0.1515,0.093,1,1
3,"unmeasured_em",0.1,2,-0.0984659334546311,0.00194754130512528,0.7905,0.103,0.099,0.1035,0.2785,0.7215
4,"loop_break",0.1,2,0.0656506135246208,0.00191004511123678,0.8835,0.1,0.156,0.1095,0.3215,0.142
5,"drift",0.1,2,0.00215281328292813,0.00235005679477874,0.892,0.104,0.179,0.2125,0.4195,0.161
6,"measured_em",0.2,2,-0.00279211846082475,0.00344554669596647,0.9425,1,0.3085,0.126,1,1
7,"unmeasured_em",0.2,2,-0.201989194578709,0.0019373773487614,0.354,0.123,0.1065,0.1115,0.2985,0.7015
8,"loop_break",0.2,2,0.133433251679948,0.00195425167373642,0.6525,0.096,0.2985,0.106,0.432,0.269
9,"drift",0.2,2,0.00321933165894752,0.00324117291573452,0.765,0.1055,0.321,0.533,0.719,0.3255
10,"measured_em",0.4,2,-0.000550724446356859,0.00339840271575691,0.9455,1,0.6805,0.156,1,1
11,"unmeasured_em",0.4,2,-0.401555264897446,0.00195638519176268,0.0045,0.099,0.109,0.1005,0.2815,0.7185
12,"loop_break",0.4,2,0.268279427245331,0.0019018416247555,0.116,0.0995,0.706,0.096,0.766,0.634
13,"drift",0.4,2,-0.00100388382787399,0.0057912200197869,0.49,0.086,0.568,0.8545,0.9475,0.34
14,"none",0,5,0.000384851054864043,0.0012686393637052,0.9445,0.122,0.091,0.1,0.283,0.717
15,"measured_em",0.1,5,0.00173597813361712,0.00204985821673568,0.948,1,0.224,0.1015,1,1
16,"unmeasured_em",0.1,5,-0.0985172173416194,0.00119774254652456,0.568,0.114,0.1015,0.1025,0.286,0.714
17,"loop_break",0.1,5,0.0658568013686073,0.00124502364243908,0.768,0.1045,0.2215,0.0995,0.3755,0.199
18,"drift",0.1,5,-0.00204279088820544,0.00145689533733851,0.898,0.097,0.1655,0.3885,0.5485,0.2995
19,"measured_em",0.2,5,0.00328355267243772,0.00201954252734664,0.9535,1,0.518,0.11,1,1
20,"unmeasured_em",0.2,5,-0.199041045734954,0.00119956263445214,0.042,0.099,0.1035,0.0955,0.2725,0.7275
21,"loop_break",0.2,5,0.134491962908855,0.00123167807296068,0.3095,0.0935,0.5345,0.112,0.627,0.4825
22,"drift",0.2,5,-0.00418571998258198,0.00205384384435934,0.7565,0.1095,0.324,0.8795,0.933,0.531
23,"measured_em",0.4,5,0.00225644357025751,0.00201080234775735,0.955,1,0.946,0.1935,1,1
24,"unmeasured_em",0.4,5,-0.398472011942416,0.00122374696961161,0,0.0985,0.103,0.101,0.2785,0.7215
25,"loop_break",0.4,5,0.267927276495816,0.00117134110252546,0.001,0.0975,0.966,0.1155,0.975,0.8735
26,"drift",0.4,5,0.00680732247414429,0.00346436673873506,0.501,0.102,0.563,0.9995,0.9995,0.3905
