"shift","score","auc","se","n_pos","n_neg","lo","hi"
0,"negddic",0.537587495494812,0.0145112263817929,714,886,0.509146014190648,0.566028976798976
0,"pdir",0.52476193637726,0.0145263710962985,714,886,0.496290771977874,0.553233100776645
0,"margin",0.543512213011615,0.0145002529053526,714,886,0.515092239326229,0.571932186697002
0.5,"negddic",0.60082285115304,0.0145523955385229,1060,540,0.572300679783774,0.629345022522305
0.5,"pdir",0.574391160027952,0.0148135283161629,1060,540,0.545357177815293,0.603425142240612
0.5,"margin",0.613026729559748,0.0144140040080723,1060,540,0.584775800608071,0.641277658511426
1,"negddic",0.666219089179814,0.0154393504318237,1269,331,0.635958518150055,0.696479660209573
1,"pdir",0.61544166136954,0.0164268726066608,1269,331,0.583245582427898,0.647637740311181
1,"margin",0.65074909710765,0.0157646274263243,1269,331,0.619850994878641,0.681647199336658
1.5,"negddic",0.669334626202141,0.0165822851536705,1336,264,0.636833944263212,0.70183530814107
1.5,"pdir",0.622721885773907,0.0176490299268389,1336,264,0.58813042248238,0.657313349065434
1.5,"margin",0.662087756305571,0.0167620824355162,1336,264,0.629234678166927,0.694940834444215
