"shift","n_studies","spread","tau_re","bias","rmse","p_material","true_rd","n"
0,6,0.25,0,0.00340013275470469,0.0364740221260964,0.4,-0.00161010469555134,50
0,6,0.25,0.15,0.000196772957282394,0.045573447119623,0.48,-0.00161010469555134,50
0,6,0.6,0,-0.00439259247051012,0.0553549900360212,0.5,-0.00161010469555134,50
0,6,0.6,0.15,-0.00705840213039181,0.0527122234759342,0.56,-0.00161010469555134,50
0,12,0.25,0,-0.00166166811065035,0.0264821648807849,0.26,-0.00161010469555134,50
0,12,0.25,0.15,-0.00045965725405234,0.0296664975619196,0.28,-0.00161010469555134,50
0,12,0.6,0,0.00196551512842753,0.0314280363105884,0.3,-0.00161010469555134,50
0,12,0.6,0.15,0.00337227571737096,0.0351325303088379,0.3,-0.00161010469555134,50
0.5,6,0.25,0,0.0172070921210252,0.0402760320543654,0.42,-0.0155073818164886,50
0.5,6,0.25,0.15,0.0140458297671023,0.047782166326282,0.46,-0.0155073818164886,50
0.5,6,0.6,0,0.00933036285436277,0.0564306661884668,0.56,-0.0155073818164886,50
0.5,6,0.6,0.15,0.00677095449475128,0.0529370521003749,0.62,-0.0155073818164886,50
0.5,12,0.25,0,0.0122092425064853,0.0292357836736273,0.36,-0.0155073818164886,50
0.5,12,0.25,0.15,0.0133985482156365,0.0326321103911459,0.34,-0.0155073818164886,50
0.5,12,0.6,0,0.0158540534674789,0.0352854764556929,0.38,-0.0155073818164886,50
0.5,12,0.6,0.15,0.0172509082193153,0.039125829724108,0.32,-0.0155073818164886,50
1,6,0.25,0,0.031053934721103,0.0475965813526477,0.5,-0.0293857458465747,50
1,6,0.25,0.15,0.0279541191615499,0.0531319382594112,0.56,-0.0293857458465747,50
1,6,0.6,0,0.0230667144536081,0.0601114212065567,0.54,-0.0293857458465747,50
1,6,0.6,0.15,0.0207097924585276,0.0561969413494382,0.64,-0.0293857458465747,50
1,12,0.25,0,0.0261313352646806,0.0370887911843373,0.52,-0.0293857458465747,50
1,12,0.25,0.15,0.0272300205691257,0.0401568962378531,0.5,-0.0293857458465747,50
1,12,0.6,0,0.0296894734994761,0.0432173270636258,0.54,-0.0293857458465747,50
1,12,0.6,0.15,0.0311218855507284,0.0468736851869354,0.48,-0.0293857458465747,50
1.5,6,0.25,0,0.0446781527731353,0.0569484615906875,0.6,-0.0429855490322222,50
1.5,6,0.25,0.15,0.0416551131943171,0.0607067891785145,0.64,-0.0429855490322222,50
1.5,6,0.6,0,0.0365684506247716,0.0658483079007376,0.7,-0.0429855490322222,50
1.5,6,0.6,0.15,0.0344921904270369,0.0619759174689834,0.66,-0.0429855490322222,50
1.5,12,0.25,0,0.0398423616827855,0.0474283109076954,0.66,-0.0429855490322222,50
1.5,12,0.25,0.15,0.0407811547465135,0.050023439456419,0.7,-0.0429855490322222,50
1.5,12,0.6,0,0.0432163156841111,0.0531982146513964,0.7,-0.0429855490322222,50
1.5,12,0.6,0.15,0.0447252411586296,0.0566555317367653,0.68,-0.0429855490322222,50
