"factor","level","score","n_test","observed","predicted","abs_error"
"drift","0","ddic",400,0.4225,0.891302461492962,0.468802461492962
"drift","0","p_direction",400,0.4225,0.906962414373561,0.484462414373561
"drift","0.3","ddic",400,0.7675,0.749208924715752,0.018291075284248
"drift","0.3","p_direction",400,0.7675,0.775414564165332,0.0079145641653322
"drift","0.6","ddic",400,0.9825,0.736924789962917,0.245575210037083
"drift","0.6","p_direction",400,0.9825,0.734572772714131,0.247927227285869
"drift","1.2","ddic",400,1,0.827927236327224,0.172072763672776
"drift","1.2","p_direction",400,1,0.742603731740513,0.257396268259487
"n_studies","6","ddic",800,0.8125,0.754506519864085,0.0579934801359145
"n_studies","6","p_direction",800,0.8125,0.744105578739725,0.068394421260275
"n_studies","12","ddic",800,0.77375,0.826717786088907,0.0529677860889066
"n_studies","12","p_direction",800,0.77375,0.815363290499257,0.0416132904992574
"spread","0.25","ddic",800,0.78375,0.760231778500439,0.0235182214995611
"spread","0.25","p_direction",800,0.78375,0.78594268217593,0.00219268217593038
"spread","0.6","ddic",800,0.8025,0.827570924077217,0.0250709240772166
"spread","0.6","p_direction",800,0.8025,0.794212408704179,0.00828759129582135
"tau_re","0","ddic",800,0.79375,0.779586599545593,0.0141634004544072
"tau_re","0","p_direction",800,0.79375,0.785923239554988,0.00782676044501196
"tau_re","0.15","ddic",800,0.7925,0.805532950182159,0.0130329501821592
"tau_re","0.15","p_direction",800,0.7925,0.798234471581649,0.00573447158164919
