"factor","level","blind","knows_shift","auc_blind","auc_knows_shift","coef_shift","n_test"
"drift","0",0.332596700133227,0.333009573821539,0.516208692528736,0.50212791204844,2.58928109505327,1600
"drift","0.3",0.00812549096874537,0.00825914408906137,0.495390722280698,0.752887678093548,1.12509370458631,1600
"drift","0.6",0.153185655808818,0.153379455170493,0.48290056237403,0.82501543465675,1.05189766314486,1600
"drift","1.2",0.164230080380348,0.163796124249326,0.497941534040672,0.800822695623342,1.13735737895506,1600
"n_studies","6",0.0986530455165677,0.0987299034648023,0.557915614576514,0.686415275569687,1.5055287816986,3200
"n_studies","12",0.0925027897057964,0.092607064590073,0.629676149093625,0.747334548580198,1.17056172258242,3200
"spread","0.25",0.000452103214442778,0.000316816043001156,0.593338589789378,0.71882978220878,1.2852355061839,3200
"spread","0.6",0.012611965383556,0.012826693143293,0.598302763530014,0.709822853495053,1.36778672866567,3200
"tau_re","0",0.000157099166134156,0.000191406132599936,0.59338971470381,0.7155453158092,1.29109871690359,3200
"tau_re","0.15",0.00111997081997184,0.00113579863096647,0.596466915074237,0.714583347576887,1.35806440082312,3200
