"model","n_studies","spread","tau_re","drift","p_not_clean","n"
"common",6,0.25,0,0,0,50
"common",6,0.25,0,0.15,0,50
"common",6,0.25,0,0.3,0,50
"common",6,0.25,0,0.6,0,50
"common",6,0.25,0,1.2,0,50
"common",6,0.25,0.15,0,0,50
"common",6,0.25,0.15,0.15,0,50
"common",6,0.25,0.15,0.3,0,50
"common",6,0.25,0.15,0.6,0,50
"common",6,0.25,0.15,1.2,0,50
"common",6,0.6,0,0,0,50
"common",6,0.6,0,0.15,0,50
"common",6,0.6,0,0.3,0,50
"common",6,0.6,0,0.6,0,50
"common",6,0.6,0,1.2,0,50
"common",6,0.6,0.15,0,0,50
"common",6,0.6,0.15,0.15,0,50
"common",6,0.6,0.15,0.3,0,50
"common",6,0.6,0.15,0.6,0,50
"common",6,0.6,0.15,1.2,0,50
"common",12,0.25,0,0,0,50
"common",12,0.25,0,0.15,0,50
"common",12,0.25,0,0.3,0,50
"common",12,0.25,0,0.6,0,50
"common",12,0.25,0,1.2,0,50
"common",12,0.25,0.15,0,0,50
"common",12,0.25,0.15,0.15,0,50
"common",12,0.25,0.15,0.3,0,50
"common",12,0.25,0.15,0.6,0,50
"common",12,0.25,0.15,1.2,0,50
"common",12,0.6,0,0,0,50
"common",12,0.6,0,0.15,0,50
"common",12,0.6,0,0.3,0,50
"common",12,0.6,0,0.6,0,50
"common",12,0.6,0,1.2,0,50
"common",12,0.6,0.15,0,0,50
"common",12,0.6,0.15,0.15,0,50
"common",12,0.6,0.15,0.3,0,50
"common",12,0.6,0.15,0.6,0,50
"common",12,0.6,0.15,1.2,0,50
"split_all",6,0.25,0,0,0.1,50
"split_all",6,0.25,0,0.15,0.08,50
"split_all",6,0.25,0,0.3,0.08,50
"split_all",6,0.25,0,0.6,0.12,50
"split_all",6,0.25,0,1.2,0.1,50
"split_all",6,0.25,0.15,0,0.1,50
"split_all",6,0.25,0.15,0.15,0.1,50
"split_all",6,0.25,0.15,0.3,0.1,50
"split_all",6,0.25,0.15,0.6,0,50
"split_all",6,0.25,0.15,1.2,0.08,50
"split_all",6,0.6,0,0,0.18,50
"split_all",6,0.6,0,0.15,0.24,50
"split_all",6,0.6,0,0.3,0.16,50
"split_all",6,0.6,0,0.6,0.16,50
"split_all",6,0.6,0,1.2,0.12,50
"split_all",6,0.6,0.15,0,0.14,50
"split_all",6,0.6,0.15,0.15,0.1,50
"split_all",6,0.6,0.15,0.3,0.06,50
"split_all",6,0.6,0.15,0.6,0.06,50
"split_all",6,0.6,0.15,1.2,0.22,50
"split_all",12,0.25,0,0,0.04,50
"split_all",12,0.25,0,0.15,0,50
"split_all",12,0.25,0,0.3,0,50
"split_all",12,0.25,0,0.6,0.02,50
"split_all",12,0.25,0,1.2,0.06,50
"split_all",12,0.25,0.15,0,0.02,50
"split_all",12,0.25,0.15,0.15,0.02,50
"split_all",12,0.25,0.15,0.3,0.02,50
"split_all",12,0.25,0.15,0.6,0.06,50
"split_all",12,0.25,0.15,1.2,0.02,50
"split_all",12,0.6,0,0,0,50
"split_all",12,0.6,0,0.15,0.02,50
"split_all",12,0.6,0,0.3,0,50
"split_all",12,0.6,0,0.6,0,50
"split_all",12,0.6,0,1.2,0.04,50
"split_all",12,0.6,0.15,0,0.02,50
"split_all",12,0.6,0.15,0.15,0.04,50
"split_all",12,0.6,0.15,0.3,0,50
"split_all",12,0.6,0.15,0.6,0,50
"split_all",12,0.6,0.15,1.2,0.02,50
"split_x1",6,0.25,0,0,0.02,50
"split_x1",6,0.25,0,0.15,0.02,50
"split_x1",6,0.25,0,0.3,0,50
"split_x1",6,0.25,0,0.6,0.02,50
"split_x1",6,0.25,0,1.2,0,50
"split_x1",6,0.25,0.15,0,0.02,50
"split_x1",6,0.25,0.15,0.15,0,50
"split_x1",6,0.25,0.15,0.3,0.06,50
"split_x1",6,0.25,0.15,0.6,0.02,50
"split_x1",6,0.25,0.15,1.2,0,50
"split_x1",6,0.6,0,0,0.02,50
"split_x1",6,0.6,0,0.15,0.02,50
"split_x1",6,0.6,0,0.3,0.02,50
"split_x1",6,0.6,0,0.6,0,50
"split_x1",6,0.6,0,1.2,0,50
"split_x1",6,0.6,0.15,0,0,50
"split_x1",6,0.6,0.15,0.15,0.02,50
"split_x1",6,0.6,0.15,0.3,0,50
"split_x1",6,0.6,0.15,0.6,0,50
"split_x1",6,0.6,0.15,1.2,0,50
"split_x1",12,0.25,0,0,0,50
"split_x1",12,0.25,0,0.15,0,50
"split_x1",12,0.25,0,0.3,0,50
"split_x1",12,0.25,0,0.6,0,50
"split_x1",12,0.25,0,1.2,0,50
"split_x1",12,0.25,0.15,0,0.02,50
"split_x1",12,0.25,0.15,0.15,0,50
"split_x1",12,0.25,0.15,0.3,0,50
"split_x1",12,0.25,0.15,0.6,0,50
"split_x1",12,0.25,0.15,1.2,0,50
"split_x1",12,0.6,0,0,0,50
"split_x1",12,0.6,0,0.15,0,50
"split_x1",12,0.6,0,0.3,0,50
"split_x1",12,0.6,0,0.6,0,50
"split_x1",12,0.6,0,1.2,0.02,50
"split_x1",12,0.6,0.15,0,0,50
"split_x1",12,0.6,0.15,0.15,0,50
"split_x1",12,0.6,0.15,0.3,0,50
"split_x1",12,0.6,0.15,0.6,0,50
"split_x1",12,0.6,0.15,1.2,0,50
"split_x2",6,0.25,0,0,0.04,50
"split_x2",6,0.25,0,0.15,0.02,50
"split_x2",6,0.25,0,0.3,0.02,50
"split_x2",6,0.25,0,0.6,0.02,50
"split_x2",6,0.25,0,1.2,0,50
"split_x2",6,0.25,0.15,0,0.04,50
"split_x2",6,0.25,0.15,0.15,0.02,50
"split_x2",6,0.25,0.15,0.3,0,50
"split_x2",6,0.25,0.15,0.6,0.02,50
"split_x2",6,0.25,0.15,1.2,0,50
"split_x2",6,0.6,0,0,0,50
"split_x2",6,0.6,0,0.15,0.02,50
"split_x2",6,0.6,0,0.3,0.02,50
"split_x2",6,0.6,0,0.6,0.04,50
"split_x2",6,0.6,0,1.2,0.02,50
"split_x2",6,0.6,0.15,0,0.02,50
"split_x2",6,0.6,0.15,0.15,0.02,50
"split_x2",6,0.6,0.15,0.3,0.04,50
"split_x2",6,0.6,0.15,0.6,0,50
"split_x2",6,0.6,0.15,1.2,0.04,50
"split_x2",12,0.25,0,0,0,50
"split_x2",12,0.25,0,0.15,0,50
"split_x2",12,0.25,0,0.3,0,50
"split_x2",12,0.25,0,0.6,0,50
"split_x2",12,0.25,0,1.2,0,50
"split_x2",12,0.25,0.15,0,0,50
"split_x2",12,0.25,0.15,0.15,0,50
"split_x2",12,0.25,0.15,0.3,0.02,50
"split_x2",12,0.25,0.15,0.6,0,50
"split_x2",12,0.25,0.15,1.2,0,50
"split_x2",12,0.6,0,0,0,50
"split_x2",12,0.6,0,0.15,0,50
"split_x2",12,0.6,0,0.3,0,50
"split_x2",12,0.6,0,0.6,0,50
"split_x2",12,0.6,0,1.2,0,50
"split_x2",12,0.6,0.15,0,0,50
"split_x2",12,0.6,0.15,0.15,0,50
"split_x2",12,0.6,0.15,0.3,0,50
"split_x2",12,0.6,0.15,0.6,0.02,50
"split_x2",12,0.6,0.15,1.2,0,50
