"cell","drift","n_studies","spread","tau_re","w"
1,0,6,0.25,0,0.0385
2,0.3,6,0.25,0,0.028875
3,0.6,6,0.25,0,0.01925
4,1.2,6,0.25,0,0.009625
5,0,12,0.25,0,0.0315
6,0.3,12,0.25,0,0.023625
7,0.6,12,0.25,0,0.01575
8,1.2,12,0.25,0,0.007875
9,0,6,0.6,0,0.0385
10,0.3,6,0.6,0,0.028875
11,0.6,6,0.6,0,0.01925
12,1.2,6,0.6,0,0.009625
13,0,12,0.6,0,0.0315
14,0.3,12,0.6,0,0.023625
15,0.6,12,0.6,0,0.01575
16,1.2,12,0.6,0,0.007875
17,0,6,0.25,0.15,0.0715
18,0.3,6,0.25,0.15,0.053625
19,0.6,6,0.25,0.15,0.03575
20,1.2,6,0.25,0.15,0.017875
21,0,12,0.25,0.15,0.0585
22,0.3,12,0.25,0.15,0.043875
23,0.6,12,0.25,0.15,0.02925
24,1.2,12,0.25,0.15,0.014625
25,0,6,0.6,0.15,0.0715
26,0.3,6,0.6,0.15,0.053625
27,0.6,6,0.6,0.15,0.03575
28,1.2,6,0.6,0.15,0.017875
29,0,12,0.6,0.15,0.0585
30,0.3,12,0.6,0.15,0.043875
31,0.6,12,0.6,0.15,0.02925
32,1.2,12,0.6,0.15,0.014625
