"rule","xvar","drift","n_studies","spread","tau_re","n","k","rate","lo","hi"
"flag_dic10","x1",0,6,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0,6,0.25,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0,6,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0,6,0.6,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0,12,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0,12,0.25,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0,12,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0,12,0.6,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0.3,6,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0.3,6,0.25,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0.3,6,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0.3,6,0.6,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0.3,12,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0.3,12,0.25,0.15,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic10","x1",0.3,12,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0.3,12,0.6,0.15,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic10","x1",0.6,6,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0.6,6,0.25,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0.6,6,0.6,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic10","x1",0.6,6,0.6,0.15,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic10","x1",0.6,12,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic10","x1",0.6,12,0.25,0.15,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic10","x1",0.6,12,0.6,0,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_dic10","x1",0.6,12,0.6,0.15,50,9,0.18,0.0977019262304215,0.307960537883892
"flag_dic10","x1",1.2,6,0.25,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic10","x1",1.2,6,0.25,0.15,50,8,0.16,0.083374206354009,0.285142161767449
"flag_dic10","x1",1.2,6,0.6,0,50,11,0.22,0.127539159145196,0.352415496954828
"flag_dic10","x1",1.2,6,0.6,0.15,50,15,0.3,0.191035534303057,0.437503505768389
"flag_dic10","x1",1.2,12,0.25,0,50,5,0.1,0.0434757646567589,0.213602315486132
"flag_dic10","x1",1.2,12,0.25,0.15,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_dic10","x1",1.2,12,0.6,0,50,31,0.62,0.48150446822859,0.741372107728543
"flag_dic10","x1",1.2,12,0.6,0.15,50,34,0.68,0.541897025803224,0.792417838132475
"flag_dic10","x2",0,6,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0,6,0.25,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0,6,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0,6,0.6,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0,12,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0,12,0.25,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0,12,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0,12,0.6,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0.3,6,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0.3,6,0.25,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0.3,6,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0.3,6,0.6,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0.3,12,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0.3,12,0.25,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0.3,12,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0.3,12,0.6,0.15,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic10","x2",0.6,6,0.25,0,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0.6,6,0.25,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0.6,6,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0.6,6,0.6,0.15,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic10","x2",0.6,12,0.25,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic10","x2",0.6,12,0.25,0.15,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0.6,12,0.6,0,50,0,0,0,0.0713476001786141
"flag_dic10","x2",0.6,12,0.6,0.15,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic10","x2",1.2,6,0.25,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic10","x2",1.2,6,0.25,0.15,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_dic10","x2",1.2,6,0.6,0,50,11,0.22,0.127539159145196,0.352415496954828
"flag_dic10","x2",1.2,6,0.6,0.15,50,8,0.16,0.083374206354009,0.285142161767449
"flag_dic10","x2",1.2,12,0.25,0,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic10","x2",1.2,12,0.25,0.15,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic10","x2",1.2,12,0.6,0,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_dic10","x2",1.2,12,0.6,0.15,50,11,0.22,0.127539159145196,0.352415496954828
"flag_dic2","x1",0,6,0.25,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic2","x1",0,6,0.25,0.15,50,5,0.1,0.0434757646567589,0.213602315486132
"flag_dic2","x1",0,6,0.6,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_dic2","x1",0,6,0.6,0.15,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_dic2","x1",0,12,0.25,0,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic2","x1",0,12,0.25,0.15,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_dic2","x1",0,12,0.6,0,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_dic2","x1",0,12,0.6,0.15,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_dic2","x1",0.3,6,0.25,0,50,3,0.06,0.0206149701884362,0.162170917968744
