"drift","shift","n_studies","spread","tau_re","systematic_bias","noise_sd","rmse","p_material_realized","p_material_if_no_noise","n"
0,0,6,0.25,0,-0.00885990072916996,0.0446350228379106,0.0450659228175428,0.46,0,50
0,0,6,0.25,0.15,0.00691959391102851,0.0468230554371745,0.0468661000079675,0.58,0,50
0,0,6,0.6,0,0.00177203406763861,0.0469523497842212,0.0465142213950909,0.52,0,50
0,0,6,0.6,0.15,0.00289553825023578,0.0498262890722831,0.0494104244347182,0.58,0,50
0,0,12,0.25,0,0.00185191992803037,0.0291235151022115,0.028890225971605,0.3,0,50
0,0,12,0.25,0.15,-0.00147598725625292,0.0264814593418131,0.0262568252741126,0.24,0,50
0,0,12,0.6,0,-0.00378428943357227,0.0312644381974602,0.0311807094275259,0.34,0,50
0,0,12,0.6,0.15,0.00245644041894546,0.0304319128974346,0.0302260383721872,0.34,0,50
0,0.5,6,0.25,0,-0.00887626134050739,0.0447640840901384,0.0451944108859203,0.46,0,50
0,0.5,6,0.25,0.15,0.00686726660903014,0.0469456100376733,0.0469784189437299,0.58,0,50
0,0.5,6,0.6,0,0.00175774850257766,0.0470935973258996,0.0466534077073735,0.52,0,50
0,0.5,6,0.6,0.15,0.00279633168587337,0.0499953544311615,0.0495718087858506,0.58,0,50
0,0.5,12,0.25,0,0.00182278579705995,0.029221187391327,0.0289848716534993,0.3,0,50
0,0.5,12,0.25,0.15,-0.00151444172432315,0.0266027456294851,0.0263788833589088,0.24,0,50
0,0.5,12,0.6,0,-0.00380994279416373,0.0314748435309738,0.0313905738062893,0.36,0,50
0,0.5,12,0.6,0.15,0.00249276872876326,0.0306145279351032,0.0304091800318675,0.34,0,50
0,1,6,0.25,0,-0.00876599812272652,0.0441857389849239,0.0446113736858505,0.46,0,50
0,1,6,0.25,0.15,0.0066766048654621,0.0464892201585917,0.046503759973409,0.58,0,50
0,1,6,0.6,0,0.00166225006729663,0.0465495161997953,0.0461116404452556,0.52,0,50
0,1,6,0.6,0.15,0.00268467693313658,0.0498260900978053,0.0493983194003726,0.58,0,50
0,1,12,0.25,0,0.00177652538641008,0.0290554179742438,0.0288182062216476,0.3,0,50
0,1,12,0.25,0.15,-0.00152146299424907,0.0263914567800541,0.0261704730717056,0.24,0,50
0,1,12,0.6,0,-0.00380314519785648,0.0314525979358239,0.031367889823358,0.36,0,50
0,1,12,0.6,0.15,0.00248705998944596,0.0305370467001494,0.0303322677051167,0.34,0,50
0,1.5,6,0.25,0,-0.00854226218203787,0.0429826818177889,0.0433996654446894,0.46,0,50
0,1.5,6,0.25,0.15,0.00636601217021497,0.0455044880833914,0.0454947401132065,0.58,0,50
0,1.5,6,0.6,0,0.00150127111630767,0.0453931214691414,0.0449619681746989,0.5,0,50
0,1.5,6,0.6,0.15,0.0025652801867634,0.0493315196394274,0.0489030419889511,0.58,0,50
0,1.5,12,0.25,0,0.00171573092645173,0.028639903170545,0.0284039241154777,0.28,0,50
0,1.5,12,0.25,0.15,-0.00149509476777785,0.0258733562505563,0.0256569144824445,0.24,0,50
0,1.5,12,0.6,0,-0.00376419271000363,0.0312005914330961,0.03111553493703,0.34,0,50
0,1.5,12,0.6,0.15,0.00243942016524141,0.0302052125313298,0.0300009756095386,0.34,0,50
0.3,0,6,0.25,0,-0.00480066720978283,0.0360196659905696,0.0359793609861242,0.46,0,50
0.3,0,6,0.25,0.15,-0.00186852969827703,0.0403838625768599,0.0400216270624711,0.44,0,50
0.3,0,6,0.6,0,0.00508989082161732,0.0394962512491846,0.0394291995107678,0.46,0,50
0.3,0,6,0.6,0.15,-0.00156983234837031,0.0475869532163559,0.0471348292421785,0.44,0,50
0.3,0,12,0.25,0,-0.00172867121680767,0.0261137131796897,0.0259089907153154,0.2,0,50
0.3,0,12,0.25,0.15,-0.00329888306009397,0.0313857318099882,0.031244927707833,0.4,0,50
0.3,0,12,0.6,0,-0.00064683047195556,0.0297105256102372,0.0294190315111711,0.28,0,50
0.3,0,12,0.6,0.15,-0.000315493253421506,0.0311192736322834,0.0308081246356519,0.28,0,50
0.3,0.5,6,0.25,0,0.0228581309829637,0.03618225943907,0.0424907864388055,0.5,1,50
0.3,0.5,6,0.25,0.15,0.025818959384295,0.0405072373789217,0.0476931674158756,0.58,1,50
0.3,0.5,6,0.6,0,0.0328243392653384,0.0396906595617623,0.0511984251273884,0.7,1,50
0.3,0.5,6,0.6,0.15,0.0261246746918434,0.0478630328678072,0.0541068493330866,0.58,1,50
0.3,0.5,12,0.25,0,0.0259748731082966,0.026296398898235,0.0367745104128784,0.46,1,50
0.3,0.5,12,0.25,0.15,0.0244351485680784,0.0315719728370381,0.0396727887221239,0.48,1,50
0.3,0.5,12,0.6,0,0.0270743980402435,0.0299858791416347,0.040177019777235,0.46,1,50
0.3,0.5,12,0.6,0.15,0.0274710598138508,0.0313017269279547,0.0414108835186472,0.54,1,50
0.3,1,6,0.25,0,0.0507063041097181,0.0358213896028753,0.061875987187976,0.72,1,50
0.3,1,6,0.25,0.15,0.053448943462429,0.0399447744588914,0.0664865615270499,0.76,1,50
0.3,1,6,0.6,0,0.0605142663001349,0.0393921342766616,0.0719908456948296,0.78,1,50
0.3,1,6,0.6,0.15,0.0538593988851037,0.0474856990247882,0.071488660834429,0.72,1,50
0.3,1,12,0.25,0,0.053750717563036,0.0260711173632367,0.0596259065834438,0.82,1,50
0.3,1,12,0.25,0.15,0.0521993015015738,0.0313966050249362,0.060751946044569,0.7,1,50
0.3,1,12,0.6,0,0.0548253841532512,0.0298212472558295,0.0622683177843037,0.84,1,50
0.3,1,12,0.6,0.15,0.0551881048641185,0.0312122296224031,0.0632490800797492,0.8,1,50
0.3,1.5,6,0.25,0,0.0781993612467997,0.0349850900079512,0.085525537074108,0.9,1,50
0.3,1.5,6,0.25,0.15,0.0805030884255795,0.0387622217871871,0.0891807540177709,0.9,1,50
0.3,1.5,6,0.6,0,0.0876363888171536,0.0386360658817042,0.0956191786201409,0.92,1,50
0.3,1.5,6,0.6,0.15,0.0811054283353502,0.0464956104945639,0.0932560746805139,0.88,1,50
0.3,1.5,12,0.25,0,0.0810636495803161,0.0254616282267563,0.0848919543007386,0.96,1,50
0.3,1.5,12,0.25,0.15,0.0794609934163506,0.0308773279494164,0.0851374809844831,0.94,1,50
0.3,1.5,12,0.6,0,0.0820736530294865,0.0292335725703147,0.0870263997389523,0.98,1,50
0.3,1.5,12,0.6,0.15,0.0823091921968818,0.0308589965432261,0.0877954169328044,0.96,1,50
0.6,0,6,0.25,0,0.000530019471412034,0.042816379711927,0.0423893671201078,0.44,0,50
0.6,0,6,0.25,0.15,0.000209775362576528,0.0482116482773276,0.0477275578123075,0.46,0,50
0.6,0,6,0.6,0,-0.00116367767386883,0.0514539327190787,0.0509500853202715,0.54,0,50
0.6,0,6,0.6,0.15,0.00819896049396864,0.0589656974746807,0.0589460546795433,0.62,0,50
0.6,0,12,0.25,0,0.00348030716703732,0.0288717218363542,0.0287926611020382,0.28,0,50
0.6,0,12,0.25,0.15,0.00231334226294121,0.0354255076460697,0.0351456798563866,0.46,0,50
0.6,0,12,0.6,0,0.0002858593334029,0.0378641005323562,0.0374846371531109,0.42,0,50
0.6,0,12,0.6,0.15,0.0131781838297252,0.0352211342830618,0.0372744183486717,0.38,0,50
0.6,0.5,6,0.25,0,0.0556720821592617,0.0430630561047403,0.0701193197129435,0.72,1,50
0.6,0.5,6,0.25,0.15,0.0554665503116116,0.0483347254596001,0.0732533888295986,0.66,1,50
0.6,0.5,6,0.6,0,0.0540392080366688,0.0516591063948784,0.0744011156722626,0.74,1,50
0.6,0.5,6,0.6,0.15,0.0634064241298646,0.0595647473656882,0.0865873811077559,0.74,1,50
0.6,0.5,12,0.25,0,0.0588347843188006,0.0290187321041625,0.0654734825903912,0.8,1,50
0.6,0.5,12,0.25,0.15,0.0576433143415066,0.0355493367724891,0.0675368930758464,0.72,1,50
0.6,0.5,12,0.6,0,0.055592787795381,0.0381440272619345,0.0672043565128503,0.78,1,50
0.6,0.5,12,0.6,0.15,0.0685633796708871,0.0354182432623999,0.0770084407618598,0.86,1,50
